Unnamed: 0,gameweek,home_team,home_score,home_xg,away_team,away_score,away_xg,referee,season
132,13,Wimbledon,1,0,Tottenham,1,0,Alan Gunn,1992
133,13,Arsenal,2,0,Everton,0,0,Keith Hackett,1992
134,13,Coventry City,1,0,Chelsea,2,0,Mike Peck,1992
135,13,Sheffield Utd,0,0,Nott'ham Forest,0,0,Robbie Hart,1992
136,13,Oldham Athletic,1,0,Aston Villa,1,0,Rodger Gifford,1992
137,13,Manchester City,1,0,Southampton,0,0,Philip Don,1992
138,13,Blackburn,0,0,Manchester Utd,0,0,Mike Reed,1992
139,13,QPR,2,0,Leeds United,1,0,Howard King,1992
140,13,Ipswich Town,2,0,Crystal Palace,2,0,Gerald Ashby,1992
141,13,Middlesbrough,1,0,Sheffield Weds,1,0,Philip Wright,1992
142,13,Liverpool,4,0,Norwich City,1,0,Raymond Lewis,1992
143,14,Norwich City,1,0,Middlesbrough,1,0,Stephen Lodge,1992
144,14,Manchester Utd,0,0,Wimbledon,1,0,Kelvin Morton,1992
145,14,Sheffield Weds,0,0,Blackburn,0,0,Raymond Lewis,1992
146,14,Nott'ham Forest,0,0,Ipswich Town,1,0,Martin Bodenham,1992
147,14,Chelsea,1,0,Sheffield Utd,2,0,David Allison,1992
148,14,Southampton,1,0,Oldham Athletic,0,0,Paul Durkin,1992
149,14,Tottenham,2,0,Liverpool,0,0,Gerald Ashby,1992
150,14,Leeds United,2,0,Coventry City,2,0,Brian Hill,1992
151,14,Everton,1,0,Manchester City,3,0,Joe Worrall,1992
152,14,Aston Villa,2,0,QPR,0,0,Mike Peck,1992
153,14,Crystal Palace,1,0,Arsenal,2,0,Vic Callow,1992
154,15,Manchester City,4,0,Leeds United,0,0,Kelvin Morton,1992
155,15,Liverpool,4,0,Middlesbrough,1,0,Dermot Gallagher,1992
156,15,Chelsea,3,0,Crystal Palace,1,0,Ron Groves,1992
157,15,Ipswich Town,0,0,Southampton,0,0,Roger Dilkes,1992
158,15,Aston Villa,1,0,Manchester Utd,0,0,David Elleray,1992
159,15,Blackburn,0,0,Tottenham,2,0,Keren Barratt,1992
160,15,Arsenal,3,0,Coventry City,0,0,Joe Worrall,1992
161,15,Nott'ham Forest,0,0,Everton,1,0,Stephen Lodge,1992
162,15,Wimbledon,0,0,QPR,2,0,Philip Don,1992
163,15,Sheffield Utd,1,0,Sheffield Weds,1,0,Mike Reed,1992
164,15,Oldham Athletic,2,0,Norwich City,3,0,Robbie Hart,1992
165,16,Norwich City,2,0,Sheffield Utd,1,0,Mike Peck,1992
166,16,Coventry City,2,0,Manchester City,3,0,Paul Durkin,1992
167,16,Crystal Palace,1,0,Nott'ham Forest,1,0,Keith Hackett,1992
168,16,Sheffield Weds,1,0,Ipswich Town,1,0,Keren Barratt,1992
169,16,Everton,0,0,Chelsea,1,0,Mike Reed,1992
170,16,Middlesbrough,2,0,Wimbledon,0,0,Joe Worrall,1992
171,16,Leeds United,3,0,Arsenal,0,0,Robbie Hart,1992
172,16,Manchester Utd,3,0,Oldham Athletic,0,0,Alan Gunn,1992
173,16,Tottenham,0,0,Aston Villa,0,0,Jim Borrett,1992
174,16,Southampton,1,0,Blackburn,1,0,Martin Bodenham,1992
175,16,QPR,0,0,Liverpool,1,0,Roger Milford,1992
176,17,Ipswich Town,1,0,Everton,0,0,Brian Hill,1992
177,17,Manchester City,0,0,Tottenham,1,0,David Allison,1992
178,17,Nott'ham Forest,1,0,Southampton,2,0,David Elleray,1992
179,17,Wimbledon,1,0,Sheffield Weds,1,0,Roger Milford,1992
180,17,Arsenal,0,0,Manchester Utd,1,0,Howard King,1992
181,17,Sheffield Utd,1,0,Coventry City,1,0,Alan Gunn,1992
182,17,Aston Villa,2,0,Norwich City,3,0,Alf Buksh,1992
183,17,Liverpool,5,0,Crystal Palace,0,0,Stephen Lodge,1992
184,17,Blackburn,1,0,QPR,0,0,Keith Hackett,1992
185,17,Oldham Athletic,4,0,Middlesbrough,1,0,Kelvin Morton,1992
186,17,Chelsea,1,0,Leeds United,0,0,Martin Bodenham,1992
187,18,Coventry City,2,0,Ipswich Town,2,0,Keith Hackett,1992
188,18,Middlesbrough,3,0,Blackburn,2,0,Brian Hill,1992
189,18,Leeds United,1,0,Nott'ham Forest,4,0,Alf Buksh,1992
190,18,Crystal Palace,2,0,Sheffield Utd,0,0,Howard King,1992
191,18,Southampton,2,0,Arsenal,0,0,John Key,1992
192,18,QPR,3,0,Oldham Athletic,2,0,Ron Groves,1992
193,18,Norwich City,2,0,Wimbledon,1,0,Stephen Lodge,1992
194,18,Sheffield Weds,1,0,Aston Villa,2,0,Robbie Hart,1992
195,18,Tottenham,1,0,Chelsea,2,0,Roger Dilkes,1992
196,18,Manchester Utd,2,0,Manchester City,1,0,Gerald Ashby,1992
197,18,Everton,2,0,Liverpool,1,0,Martin Bodenham,1992
198,19,Middlesbrough,0,0,Chelsea,0,0,Keren Barratt,1992
199,19,Manchester Utd,1,0,Norwich City,0,0,Roger Milford,1992
