Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Manchester City,bur (10.2),NEW (8.5),shu (10.2),FUL (9.8),whu (8.8),NOT (10.3),wol (8.7),ars (7.6),BHA (8.9),mun (8),BOU (12),che (8.7),LIV (9.7),TOT (10.1),avl (7.9),lut (10.2),CRY (8.9),BRF (9.4),eve (9.6),SHU (11.3),new (7.6),BUR (11.3),brf (8.5),EVE (10.6),CHE (9.6),bou (10.8),MUN (8.8),liv (8.8),bha (8.1),ARS (8.4),AVL (8.7),cry (8.1),LUT (11.3),tot (9.1),not (9.3),WOL (9.6),ful (8.9),WHU (9.7)
Arsenal,NOT (10.3),cry (8.1),FUL (9.8),MUN (8.8),eve (9.6),TOT (10.1),bou (10.8),MCI (6.2),che (8.7),SHU (11.3),new (7.6),BUR (11.3),brf (8.5),WOL (9.6),lut (10.2),avl (7.9),BHA (8.9),liv (8.8),WHU (9.7),ful (8.9),CRY (8.9),not (9.3),LIV (9.7),whu (8.8),bur (10.2),NEW (8.5),shu (10.2),BRF (9.4),CHE (9.6),mci (5.6),LUT (11.3),bha (8.1),AVL (8.7),wol (8.7),tot (9.1),BOU (12),mun (8),EVE (10.6)
Newcastle Utd,AVL (8.7),mci (5.6),LIV (9.7),bha (8.1),BRF (9.4),shu (10.2),BUR (11.3),whu (8.8),CRY (8.9),wol (8.7),ARS (8.4),bou (10.8),CHE (9.6),MUN (8.8),eve (9.6),tot (9.1),FUL (9.8),lut (10.2),NOT (10.3),liv (8.8),MCI (6.2),avl (7.9),LUT (11.3),not (9.3),BOU (12),ars (7.6),WOL (9.6),che (8.7),cry (8.1),WHU (9.7),EVE (10.6),ful (8.9),TOT (10.1),mun (8),SHU (11.3),bur (10.2),BHA (8.9),brf (8.5)
Aston Villa,new (7.6),EVE (10.6),bur (10.2),liv (8.8),CRY (8.9),che (8.7),BHA (8.9),wol (8.7),WHU (9.7),LUT (11.3),not (9.3),FUL (9.8),tot (9.1),bou (10.8),MCI (6.2),ARS (8.4),brf (8.5),SHU (11.3),mun (8),BUR (11.3),eve (9.6),NEW (8.5),shu (10.2),MUN (8.8),ful (8.9),NOT (10.3),lut (10.2),TOT (10.1),whu (8.8),WOL (9.6),mci (5.6),BRF (9.4),ars (7.6),BOU (12),CHE (9.6),bha (8.1),LIV (9.7),cry (8.1)
Manchester Utd,WOL (9.6),tot (9.1),NOT (10.3),ars (7.6),BHA (8.9),bur (10.2),CRY (8.9),BRF (9.4),shu (10.2),MCI (6.2),ful (8.9),LUT (11.3),eve (9.6),new (7.6),CHE (9.6),BOU (12),liv (8.8),whu (8.8),AVL (8.7),not (9.3),TOT (10.1),wol (8.7),WHU (9.7),avl (7.9),lut (10.2),FUL (9.8),mci (5.6),EVE (10.6),SHU (11.3),brf (8.5),che (8.7),LIV (9.7),bou (10.8),NEW (8.5),BUR (11.3),cry (8.1),ARS (8.4),bha (8.1)
Brighton,LUT (11.3),wol (8.7),WHU (9.7),NEW (8.5),mun (8),BOU (12),avl (7.9),LIV (9.7),mci (5.6),FUL (9.8),eve (9.6),SHU (11.3),not (9.3),che (8.7),BRF (9.4),BUR (11.3),ars (7.6),cry (8.1),TOT (10.1),whu (8.8),WOL (9.6),lut (10.2),CRY (8.9),tot (9.1),shu (10.2),EVE (10.6),ful (8.9),NOT (10.3),MCI (6.2),liv (8.8),brf (8.5),ARS (8.4),bur (10.2),CHE (9.6),bou (10.8),AVL (8.7),new (7.6),MUN (8.8)
Crystal Palace,shu (10.2),ARS (8.4),brf (8.5),WOL (9.6),avl (7.9),FUL (9.8),mun (8),NOT (10.3),new (7.6),TOT (10.1),bur (10.2),EVE (10.6),lut (10.2),whu (8.8),BOU (12),LIV (9.7),mci (5.6),BHA (8.9),che (8.7),BRF (9.4),ars (7.6),SHU (11.3),bha (8.1),CHE (9.6),eve (9.6),BUR (11.3),tot (9.1),LUT (11.3),NEW (8.5),not (9.3),bou (10.8),MCI (6.2),liv (8.8),WHU (9.7),ful (8.9),MUN (8.8),wol (8.7),AVL (8.7)
Brentford,TOT (10.1),ful (8.9),CRY (8.9),BOU (12),new (7.6),EVE (10.6),not (9.3),mun (8),BUR (11.3),che (8.7),WHU (9.7),liv (8.8),ARS (8.4),LUT (11.3),bha (8.1),shu (10.2),AVL (8.7),mci (5.6),WOL (9.6),cry (8.1),NOT (10.3),tot (9.1),MCI (6.2),wol (8.7),LIV (9.7),whu (8.8),CHE (9.6),ars (7.6),bur (10.2),MUN (8.8),BHA (8.9),avl (7.9),SHU (11.3),lut (10.2),eve (9.6),FUL (9.8),bou (10.8),NEW (8.5)
Wolves,mun (8),BHA (8.9),eve (9.6),cry (8.1),LIV (9.7),lut (10.2),MCI (6.2),AVL (8.7),bou (10.8),NEW (8.5),shu (10.2),TOT (10.1),ful (8.9),ars (7.6),BUR (11.3),NOT (10.3),whu (8.8),CHE (9.6),brf (8.5),EVE (10.6),bha (8.1),MUN (8.8),che (8.7),BRF (9.4),tot (9.1),SHU (11.3),new (7.6),FUL (9.8),BOU (12),avl (7.9),bur (10.2),WHU (9.7),not (9.3),ARS (8.4),LUT (11.3),mci (5.6),CRY (8.9),liv (8.8)
Chelsea,LIV (9.7),whu (8.8),LUT (11.3),NOT (10.3),bou (10.8),AVL (8.7),ful (8.9),bur (10.2),ARS (8.4),BRF (9.4),tot (9.1),MCI (6.2),new (7.6),BHA (8.9),mun (8),eve (9.6),SHU (11.3),wol (8.7),CRY (8.9),lut (10.2),FUL (9.8),liv (8.8),WOL (9.6),cry (8.1),mci (5.6),TOT (10.1),brf (8.5),NEW (8.5),ars (7.6),BUR (11.3),MUN (8.8),shu (10.2),EVE (10.6),bha (8.1),avl (7.9),WHU (9.7),not (9.3),BOU (12)
West Ham,bou (10.8),CHE (9.6),bha (8.1),lut (10.2),MCI (6.2),liv (8.8),SHU (11.3),NEW (8.5),avl (7.9),EVE (10.6),brf (8.5),NOT (10.3),bur (10.2),CRY (8.9),tot (9.1),ful (8.9),WOL (9.6),MUN (8.8),ars (7.6),BHA (8.9),shu (10.2),BOU (12),mun (8),ARS (8.4),not (9.3),BRF (9.4),eve (9.6),BUR (11.3),AVL (8.7),new (7.6),TOT (10.1),wol (8.7),FUL (9.8),cry (8.1),LIV (9.7),che (8.7),LUT (11.3),mci (5.6)
