"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*056iw*","Allan Saint-Maximin","NEW","M,F","506","W (Fri)","AVL Sat 9:30AM","0","0","100%","59.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061xs*","Julio Enciso","BHA","M,F","180","W (Fri)","LUT Sat 7:00AM","0","0","100%","60.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0642l*","Casemiro","MUN","M","101","W (Fri)","WOL Mon 12:00PM","0","0","100%","61.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05tr1*","Ethan Pinnock","BRF","D","465","W (Fri)","TOT Sun 6:00AM","0","0","100%","61.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0524k*","Rodri","MCI","M","256","W (Fri)","@BUR Fri 12:00PM","0","0","100%","62.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03jly*","Andreas Pereira","FUL","M","263","W (Fri)","@EVE Sat 7:00AM","0","0","100%","62.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oyq*","Said Benrahma","WHU","M,F","60","W (Fri)","@BOU Sat 7:00AM","0","0","100%","64","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04agz*","Declan Rice","WHU","M","484","W (Fri)","@BOU Sat 7:00AM","0","0","100%","66","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gw7*","Jadon Sancho","MUN","M,F","514","W (Fri)","WOL Mon 12:00PM","0","0","100%","68","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03v6t*","Ben Chilwell","CHE","D,M","109","W (Fri)","LIV Sun 8:30AM","0","0","100%","68.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0639x*","Marcus Tavernier","BOU","M","563","W (Fri)","WHU Sat 7:00AM","0","0","100%","68.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03fgo*","Dominic Solanke","BOU","F","545","W (Fri)","WHU Sat 7:00AM","0","0","100%","71.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0520r*","Leandro Trossard","ARS","M,F","586","W (Fri)","NOT Sat 4:30AM","0","0","100%","71.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yo7*","Youri Tielemans","AVL","M","571","W (Fri)","@NEW Sat 9:30AM","0","0","100%","73.33","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0427d*","James Tarkowski","EVE","D","559","W (Fri)","FUL Sat 7:00AM","0","0","100%","73.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*051k3*","Jacob Ramsey","AVL","M","475","W (Fri)","@NEW Sat 9:30AM","0","0","100%","73.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068a1*","Mykhailo Mudryk","CHE","M,F","405","W (Fri)","LIV Sun 8:30AM","0","0","100%","74.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0687b*","Alex Moreno","AVL","D","399","W (Fri)","@NEW Sat 9:30AM","0","0","100%","74.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cms*","Sandro Tonali","NEW","M","578","W (Fri)","AVL Sat 9:30AM","0","0","100%","75","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dx7*","Ben Mee","BRF","D","383","W (Fri)","TOT Sun 6:00AM","0","0","100%","76.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yo6*","Miguel Almiron","NEW","M,F","19","W (Fri)","AVL Sat 9:30AM","0","0","100%","77.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04qfz*","Diogo Dalot","MUN","D","140","W (Fri)","WOL Mon 12:00PM","0","0","100%","78.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068lx*","Dango Ouattara","BOU","M,F","443","W (Fri)","WHU Sat 7:00AM","0","0","100%","79.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05vyj*","Evan Ferguson","BHA","F","185","W (Fri)","LUT Sat 7:00AM","0","0","100%","80.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*067zv*","Kevin Schade","BRF","M,F","527","W (Fri)","TOT Sun 6:00AM","0","0","67%","80.5","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gcx*","Josh Brownhill","BUR","M","85","W (Fri)","MCI Fri 12:00PM","0","0","100%","81.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04spp*","Douglas Luiz","AVL","M","544","W (Fri)","@NEW Sat 9:30AM","0","0","100%","83","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oeh*","Kenny Tete","FUL","D","568","W (Fri)","@EVE Sat 7:00AM","0","0","100%","84","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061ya*","Brennan Johnson","NOT","M,F","288","W (Fri)","@ARS Sat 4:30AM","0","0","100%","85","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0414p*","Carlton Morris","LUT","F","400","W (Fri)","@BHA Sat 7:00AM","0","0","100%","85.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05omu*","Ruben Dias","MCI","D","214","W (Fri)","@BUR Fri 12:00PM","0","0","25%","87","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*043c1*","Oleksandr Zinchenko","ARS","D","635","W (Fri)","NOT Sat 4:30AM","0","0","100%","87","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0327v*","Wilfried Zaha","CRY","M,F","632","W (Fri)","@SHU Sat 7:00AM","0","0","100%","88","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r94*","Iliman Ndiaye","SHU","M","414","W (Fri)","CRY Sat 7:00AM","0","0","100%","90.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04adp*","Aaron Wan-Bissaka","MUN","D","605","W (Fri)","WOL Mon 12:00PM","0","0","100%","90.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04io4*","Richarlison","TOT","F","642","W (Fri)","@BRF Sun 6:00AM","0","0","100%","91.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068n8*","Noni Madueke","CHE","F","351","W (Fri)","LIV Sun 8:30AM","0","0","100%","93.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02yl5*","John Stones","MCI","D,M","553","W (Fri)","@BUR Fri 12:00PM","0","0","100%","94","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","94","W (Fri)","FUL Sat 7:00AM","0","0","100%","96.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061yd*","Ivan Perisic","TOT","M","457","W (Fri)","@BRF Sun 6:00AM","0","0","100%","97.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060wh*","Alejandro Garnacho Ferreyra","MUN","M,F","212","W (Fri)","WOL Mon 12:00PM","0","0","100%","99.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*067yu*","Facundo Buonanotte","BHA","M","88","W (Fri)","LUT Sat 7:00AM","0","0","75%","102","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c4p*","Benson Manuel","BUR","F","360","W (Fri)","MCI Fri 12:00PM","0","0","100%","102.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068ym*","Enzo Fernandez","CHE","M","188","W (Fri)","LIV Sun 8:30AM","0","0","100%","102.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068yj*","Felipe","NOT","D","641","W (Fri)","@ARS Sat 4:30AM","0","0","100%","104","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
