"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*04rd0*","Bobby De Cordova-Reid","FUL","D,M,F","149","W (Fri)","@EVE Sat 7:00AM","0","0","25%","124","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*051kl*","Emiliano Buendia","AVL","M,F","86","W (Fri)","@NEW Sat 9:30AM","0","0","100%","124.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0327r*","Michael Keane","EVE","D","300","W (Fri)","FUL Sat 7:00AM","0","0","100%","126.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06clt*","Justin Kluivert","BOU","M","310","W (Fri)","WHU Sat 7:00AM","0","0","100%","127","50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03vll*","Michail Antonio","WHU","F","32","W (Fri)","@BOU Sat 7:00AM","0","0","75%","128","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05opn*","Carlos Vinicius","FUL","F","21","W (Fri)","@EVE Sat 7:00AM","0","0","25%","129","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lnn*","Oliver Norwood","SHU","M","424","W (Fri)","CRY Sat 7:00AM","0","0","75%","129","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","265","W (Fri)","@BRF Sun 6:00AM","0","0","50%","129.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062a9*","Sven Botman","NEW","D","77","W (Fri)","AVL Sat 9:30AM","0","0","100%","131","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c6a*","Alfie Doughty","LUT","M","164","W (Fri)","@BHA Sat 7:00AM","0","0","100%","131","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pl*","Lisandro Martinez","MUN","D","365","W (Fri)","WOL Mon 12:00PM","0","0","100%","132.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06clv*","Mahmoud Dahoud","BHA","M","139","W (Fri)","LUT Sat 7:00AM","0","0","50%","134","25%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uns*","Leon Bailey","AVL","M,F","49","W (Fri)","@NEW Sat 9:30AM","0","0","100%","137.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rzp*","Antonee Robinson","FUL","D","491","W (Fri)","@EVE Sat 7:00AM","0","0","75%","138","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05opl*","Wesley Fofana","CHE","D","195","W (Fri)","LIV Sun 8:30AM","0","0","100%","140.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gcp*","Tomas Soucek","WHU","M","547","W (Fri)","@BOU Sat 7:00AM","0","0","100%","140.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068sd*","Jakub Kiwior","ARS","D","309","W (Fri)","NOT Sat 4:30AM","0","0","25%","141","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nt7*","Thiago Silva","CHE","D","639","W (Fri)","LIV Sun 8:30AM","0","0","100%","141.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rzl*","Taiwo Awoniyi","NOT","F","43","W (Fri)","@ARS Sat 4:30AM","0","0","50%","141.5","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03vlm*","Anthony Martial","MUN","F","362","W (Fri)","WOL Mon 12:00PM","0","0","75%","141.67","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ylw*","Rodrigo Bentancur","TOT","M","61","W (Fri)","@BRF Sun 6:00AM","0","0","100%","145.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0570n*","Joao Cancelo","MCI","D","104","W (Fri)","@BUR Fri 12:00PM","0","0","100%","145.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04spw*","James Garner","EVE","M","213","W (Fri)","FUL Sat 7:00AM","0","0","75%","145.67","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ybq*","Vitalii Mykolenko","EVE","D,M","411","W (Fri)","FUL Sat 7:00AM","0","0","75%","146.33","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gcq*","Daniel Podence","WOL","M,F","102","W (Fri)","@MUN Mon 12:00PM","0","0","25%","148","50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c4q*","Anass Zaroury","BUR","F","633","W (Fri)","MCI Fri 12:00PM","0","0","50%","148","50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r34*","Amad Diallo","MUN","F","155","W (Fri)","WOL Mon 12:00PM","0","0","50%","148.5","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0633p*","Gianluca Scamacca","WHU","F","526","W (Fri)","@BOU Sat 7:00AM","0","0","75%","148.67","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uor*","Yoane Wissa","BRF","M,F","623","W (Fri)","TOT Sun 6:00AM","0","0","75%","148.67","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
