Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Manchester City,bur (12.3),NEW (8.3),shu (12.3),FUL (11.5),whu (10.7),NOT (13.8),wol (11.2),ars (8.5),BHA (10.4),mun (8.5),BOU (13.3),che (9.4),LIV (11.6),TOT (13.3),avl (8.3),lut (12.3),CRY (10.4),BRF (9.9),eve (11.3),SHU (14.3),new (7.2),BUR (14.3),brf (8.5),EVE (13.2),CHE (10.9),bou (11.4),MUN (9.9),liv (10),bha (9),ARS (9.9),AVL (9.6),cry (8.9),LUT (14.3),tot (11.4),not (11.8),WOL (13),ful (9.9),WHU (12.5)
Newcastle Utd,AVL (9.6),mci (7),LIV (11.6),bha (9),BRF (9.9),shu (12.3),BUR (14.3),whu (10.7),CRY (10.4),wol (11.2),ARS (9.9),bou (11.4),CHE (10.9),MUN (9.9),eve (11.3),tot (11.4),FUL (11.5),lut (12.3),NOT (13.8),liv (10),MCI (8.1),avl (8.3),LUT (14.3),not (11.8),BOU (13.3),ars (8.5),WOL (13),che (9.4),cry (8.9),WHU (12.5),EVE (13.2),ful (9.9),TOT (13.3),mun (8.5),SHU (14.3),bur (12.3),BHA (10.4),brf (8.5)
Aston Villa,new (7.2),EVE (13.2),bur (12.3),liv (10),CRY (10.4),che (9.4),BHA (10.4),wol (11.2),WHU (12.5),LUT (14.3),not (11.8),FUL (11.5),tot (11.4),bou (11.4),MCI (8.1),ARS (9.9),brf (8.5),SHU (14.3),mun (8.5),BUR (14.3),eve (11.3),NEW (8.3),shu (12.3),MUN (9.9),ful (9.9),NOT (13.8),lut (12.3),TOT (13.3),whu (10.7),WOL (13),mci (7),BRF (9.9),ars (8.5),BOU (13.3),CHE (10.9),bha (9),LIV (11.6),cry (8.9)
Brentford,TOT (13.3),ful (9.9),CRY (10.4),BOU (13.3),new (7.2),EVE (13.2),not (11.8),mun (8.5),BUR (14.3),che (9.4),WHU (12.5),liv (10),ARS (9.9),LUT (14.3),bha (9),shu (12.3),AVL (9.6),mci (7),WOL (13),cry (8.9),NOT (13.8),tot (11.4),MCI (8.1),wol (11.2),LIV (11.6),whu (10.7),CHE (10.9),ars (8.5),bur (12.3),MUN (9.9),BHA (10.4),avl (8.3),SHU (14.3),lut (12.3),eve (11.3),FUL (11.5),bou (11.4),NEW (8.3)
Manchester Utd,WOL (13),tot (11.4),NOT (13.8),ars (8.5),BHA (10.4),bur (12.3),CRY (10.4),BRF (9.9),shu (12.3),MCI (8.1),ful (9.9),LUT (14.3),eve (11.3),new (7.2),CHE (10.9),BOU (13.3),liv (10),whu (10.7),AVL (9.6),not (11.8),TOT (13.3),wol (11.2),WHU (12.5),avl (8.3),lut (12.3),FUL (11.5),mci (7),EVE (13.2),SHU (14.3),brf (8.5),che (9.4),LIV (11.6),bou (11.4),NEW (8.3),BUR (14.3),cry (8.9),ARS (9.9),bha (9)
Arsenal,NOT (13.8),cry (8.9),FUL (11.5),MUN (9.9),eve (11.3),TOT (13.3),bou (11.4),MCI (8.1),che (9.4),SHU (14.3),new (7.2),BUR (14.3),brf (8.5),WOL (13),lut (12.3),avl (8.3),BHA (10.4),liv (10),WHU (12.5),ful (9.9),CRY (10.4),not (11.8),LIV (11.6),whu (10.7),bur (12.3),NEW (8.3),shu (12.3),BRF (9.9),CHE (10.9),mci (7),LUT (14.3),bha (9),AVL (9.6),wol (11.2),tot (11.4),BOU (13.3),mun (8.5),EVE (13.2)
Crystal Palace,shu (12.3),ARS (9.9),brf (8.5),WOL (13),avl (8.3),FUL (11.5),mun (8.5),NOT (13.8),new (7.2),TOT (13.3),bur (12.3),EVE (13.2),lut (12.3),whu (10.7),BOU (13.3),LIV (11.6),mci (7),BHA (10.4),che (9.4),BRF (9.9),ars (8.5),SHU (14.3),bha (9),CHE (10.9),eve (11.3),BUR (14.3),tot (11.4),LUT (14.3),NEW (8.3),not (11.8),bou (11.4),MCI (8.1),liv (10),WHU (12.5),ful (9.9),MUN (9.9),wol (11.2),AVL (9.6)
Brighton,LUT (14.3),wol (11.2),WHU (12.5),NEW (8.3),mun (8.5),BOU (13.3),avl (8.3),LIV (11.6),mci (7),FUL (11.5),eve (11.3),SHU (14.3),not (11.8),che (9.4),BRF (9.9),BUR (14.3),ars (8.5),cry (8.9),TOT (13.3),whu (10.7),WOL (13),lut (12.3),CRY (10.4),tot (11.4),shu (12.3),EVE (13.2),ful (9.9),NOT (13.8),MCI (8.1),liv (10),brf (8.5),ARS (9.9),bur (12.3),CHE (10.9),bou (11.4),AVL (9.6),new (7.2),MUN (9.9)
Chelsea,LIV (11.6),whu (10.7),LUT (14.3),NOT (13.8),bou (11.4),AVL (9.6),ful (9.9),bur (12.3),ARS (9.9),BRF (9.9),tot (11.4),MCI (8.1),new (7.2),BHA (10.4),mun (8.5),eve (11.3),SHU (14.3),wol (11.2),CRY (10.4),lut (12.3),FUL (11.5),liv (10),WOL (13),cry (8.9),mci (7),TOT (13.3),brf (8.5),NEW (8.3),ars (8.5),BUR (14.3),MUN (9.9),shu (12.3),EVE (13.2),bha (9),avl (8.3),WHU (12.5),not (11.8),BOU (13.3)
Fulham,eve (11.3),BRF (9.9),ars (8.5),mci (7),LUT (14.3),cry (8.9),CHE (10.9),SHU (14.3),tot (11.4),bha (9),MUN (9.9),avl (8.3),WOL (13),liv (10),NOT (13.8),WHU (12.5),new (7.2),BUR (14.3),bou (11.4),ARS (9.9),che (9.4),EVE (13.2),bur (12.3),BOU (13.3),AVL (9.6),mun (8.5),BHA (10.4),wol (11.2),TOT (13.3),shu (12.3),not (11.8),NEW (8.3),whu (10.7),LIV (11.6),CRY (10.4),brf (8.5),MCI (8.1),lut (12.3)
