Player,gPPS,Prev gPts,Team,Starts,gPPS Form,gPP90,22/23 gPPS,Pos
Manor Solomon,16.0,16.00,TOT,1,0.0,22.5,6.9,F
Joachim Andersen,14.7,7.75,CRY,4,14.7,14.7,7.5,D
Jose Sa,14.6,17.25,WOL,4,14.6,14.6,7.8,G
Pascal Gross,14.1,7.50,BHA,4,14.1,14.6,7.9,M
Pedro Neto,14.1,16.50,WOL,4,14.1,14.1,5.3,F
Eberechi Eze,13.8,18.00,CRY,4,13.8,13.8,8.0,M
Bukayo Saka,13.6,15.00,ARS,4,13.6,13.7,8.6,M
Pervis Estupinan,12.3,9.75,BHA,4,12.3,12.3,8.2,D
Bernd Leno,12.2,0.00,FUL,4,12.2,12.2,9.4,G
Bruno Fernandes,12.1,9.50,MUN,4,12.1,12.1,11.3,M
Willy Boly,12.1,13.75,NOT,4,12.1,12.8,5.9,D
Julio Enciso,12.0,0.00,BHA,1,0.0,16.1,6.4,F
Matheus Nunes,12.0,0.00,MCI,2,0.0,12.1,5.7,M
James Maddison,11.8,16.50,TOT,4,11.8,12.6,10.0,M
Kieran Trippier,11.8,7.50,NEW,4,11.8,11.8,12.4,D
Luke Shaw,11.4,0.00,MUN,2,0.0,11.4,8.3,D
Neco Williams,11.3,0.00,NOT,1,0.0,11.1,8.3,D
Wes Foderingham,11.3,9.00,SHU,4,11.3,11.3,,G
Kaoru Mitoma,11.0,10.00,BHA,4,11.0,11.3,7.8,M
Oliver McBurnie,11.0,11.00,SHU,1,0.0,11.7,,F
Ethan Pinnock,10.9,10.25,BRF,4,10.9,10.9,9.6,D
James Trafford,10.9,13.25,BUR,3,10.9,10.9,,G
Julian Alvarez,10.9,3.00,MCI,4,10.9,10.9,6.5,F
Neto,10.9,13.00,BOU,4,10.9,10.9,9.0,G
Hannes Delcroix,10.8,0.00,BUR,1,0.0,11.3,,D
Jarrad Branthwaite,10.8,12.00,EVE,2,0.0,10.8,,D
Lucas Digne,10.5,16.50,AVL,4,10.5,10.8,6.2,D
Alphonse Areola,10.2,1.00,WHU,4,10.2,10.2,9.5,G
Thomas Kaminski,10.2,3.00,LUT,3,10.2,10.2,,G
Alisson,10.1,7.00,LIV,4,10.1,10.1,7.3,G
Yves Bissouma,10.1,7.50,TOT,4,10.1,10.6,3.3,M
Lucas Paqueta,10.0,6.50,WHU,4,10.0,10.3,7.4,M
Reece James,10.0,0.00,CHE,1,0.0,12.0,10.0,D
Solly March,9.9,5.00,BHA,4,9.9,11.3,10.1,M
Morgan Gibbs-White,9.8,3.00,NOT,4,9.8,9.8,7.8,M
Phil Foden,9.8,4.50,MCI,3,9.8,11.8,8.5,M
Matt Turner,9.6,6.25,NOT,4,9.6,9.6,0.0,G
Emiliano Martinez,9.5,5.25,AVL,3,9.5,9.5,7.8,G
Jan-Paul van Hecke,9.5,6.50,BHA,2,0.0,9.5,7.5,D
Jordan Beyer,9.5,9.00,BUR,2,0.0,11.7,,D
Thiago Silva,9.5,11.50,CHE,4,9.5,9.5,7.2,D
Trent Alexander-Arnold,9.5,13.00,LIV,4,9.5,10.5,9.9,D
Jefferson Lerma,9.4,8.00,CRY,4,9.4,9.4,5.1,M
Dara O'Shea,9.3,10.50,BUR,3,9.3,9.3,,D
Jarrod Bowen,9.3,5.50,WHU,4,9.3,9.3,6.6,M
Kurt Zouma,9.3,16.75,WHU,4,9.3,9.3,6.2,D
Tomas Soucek,9.3,0.00,WHU,3,9.3,11.6,6.6,M
Aaron Wan-Bissaka,9.2,8.25,MUN,4,9.2,9.9,7.5,D
Guglielmo Vicario,9.2,6.00,TOT,4,9.2,9.2,,G
John Egan,9.2,11.50,SHU,4,9.2,9.8,,D
Ben Chilwell,9.1,11.00,CHE,4,9.1,11.1,6.7,D
Beto,9.0,9.00,EVE,1,0.0,9.0,,F
Craig Dawson,9.0,8.25,WOL,4,9.0,9.5,5.7,D
Enzo Fernandez,9.0,10.00,CHE,4,9.0,9.0,5.9,M
Son Heung-Min,9.0,9.00,TOT,4,9.0,10.0,7.1,F
Alex Iwobi,8.8,0.00,FUL,2,0.0,11.3,7.4,M
Andre Onana,8.8,6.25,MUN,4,8.8,8.8,,G
Ashley Young,8.8,14.50,EVE,4,8.8,8.8,5.1,D
Jack Grealish,8.8,0.00,MCI,2,0.0,8.8,8.1,M
Abdoulaye Doucoure,8.6,12.00,EVE,4,8.6,8.7,6.8,M
Erling Haaland,8.6,10.00,MCI,4,8.6,8.9,6.3,F
Evan Ferguson,8.5,10.00,BHA,2,0.0,10.4,3.9,F
Mads Andersen,8.5,12.50,LUT,2,0.0,9.2,,D
