"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05os8*","Joachim Andersen","CRY","D","1","deceptiv","WOL Sun 6:00AM","63","21","47%","142.59","84%","+5%","3","270","1","6","0","3","4","0","0","0","3","2","16","4","3","13","0","0","0","2","1"
"*04e1k*","Solly March","BHA","M","2","Maddihat","NEW Sat 9:30AM","62.5","20.83","100%","34.21","100%","0%","3","234","3","5","0","6","4","5","0","0","0","5","4","5","0","2","0","0","0","4","1"
"*04y92*","Bukayo Saka","ARS","M","3","Adam","MUN Sun 8:30AM","58.5","19.5","100%","4.26","100%","0%","3","268","2","9","0","4","4","2","0","0","2","1","1","7","0","1","0","0","0","3","1"
"*04fk1*","Pascal Gross","BHA","M","4","deceptiv","NEW Sat 9:30AM","56","18.67","100%","36.26","100%","-0.1%","3","260","1","14","0","5","2","2","1","0","2","3","2","3","1","2","0","0","0","5","0"
"*0524k*","Rodri","MCI","M","5","Vroom","FUL Sat 7:00AM","55.5","18.5","99%","54.41","100%","0%","3","270","2","2","1","5","8","2","0","0","0","1","5","5","0","5","0","0","0","1","2"
"*062cn*","Julian Alvarez","MCI","F","6","dsb_ff","FUL Sat 7:00AM","53.5","17.83","100%","58.15","100%","+0.1%","3","270","1","12","1","5","2","2","1","0","2","1","0","2","0","1","0","0","0","1","2"
"*046c5*","Jarrod Bowen","WHU","M","7","dsb_ff","@LUT Fri 12:00PM","53.5","17.83","100%","32.53","100%","0%","3","270","2","4","1","5","5","5","1","0","0","2","1","5","0","8","0","0","0","3","0"
"*0414o*","James Maddison","TOT","M","8","Maddihat","@BUR Sat 7:00AM","51.5","17.17","100%","15.8","100%","0%","3","252","1","9","2","4","0","8","1","0","2","2","2","4","0","1","0","0","0","2","2"
"*05gcr*","Bruno Fernandes","MUN","M","9","4b. DcbB","@ARS Sun 8:30AM","51","17","100%","3.52","100%","0%","3","270","1","10","1","4","5","4","2","0","2","2","2","2","1","2","0","0","0","4","1"
"*062ci*","Kaoru Mitoma","BHA","M","10","Kish123","NEW Sat 9:30AM","51","17","100%","19.38","100%","0%","3","260","1","11","2","1","1","1","2","0","2","1","1","6","0","1","0","0","0","5","0"
"*063zg*","Pervis Estupinan","BHA","D","11","XXX","NEW Sat 9:30AM","49.25","16.42","100%","43.02","100%","+0.1%","3","270","1","10","2","3","2","2","2","0","5","3","1","2","0","2","0","0","0","5","0"
"*02lkp*","Raheem Sterling","CHE","F","12","4b. DcbB","NOT Sat 7:00AM","48.5","16.17","100%","57.78","100%","+0.5%","3","258","2","4","1","3","3","15","0","0","5","0","0","8","0","0","0","1","0","4","1"
"*06dq8*","Moussa Diaby","AVL","F","13","Vroom","@LIV Sun 6:00AM","48","16","98%","49.2","97%","0%","3","221","2","6","1","5","1","6","0","0","1","0","1","3","0","0","0","0","0","5","1"
"*061vq*","Erling Haaland","MCI","F","14","dsb_ff","FUL Sat 7:00AM","47.5","15.83","100%","1.12","100%","0%","3","259","3","4","0","7","0","3","0","0","0","1","1","1","0","4","1","0","0","1","2"
