Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Manchester City,bur (7.1),NEW (6.1),shu (7.1),FUL (7.3),whu (7.5),NOT (7.9),wol (7.5),ars (3.3),BHA (3),mun (5.1),BOU (10.4),che (6.3),LIV (4.8),TOT (5.6),avl (4.6),lut (7.1),CRY (9.8),BRF (7.2),eve (7.3),SHU (8.7),new (5),BUR (8.7),brf (5.9),EVE (9),CHE (7.7),bou (8.5),MUN (6.2),liv (4),bha (2.5),ARS (4),AVL (5.7),cry (8),LUT (8.7),tot (4.6),not (6.5),WOL (9.1),ful (6),WHU (9.2)
Brighton,LUT (8.7),wol (7.5),WHU (9.2),NEW (6.1),mun (5.1),BOU (10.4),avl (4.6),LIV (4.8),mci (1.6),FUL (7.3),eve (7.3),SHU (8.7),not (6.5),che (6.3),BRF (7.2),BUR (8.7),ars (3.3),cry (8),TOT (5.6),whu (7.5),WOL (9.1),lut (7.1),CRY (9.8),tot (4.6),shu (7.1),EVE (9),ful (6),NOT (7.9),MCI (1.9),liv (4),brf (5.9),ARS (4),bur (7.1),CHE (7.7),bou (8.5),AVL (5.7),new (5),MUN (6.2)
Arsenal,NOT (7.9),cry (8),FUL (7.3),MUN (6.2),eve (7.3),TOT (5.6),bou (8.5),MCI (1.9),che (6.3),SHU (8.7),new (5),BUR (8.7),brf (5.9),WOL (9.1),lut (7.1),avl (4.6),BHA (3),liv (4),WHU (9.2),ful (6),CRY (9.8),not (6.5),LIV (4.8),whu (7.5),bur (7.1),NEW (6.1),shu (7.1),BRF (7.2),CHE (7.7),mci (1.6),LUT (8.7),bha (2.5),AVL (5.7),wol (7.5),tot (4.6),BOU (10.4),mun (5.1),EVE (9)
Liverpool,che (6.3),BOU (10.4),new (5),AVL (5.7),wol (7.5),WHU (9.2),tot (4.6),bha (2.5),EVE (9),NOT (7.9),lut (7.1),BRF (7.2),mci (1.6),FUL (7.3),shu (7.1),cry (8),MUN (6.2),ARS (4),bur (7.1),NEW (6.1),bou (8.5),CHE (7.7),ars (3.3),BUR (8.7),brf (5.9),LUT (8.7),not (6.5),MCI (1.9),eve (7.3),BHA (3),SHU (8.7),mun (5.1),CRY (9.8),ful (6),whu (7.5),TOT (5.6),avl (4.6),WOL (9.1)
Tottenham,brf (5.9),MUN (6.2),bou (8.5),bur (7.1),SHU (8.7),ars (3.3),LIV (4.8),lut (7.1),FUL (7.3),cry (8),CHE (7.7),wol (7.5),AVL (5.7),mci (1.6),WHU (9.2),NEW (6.1),not (6.5),EVE (9),bha (2.5),BOU (10.4),mun (5.1),BRF (7.2),eve (7.3),BHA (3),WOL (9.1),che (6.3),CRY (9.8),avl (4.6),ful (6),LUT (8.7),whu (7.5),NOT (7.9),new (5),MCI (1.9),ARS (4),liv (4),BUR (8.7),shu (7.1)
Aston Villa,new (5),EVE (9),bur (7.1),liv (4),CRY (9.8),che (6.3),BHA (3),wol (7.5),WHU (9.2),LUT (8.7),not (6.5),FUL (7.3),tot (4.6),bou (8.5),MCI (1.9),ARS (4),brf (5.9),SHU (8.7),mun (5.1),BUR (8.7),eve (7.3),NEW (6.1),shu (7.1),MUN (6.2),ful (6),NOT (7.9),lut (7.1),TOT (5.6),whu (7.5),WOL (9.1),mci (1.6),BRF (7.2),ars (3.3),BOU (10.4),CHE (7.7),bha (2.5),LIV (4.8),cry (8)
Newcastle Utd,AVL (5.7),mci (1.6),LIV (4.8),bha (2.5),BRF (7.2),shu (7.1),BUR (8.7),whu (7.5),CRY (9.8),wol (7.5),ARS (4),bou (8.5),CHE (7.7),MUN (6.2),eve (7.3),tot (4.6),FUL (7.3),lut (7.1),NOT (7.9),liv (4),MCI (1.9),avl (4.6),LUT (8.7),not (6.5),BOU (10.4),ars (3.3),WOL (9.1),che (6.3),cry (8),WHU (9.2),EVE (9),ful (6),TOT (5.6),mun (5.1),SHU (8.7),bur (7.1),BHA (3),brf (5.9)
Manchester Utd,WOL (9.1),tot (4.6),NOT (7.9),ars (3.3),BHA (3),bur (7.1),CRY (9.8),BRF (7.2),shu (7.1),MCI (1.9),ful (6),LUT (8.7),eve (7.3),new (5),CHE (7.7),BOU (10.4),liv (4),whu (7.5),AVL (5.7),not (6.5),TOT (5.6),wol (7.5),WHU (9.2),avl (4.6),lut (7.1),FUL (7.3),mci (1.6),EVE (9),SHU (8.7),brf (5.9),che (6.3),LIV (4.8),bou (8.5),NEW (6.1),BUR (8.7),cry (8),ARS (4),bha (2.5)
Brentford,TOT (5.6),ful (6),CRY (9.8),BOU (10.4),new (5),EVE (9),not (6.5),mun (5.1),BUR (8.7),che (6.3),WHU (9.2),liv (4),ARS (4),LUT (8.7),bha (2.5),shu (7.1),AVL (5.7),mci (1.6),WOL (9.1),cry (8),NOT (7.9),tot (4.6),MCI (1.9),wol (7.5),LIV (4.8),whu (7.5),CHE (7.7),ars (3.3),bur (7.1),MUN (6.2),BHA (3),avl (4.6),SHU (8.7),lut (7.1),eve (7.3),FUL (7.3),bou (8.5),NEW (6.1)
Fulham,eve (7.3),BRF (7.2),ars (3.3),mci (1.6),LUT (8.7),cry (8),CHE (7.7),SHU (8.7),tot (4.6),bha (2.5),MUN (6.2),avl (4.6),WOL (9.1),liv (4),NOT (7.9),WHU (9.2),new (5),BUR (8.7),bou (8.5),ARS (4),che (6.3),EVE (9),bur (7.1),BOU (10.4),AVL (5.7),mun (5.1),BHA (3),wol (7.5),TOT (5.6),shu (7.1),not (6.5),NEW (6.1),whu (7.5),LIV (4.8),CRY (9.8),brf (5.9),MCI (1.9),lut (7.1)
Chelsea,LIV (4.8),whu (7.5),LUT (8.7),NOT (7.9),bou (8.5),AVL (5.7),ful (6),bur (7.1),ARS (4),BRF (7.2),tot (4.6),MCI (1.9),new (5),BHA (3),mun (5.1),eve (7.3),SHU (8.7),wol (7.5),CRY (9.8),lut (7.1),FUL (7.3),liv (4),WOL (9.1),cry (8),mci (1.6),TOT (5.6),brf (5.9),NEW (6.1),ars (3.3),BUR (8.7),MUN (6.2),shu (7.1),EVE (9),bha (2.5),avl (4.6),WHU (9.2),not (6.5),BOU (10.4)
Nott'ham Forest,ars (3.3),SHU (8.7),mun (5.1),che (6.3),BUR (8.7),mci (1.6),BRF (7.2),cry (8),LUT (8.7),liv (4),AVL (5.7),whu (7.5),BHA (3),EVE (9),ful (6),wol (7.5),TOT (5.6),BOU (10.4),new (5),MUN (6.2),brf (5.9),ARS (4),bou (8.5),NEW (6.1),WHU (9.2),avl (4.6),LIV (4.8),bha (2.5),lut (7.1),CRY (9.8),FUL (7.3),tot (4.6),WOL (9.1),eve (7.3),MCI (1.9),shu (7.1),CHE (7.7),bur (7.1)
Burnley,MCI (1.9),lut (7.1),AVL (5.7),TOT (5.6),not (6.5),MUN (6.2),new (5),CHE (7.7),brf (5.9),bou (8.5),CRY (9.8),ars (3.3),WHU (9.2),SHU (8.7),wol (7.5),bha (2.5),EVE (9),ful (6),LIV (4.8),avl (4.6),LUT (8.7),mci (1.6),FUL (7.3),liv (4),ARS (4),cry (8),BOU (10.4),whu (7.5),BRF (7.2),che (6.3),WOL (9.1),eve (7.3),BHA (3),shu (7.1),mun (5.1),NEW (6.1),tot (4.6),NOT (7.9)
Sheffield Utd,CRY (9.8),not (6.5),MCI (1.9),EVE (9),tot (4.6),NEW (6.1),whu (7.5),ful (6),MUN (6.2),ars (3.3),WOL (9.1),bha (2.5),BOU (10.4),bur (7.1),LIV (4.8),BRF (7.2),che (6.3),avl (4.6),LUT (8.7),mci (1.6),WHU (9.2),cry (8),AVL (5.7),lut (7.1),BHA (3),wol (7.5),ARS (4),bou (8.5),mun (5.1),FUL (7.3),liv (4),CHE (7.7),brf (5.9),BUR (8.7),new (5),NOT (7.9),eve (7.3),TOT (5.6)
Luton,bha (2.5),BUR (8.7),che (6.3),WHU (9.2),ful (6),WOL (9.1),eve (7.3),TOT (5.6),not (6.5),avl (4.6),LIV (4.8),mun (5.1),CRY (9.8),brf (5.9),ARS (4),MCI (1.9),bou (8.5),NEW (6.1),shu (7.1),CHE (7.7),bur (7.1),BHA (3),new (5),SHU (8.7),MUN (6.2),liv (4),AVL (5.7),cry (8),NOT (7.9),tot (4.6),ars (3.3),BOU (10.4),mci (1.6),BRF (7.2),wol (7.5),EVE (9),whu (7.5),FUL (7.3)
Everton,FUL (7.3),avl (4.6),WOL (9.1),shu (7.1),ARS (4),brf (5.9),LUT (8.7),BOU (10.4),liv (4),whu (7.5),BHA (3),cry (8),MUN (6.2),not (6.5),NEW (6.1),CHE (7.7),bur (7.1),tot (4.6),MCI (1.9),wol (7.5),AVL (5.7),ful (6),TOT (5.6),mci (1.6),CRY (9.8),bha (2.5),WHU (9.2),mun (5.1),LIV (4.8),bou (8.5),new (5),BUR (8.7),che (6.3),NOT (7.9),BRF (7.2),lut (7.1),SHU (8.7),ars (3.3)
Wolves,mun (5.1),BHA (3),eve (7.3),cry (8),LIV (4.8),lut (7.1),MCI (1.9),AVL (5.7),bou (8.5),NEW (6.1),shu (7.1),TOT (5.6),ful (6),ars (3.3),BUR (8.7),NOT (7.9),whu (7.5),CHE (7.7),brf (5.9),EVE (9),bha (2.5),MUN (6.2),che (6.3),BRF (7.2),tot (4.6),SHU (8.7),new (5),FUL (7.3),BOU (10.4),avl (4.6),bur (7.1),WHU (9.2),not (6.5),ARS (4),LUT (8.7),mci (1.6),CRY (9.8),liv (4)
West Ham,bou (8.5),CHE (7.7),bha (2.5),lut (7.1),MCI (1.9),liv (4),SHU (8.7),NEW (6.1),avl (4.6),EVE (9),brf (5.9),NOT (7.9),bur (7.1),CRY (9.8),tot (4.6),ful (6),WOL (9.1),MUN (6.2),ars (3.3),BHA (3),shu (7.1),BOU (10.4),mun (5.1),ARS (4),not (6.5),BRF (7.2),eve (7.3),BUR (8.7),AVL (5.7),new (5),TOT (5.6),wol (7.5),FUL (7.3),cry (8),LIV (4.8),che (6.3),LUT (8.7),mci (1.6)
Crystal Palace,shu (7.1),ARS (4),brf (5.9),WOL (9.1),avl (4.6),FUL (7.3),mun (5.1),NOT (7.9),new (5),TOT (5.6),bur (7.1),EVE (9),lut (7.1),whu (7.5),BOU (10.4),LIV (4.8),mci (1.6),BHA (3),che (6.3),BRF (7.2),ars (3.3),SHU (8.7),bha (2.5),CHE (7.7),eve (7.3),BUR (8.7),tot (4.6),LUT (8.7),NEW (6.1),not (6.5),bou (8.5),MCI (1.9),liv (4),WHU (9.2),ful (6),MUN (6.2),wol (7.5),AVL (5.7)
Bournemouth,WHU (9.2),liv (4),TOT (5.6),brf (5.9),CHE (7.7),bha (2.5),ARS (4),eve (7.3),WOL (9.1),BUR (8.7),mci (1.6),NEW (6.1),shu (7.1),AVL (5.7),cry (8),mun (5.1),LUT (8.7),not (6.5),FUL (7.3),tot (4.6),LIV (4.8),whu (7.5),NOT (7.9),ful (6),new (5),MCI (1.9),bur (7.1),SHU (8.7),wol (7.5),EVE (9),CRY (9.8),lut (7.1),MUN (6.2),avl (4.6),BHA (3),ars (3.3),BRF (7.2),che (6.3)
