"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*061vq*","Erling Haaland","MCI","F","1","dsb_ff","@WOL Sat 7:00AM","125.5","20.92","100%","1.12","100%","0%","6","527","8","7","1","17","0","4","0","0","0","1","4","1","0","7","1","0","0","3","3"
"*04y92*","Bukayo Saka","ARS","M","2","Adam","@BOU Sat 7:00AM","122.5","20.42","100%","4.26","100%","0%","6","536","3","19","3","7","10","7","1","0","4","2","3","12","0","2","0","0","0","6","2"
"*0414o*","James Maddison","TOT","M","3","Maddihat","LIV Sat 9:30AM","112","18.67","100%","15.79","100%","0%","6","504","2","17","4","11","3","11","2","0","3","3","2","12","0","1","0","0","0","6","2"
"*056iy*","Pedro Neto","WOL","F","4","Kish123","MCI Sat 7:00AM","108","18","55%","135.99","96%","+1.7%","6","540","1","18","4","5","2","7","1","0","13","3","1","15","1","1","0","0","0","12","1"
"*03aqp*","Mohamed Salah","LIV","F","5","Vroom","@TOT Sat 9:30AM","106.5","17.75","100%","2.86","100%","0%","6","519","3","14","4","10","5","9","0","0","2","1","0","5","0","2","1","1","0","5","1"
"*062cn*","Julian Alvarez","MCI","F","6","dsb_ff","@WOL Sat 7:00AM","105.5","17.58","100%","58.11","100%","0%","6","504","2","16","5","8","4","4","1","0","3","1","1","3","0","1","0","1","0","3","2"
"*03dx3*","Kieran Trippier","NEW","D","7","deceptiv","BUR Sat 7:00AM","94.75","15.79","100%","11.57","100%","0%","6","519","0","17","3","0","4","2","1","0","9","6","7","7","5","12","0","0","0","7","2"
"*062ci*","Kaoru Mitoma","BHA","M","8","Kish123","@AVL Sat 4:30AM","93","15.5","100%","19.37","100%","0%","6","485","3","14","3","5","2","2","2","0","2","2","1","8","0","2","0","0","0","7","0"
"*03v9d*","Son Heung-Min","TOT","F","9","deceptiv","LIV Sat 9:30AM","91.5","15.25","100%","11.71","100%","0%","6","482","5","11","0","7","2","2","0","0","1","2","3","6","0","1","0","0","0","6","2"
"*05gcr*","Bruno Fernandes","MUN","M","10","4b. DcbB","CRY Sat 7:00AM","89.5","14.92","100%","3.52","100%","0%","6","540","2","18","1","8","6","6","3","0","3","5","8","4","1","3","0","0","0","10","2"
"*05nt6*","Eberechi Eze","CRY","M","11","XXX","@MUN Sat 7:00AM","88","14.67","100%","27.73","100%","0%","6","540","1","16","0","8","3","16","1","0","6","2","0","25","0","6","0","0","0","7","2"
"*046c5*","Jarrod Bowen","WHU","M","12","dsb_ff","SHU Sat 7:00AM","86.5","14.42","100%","32.52","100%","0%","6","540","4","4","1","8","8","10","1","0","0","5","4","9","0","11","0","0","0","10","0"
"*04abb*","Phil Foden","MCI","M","13","XXX","@WOL Sat 7:00AM","82","13.67","100%","16.45","100%","0%","6","423","1","15","3","4","4","6","0","0","1","2","2","10","0","0","0","0","0","2","3"
"*04fk1*","Pascal Gross","BHA","M","14","deceptiv","@AVL Sat 4:30AM","78.5","15.7","100%","36.26","100%","-0.1%","5","438","2","16","0","7","2","5","1","0","3","5","2","6","1","2","0","0","0","6","1"
"*02oq8*","James Ward-Prowse","WHU","M","15","Pancake","SHU Sat 7:00AM","78.5","15.7","2%","292.38","85%","+0.2%","5","440","2","8","3","4","3","3","1","0","2","10","9","2","3","4","0","0","0","9","0"
"*05os8*","Joachim Andersen","CRY","D","16","deceptiv","@MUN Sat 7:00AM","78.25","13.04","47%","142.49","93%","+0.4%","6","540","1","7","0","3","6","0","0","0","3","5","33","5","4","19","0","0","0","7","2"
"*04mdn*","Anthony Gordon","NEW","M","17","4b. DcbB","BUR Sat 7:00AM","78","13","71%","128.43","93%","-1.5%","6","450","2","8","3","6","6","8","4","0","3","1","2","10","0","2","0","1","0","5","3"
"*05w9q*","Odsonne Edouard","CRY","F","18","XXX","@MUN Sat 7:00AM","76.5","12.75","18%","223.19","85%","+3.8%","6","514","4","5","0","9","3","7","0","0","0","2","6","6","0","10","0","0","0","4","2"
"*05tr9*","Mathias Jensen","BRF","M","19","Pancake","@NOT Sun 6:00AM","76","12.67","83%","116.69","96%","+1.3%","6","468","2","11","1","3","10","4","1","0","4","5","5","2","2","2","0","1","0","8","2"
"*05ylx*","Dejan Kulusevski","TOT","M","20","Vroom","LIV Sat 9:30AM","74","12.33","100%","44.11","100%","0%","6","532","2","15","0","5","5","9","1","0","3","6","1","6","0","1","0","0","0","6","2"
"*05trb*","Bryan Mbeumo","BRF","F","21","XXX","@NOT Sun 6:00AM","74","12.33","100%","40.27","100%","0%","6","540","4","6","0","7","4","9","1","0","7","1","4","2","0","9","0","0","0","9","1"
"*063zg*","Pervis Estupinan","BHA","D","22","Maddihat","@AVL Sat 4:30AM","69.5","13.9","100%","43","100%","+0.1%","5","450","1","13","3","3","2","2","2","0","6","7","6","2","1","6","0","0","0","7","0"
"*04e1k*","Solly March","BHA","M","24","Maddihat","@AVL Sat 4:30AM","68.5","17.12","100%","34.2","100%","-0.1%","4","314","3","5","0","6","5","7","0","0","1","7","4","6","0","4","0","0","0","4","2"
"*05ocl*","Ollie Watkins","AVL","F","25","4b. DcbB","BHA Sat 4:30AM","68.5","11.42","100%","19.8","100%","-0.2%","6","496","1","10","4","5","1","8","0","0","0","0","4","2","1","3","0","2","0","10","2"
"*04tm0*","Lucas Digne","AVL","D","23","Kish123","BHA Sat 4:30AM","68.5","11.42","45%","140.36","89%","+1.8%","6","530","0","12","3","1","5","4","3","0","8","13","10","1","0","8","0","0","0","10","2"
"*04rzl*","Taiwo Awoniyi","NOT","F","26","avitek","BRF Sun 6:00AM","68","11.33","51%","137.95","94%","-0.4%","6","406","3","7","2","3","2","7","1","0","0","0","3","6","0","13","0","0","0","7","1"
"*06dq8*","Moussa Diaby","AVL","F","27","Vroom","BHA Sat 4:30AM","66","11","98%","49.19","97%","+0.1%","6","481","2","10","2","6","1","8","0","0","2","1","1","4","0","0","0","0","0","9","2"
"*03gu5*","Andrew Robertson","LIV","D","28","Kish123","@TOT Sat 9:30AM","65.5","10.92","100%","30.96","100%","+0.1%","6","540","1","13","0","1","6","1","0","0","5","6","16","0","3","8","0","0","0","5","1"
"*06cmm*","Dominik Szoboszlai","LIV","M","30","Kish123","@TOT Sat 9:30AM","65","10.83","100%","33.74","100%","0%","6","540","1","12","1","3","7","4","0","0","0","4","7","7","0","2","0","1","0","5","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","31","XXX","LUT Sat 7:00AM","64.5","10.75","38%","145.5","78%","+9.2%","6","527","2","10","0","6","8","5","1","0","0","3","0","5","0","6","0","0","0","10","0"
"*0647t*","Lucas Paqueta","WHU","M","33","deceptiv","SHU Sat 7:00AM","64","10.67","100%","51.97","100%","0%","6","526","1","8","1","3","18","14","3","0","0","8","8","9","0","8","0","0","0","9","1"
"*05vyj*","Evan Ferguson","BHA","F","32","deceptiv","@AVL Sat 4:30AM","64","10.67","97%","79.59","100%","0%","6","252","4","2","0","11","0","6","0","0","0","0","1","3","1","2","0","0","0","5","1"
"*02lkp*","Raheem Sterling","CHE","F","34","4b. DcbB","@FUL Mon 12:00PM","63.5","10.58","100%","57.78","100%","0%","6","528","2","9","1","4","4","18","1","0","5","0","1","13","0","1","0","1","0","6","2"
"*0524k*","Rodri","MCI","M","35","Vroom","@WOL Sat 7:00AM","62.5","10.42","99%","54.39","100%","+0.1%","6","480","2","6","1","7","8","4","2","1","0","3","7","9","0","7","0","0","0","3","2"
"*03ybi*","Marcus Rashford","MUN","F","36","Maddihat","CRY Sat 7:00AM","62","10.33","100%","7.82","100%","0%","6","531","1","8","2","6","1","15","1","0","0","0","2","16","1","5","0","1","0","10","2"
"*05uor*","Yoane Wissa","BRF","F","38","Adam","@NOT Sun 6:00AM","61.5","10.25","76%","120.85","95%","+1.4%","6","509","2","4","1","6","3","4","1","0","1","1","2","6","2","13","0","1","0","9","1"
"*03fgo*","Dominic Solanke","BOU","F","37","4b. DcbB","ARS Sat 7:00AM","61.5","10.25","88%","107.92","93%","-0.2%","6","540","3","6","1","7","0","14","0","0","0","2","6","5","0","5","0","0","0","11","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","39","XXX","BRF Sun 6:00AM","61","10.17","100%","43.33","99%","-0.4%","6","540","0","10","2","2","5","5","2","0","3","6","1","12","1","7","0","0","0","9","1"
"*04qr0*","Willy Boly","NOT","D","41","Pancake","BRF Sun 6:00AM","58.75","11.75","0%","1157.94","59%","-7%","5","428","1","2","0","5","9","0","1","0","0","7","27","1","8","15","0","0","0","8","1"
"*03r8x*","Callum Wilson","NEW","F","43","dsb_ff","BUR Sat 7:00AM","58","9.67","100%","49.15","96%","+2%","6","251","4","1","0","11","0","12","1","0","0","0","1","5","0","2","0","0","0","4","2"
"*05uoc*","Cristian Romero","TOT","D","45","W (Thu)","LIV Sat 9:30AM","56.5","9.42","51%","138.16","91%","-0.3%","6","463","2","1","0","2","8","0","1","0","0","6","22","0","5","11","0","0","1","5","2"
"*05r9b*","Martin Odegaard","ARS","M","46","avitek","@BOU Sat 7:00AM","55.5","9.25","100%","8.53","100%","0%","6","529","2","8","0","9","3","13","1","0","1","1","1","5","0","0","0","0","0","5","2"
"*062a9*","Sven Botman","NEW","D","47","Maddihat","BUR Sat 7:00AM","54.75","10.95","99%","82.67","98%","+5.7%","5","446","1","2","1","1","5","0","1","0","0","4","15","0","3","12","0","0","0","3","2"
"*061x2*","Darwin Nunez","LIV","F","48","Pancake","@TOT Sat 9:30AM","54.5","9.08","100%","22.88","100%","-0.1%","6","215","3","1","2","5","3","5","1","0","0","0","1","3","1","2","0","0","0","1","1"
"*04qr8*","Diogo Jota","LIV","F","50","Adam","@TOT Sat 9:30AM","53.5","8.92","100%","52.51","98%","-1.2%","6","258","2","4","2","3","4","4","1","0","0","1","2","6","0","5","0","0","0","3","0"
