Code,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ARS,Arsenal,NOT,cry,FUL,MUN,eve,TOT,bou,MCI,che,SHU,new,BUR,brf,WOL,lut,avl,BHA,liv,WHU,ful,CRY,not,LIV,whu,bur,NEW,shu,BRF,CHE,mci,LUT,bha,AVL,wol,tot,BOU,mun,EVE
AVL,Aston Villa,new,EVE,bur,liv,CRY,che,BHA,wol,WHU,LUT,not,FUL,tot,bou,MCI,ARS,brf,SHU,mun,BUR,eve,NEW,shu,MUN,ful,NOT,lut,TOT,whu,WOL,mci,BRF,ars,BOU,CHE,bha,LIV,cry
BOU,Bournemouth,WHU,liv,TOT,brf,CHE,bha,ARS,eve,WOL,BUR,mci,NEW,shu,AVL,cry,mun,LUT,not,FUL,tot,LIV,whu,NOT,ful,new,MCI,bur,SHU,wol,EVE,CRY,lut,MUN,avl,BHA,ars,BRF,che
BRF,Brentford,TOT,ful,CRY,BOU,new,EVE,not,mun,BUR,che,WHU,liv,ARS,LUT,bha,shu,AVL,mci,WOL,cry,NOT,tot,MCI,wol,LIV,whu,CHE,ars,bur,MUN,BHA,avl,SHU,lut,eve,FUL,bou,NEW
BHA,Brighton,LUT,wol,WHU,NEW,mun,BOU,avl,LIV,mci,FUL,eve,SHU,not,che,BRF,BUR,ars,cry,TOT,whu,WOL,lut,CRY,tot,shu,EVE,ful,NOT,MCI,liv,brf,ARS,bur,CHE,bou,AVL,new,MUN
BUR,Burnley,MCI,lut,AVL,TOT,not,MUN,new,CHE,brf,bou,CRY,ars,WHU,SHU,wol,bha,EVE,ful,LIV,avl,LUT,mci,FUL,liv,ARS,cry,BOU,whu,BRF,che,WOL,eve,BHA,shu,mun,NEW,tot,NOT
CHE,Chelsea,LIV,whu,LUT,NOT,bou,AVL,ful,bur,ARS,BRF,tot,MCI,new,BHA,mun,eve,SHU,wol,CRY,lut,FUL,liv,WOL,cry,mci,TOT,brf,NEW,ars,BUR,MUN,shu,EVE,bha,avl,WHU,not,BOU
CRY,Crystal Palace,shu,ARS,brf,WOL,avl,FUL,mun,NOT,new,TOT,bur,EVE,lut,whu,BOU,LIV,mci,BHA,che,BRF,ars,SHU,bha,CHE,eve,BUR,tot,LUT,NEW,not,bou,MCI,liv,WHU,ful,MUN,wol,AVL
EVE,Everton,FUL,avl,WOL,shu,ARS,brf,LUT,BOU,liv,whu,BHA,cry,MUN,not,NEW,CHE,bur,tot,MCI,wol,AVL,ful,TOT,mci,CRY,bha,WHU,mun,LIV,bou,new,BUR,che,NOT,BRF,lut,SHU,ars
FUL,Fulham,eve,BRF,ars,mci,LUT,cry,CHE,SHU,tot,bha,MUN,avl,WOL,liv,NOT,WHU,new,BUR,bou,ARS,che,EVE,bur,BOU,AVL,mun,BHA,wol,TOT,shu,not,NEW,whu,LIV,CRY,brf,MCI,lut
LIV,Liverpool,che,BOU,new,AVL,wol,WHU,tot,bha,EVE,NOT,lut,BRF,mci,FUL,shu,cry,MUN,ARS,bur,NEW,bou,CHE,ars,BUR,brf,LUT,not,MCI,eve,BHA,SHU,mun,CRY,ful,whu,TOT,avl,WOL
LUT,Luton,bha,BUR,che,WHU,ful,WOL,eve,TOT,not,avl,LIV,mun,CRY,brf,ARS,MCI,bou,NEW,shu,CHE,bur,BHA,new,SHU,MUN,liv,AVL,cry,NOT,tot,ars,BOU,mci,BRF,wol,EVE,whu,FUL
MCI,Manchester City,bur,NEW,shu,FUL,whu,NOT,wol,ars,BHA,mun,BOU,che,LIV,TOT,avl,lut,CRY,BRF,eve,SHU,new,BUR,brf,EVE,CHE,bou,MUN,liv,bha,ARS,AVL,cry,LUT,tot,not,WOL,ful,WHU
MUN,Manchester Utd,WOL,tot,NOT,ars,BHA,bur,CRY,BRF,shu,MCI,ful,LUT,eve,new,CHE,BOU,liv,whu,AVL,not,TOT,wol,WHU,avl,lut,FUL,mci,EVE,SHU,brf,che,LIV,bou,NEW,BUR,cry,ARS,bha
NEW,Newcastle Utd,AVL,mci,LIV,bha,BRF,shu,BUR,whu,CRY,wol,ARS,bou,CHE,MUN,eve,tot,FUL,lut,NOT,liv,MCI,avl,LUT,not,BOU,ars,WOL,che,cry,WHU,EVE,ful,TOT,mun,SHU,bur,BHA,brf
NOT,Nott'ham Forest,ars,SHU,mun,che,BUR,mci,BRF,cry,LUT,liv,AVL,whu,BHA,EVE,ful,wol,TOT,BOU,new,MUN,brf,ARS,bou,NEW,WHU,avl,LIV,bha,lut,CRY,FUL,tot,WOL,eve,MCI,shu,CHE,bur
SHU,Sheffield Utd,CRY,not,MCI,EVE,tot,NEW,whu,ful,MUN,ars,WOL,bha,BOU,bur,LIV,BRF,che,avl,LUT,mci,WHU,cry,AVL,lut,BHA,wol,ARS,bou,mun,FUL,liv,CHE,brf,BUR,new,NOT,eve,TOT
TOT,Tottenham,brf,MUN,bou,bur,SHU,ars,LIV,lut,FUL,cry,CHE,wol,AVL,mci,WHU,NEW,not,EVE,bha,BOU,mun,BRF,eve,BHA,WOL,che,CRY,avl,ful,LUT,whu,NOT,new,MCI,ARS,liv,BUR,shu
WHU,West Ham,bou,CHE,bha,lut,MCI,liv,SHU,NEW,avl,EVE,brf,NOT,bur,CRY,tot,ful,WOL,MUN,ars,BHA,shu,BOU,mun,ARS,not,BRF,eve,BUR,AVL,new,TOT,wol,FUL,cry,LIV,che,LUT,mci
WOL,Wolves,mun,BHA,eve,cry,LIV,lut,MCI,AVL,bou,NEW,shu,TOT,ful,ars,BUR,NOT,whu,CHE,brf,EVE,bha,MUN,che,BRF,tot,SHU,new,FUL,BOU,avl,bur,WHU,not,ARS,LUT,mci,CRY,liv
