Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Amadou Onana,11.5,9.8,M,EVE,@SHU,28%,84,1
Michael Keane,11.3,10.1,D,EVE,@SHU,36%,87,0
Ivan Perisic,11.3,8.8,M,TOT,@BUR,42%,83,0
Noni Madueke,11.3,7.7,F,CHE,NOT,53%,69,0
Gabriel Jesus,11.3,6.5,F,ARS,MUN,100%,74,1
Eddie Nketiah,11.2,7.9,F,ARS,MUN,79%,73,0
Diogo Jota,11.2,7.1,F,LIV,AVL,100%,73,0
Jordan Ayew,11.0,7.9,F,CRY,WOL,64%,84,1
Kaoru Mitoma,11.0,7.7,M,BHA,NEW,100%,87,1
Hamed Traore,10.9,9.0,M,BOU,@BRF,43%,76,0
Abdoulaye Doucoure,10.9,8.6,M,EVE,@SHU,48%,87,1
Levi Colwill,10.9,8.1,D,CHE,NOT,84%,89,1
Odsonne Edouard,10.9,7.8,F,CRY,WOL,76%,80,1
Simon Adingra,10.8,7.2,F,BHA,NEW,15%,75,0
Ben Chilwell,10.8,6.1,D,CHE,NOT,100%,83,1
Mykhailo Mudryk,10.7,7.8,M,CHE,NOT,91%,67,0
Ollie Watkins,10.7,7.6,F,AVL,@LIV,100%,86,1
Joachim Andersen,10.6,9.4,D,CRY,WOL,84%,88,1
Evan Ferguson,10.6,8.0,F,BHA,NEW,96%,68,1
Tomas Soucek,10.6,7.3,M,WHU,@LUT,87%,86,0
Arnaut Danjuma Groeneveld,10.6,7.0,F,EVE,@SHU,46%,70,1
Reiss Nelson,10.5,7.8,F,ARS,MUN,2%,75,0
Neal Maupay,10.5,5.8,F,EVE,@SHU,6%,80,0
Aaron Cresswell,10.4,9.2,D,WHU,@LUT,12%,88,0
Moussa Diaby,10.4,7.9,F,AVL,@LIV,97%,77,1
Rico Henry,10.3,8.9,D,BRF,BOU,91%,88,1
Thiago Silva,10.3,7.8,D,CHE,NOT,86%,88,1
Alexis Mac Allister,10.3,6.3,M,LIV,AVL,99%,88,1
Emmanuel Dennis,10.2,7.3,F,NOT,@CHE,1%,82,0
Dejan Kulusevski,10.2,6.9,M,TOT,@BUR,100%,82,1
Cody Gakpo,10.2,6.0,F,LIV,AVL,99%,77,0
Konstantinos Tsimikas,10.1,8.9,D,LIV,AVL,4%,70,0
Vladimir Coufal,10.1,8.8,D,WHU,@LUT,20%,87,1
Morgan Gibbs-White,10.1,7.7,M,NOT,@CHE,99%,88,1
Fabio Vieira,10.0,7.6,M,ARS,MUN,2%,76,0
Harvey Elliott,10.0,6.9,M,LIV,AVL,10%,71,0
Jarrad Branthwaite,9.9,9.1,D,EVE,@SHU,3%,54,1
James Garner,9.9,7.9,M,EVE,@SHU,18%,87,1
Josko Gvardiol,9.9,6.0,D,MCI,FUL,86%,90,1
Jeffrey Schlupp,9.8,7.5,M,CRY,WOL,31%,82,1
Rodri,9.8,7.4,M,MCI,FUL,100%,86,1
Manuel Akanji,9.8,6.8,D,MCI,FUL,95%,85,0
Joelinton,9.7,8.0,M,NEW,@BHA,95%,85,1
Anthony Elanga,9.6,7.9,F,NOT,@CHE,38%,71,0
Zanka,9.6,7.7,D,BRF,BOU,0%,85,0
Mathias Jensen,9.6,7.2,M,BRF,BOU,94%,74,1
Axel Disasi,9.6,7.1,D,CHE,NOT,68%,90,1
Danny Ings,9.6,6.2,F,WHU,@LUT,14%,79,0
Declan Rice,9.5,8.2,M,ARS,MUN,99%,90,1
Demarai Gray,9.5,8.0,M,EVE,@SHU,21%,64,0
Pablo Fornals,9.5,7.7,M,WHU,@LUT,5%,81,0
Pedro Porro,9.5,7.5,D,TOT,@BUR,98%,86,1
Ian Maatsen,9.5,6.7,D,CHE,NOT,11%,70,0
Nathan Ake,9.5,6.3,D,MCI,FUL,93%,80,1
Enzo Fernandez,9.5,5.9,M,CHE,NOT,99%,88,1
Conor Gallagher,9.4,6.5,M,CHE,NOT,77%,77,1
Thomas Partey,9.3,8.5,M,ARS,MUN,66%,86,1
Thilo Kehrer,9.3,7.8,D,WHU,@LUT,1%,88,0
Andrew Robertson,9.3,7.7,D,LIV,AVL,100%,85,1
Bernardo Silva,9.3,3.8,M,MCI,FUL,99%,87,1
Takehiro Tomiyasu,9.2,8.7,D,ARS,MUN,12%,73,0
Joel Ward,9.2,8.2,D,CRY,WOL,9%,89,1
Pape Sarr,9.2,7.8,M,TOT,@BUR,64%,61,1
Harvey Barnes,9.2,5.7,M,NEW,@BHA,94%,84,0
Carlton Morris,9.2,5.5,F,LUT,WHU,88%,90,1
Nayef Aguerd,9.1,7.9,D,WHU,@LUT,16%,87,0
Moises Caicedo,9.1,7.3,M,CHE,NOT,93%,88,1
Marc Cucurella,9.1,6.1,D,CHE,NOT,20%,82,0
Lewis Dobbin,9.0,8.2,F,EVE,@SHU,3%,65,1
Giovani Lo Celso,9.0,7.6,M,TOT,@BUR,15%,66,0
Joe Willock,9.0,6.0,M,NEW,@BHA,38%,79,0
Sergio Reguilon,9.0,5.1,D,TOT,@BUR,3%,89,0
Kristoffer Ajer,8.9,7.8,D,BRF,BOU,3%,82,0
Marcus Rashford,8.9,5.7,F,MUN,@ARS,100%,85,1
Ben Johnson,8.8,8.2,D,WHU,@LUT,0%,85,0
Jefferson Lerma,8.8,7.7,M,CRY,WOL,50%,88,1
Maxwel Cornet,8.8,6.5,M,WHU,@LUT,1%,73,0
Callum Wilson,8.8,6.1,F,NEW,@BHA,98%,75,0
Manor Solomon,8.8,5.9,F,TOT,@BUR,15%,76,0
Ben Davies,8.7,6.9,D,TOT,@BUR,11%,87,0
Matt Doherty,8.7,6.4,D,WOL,@CRY,26%,80,0
Lyle Foster,8.7,5.7,F,BUR,TOT,7%,86,1
Alexander Isak,8.7,4.2,F,NEW,@BHA,100%,79,1
Pervis Estupinan,8.6,9.6,D,BHA,NEW,100%,84,1
David Brooks,8.6,7.5,M,BOU,@BRF,12%,65,0
Josh Brownhill,8.5,7.4,M,BUR,TOT,45%,90,0
Tanguy Ndombele,8.5,7.2,M,TOT,@BUR,1%,60,0
Naouirou Ahamada,8.5,7.1,M,CRY,WOL,1%,75,0
Elliot Anderson,8.5,6.9,M,NEW,@BHA,7%,65,0
Youssef Ramalho Chermiti,8.5,6.7,F,EVE,@SHU,1%,65,0
Sasa Kalajdzic,8.5,6.4,F,WOL,@CRY,2%,75,1
Christian Eriksen,8.5,5.9,M,MUN,@ARS,71%,84,1
Oliver McBurnie,8.5,5.8,F,SHU,EVE,20%,74,1
Kai Havertz,8.5,5.5,F,ARS,MUN,99%,82,0
Rasmus Hojlund,8.5,5.1,F,MUN,@ARS,85%,66,0
Richarlison,8.5,4.0,F,TOT,@BUR,98%,77,1
Ashley Young,8.4,7.6,D,EVE,@SHU,7%,85,1
Nathan Collins,8.4,7.1,D,BRF,BOU,31%,88,1
Ryan Giles,8.4,6.8,M,LUT,WHU,30%,90,1
Antony,8.4,6.5,F,MUN,@ARS,97%,78,1
Facundo Buonanotte,8.4,6.4,M,BHA,NEW,11%,66,0
Michail Antonio,8.4,5.4,F,WHU,@LUT,60%,76,1
Jesurun Rak-Sakyi,8.3,6.7,M,CRY,WOL,1%,70,0
Frank Onyeka,8.3,6.7,M,BRF,BOU,0%,57,0
Christian Norgaard,8.3,6.6,M,BRF,BOU,24%,82,1
Dominic Calvert-Lewin,8.3,6.2,F,EVE,@SHU,65%,68,0
Danny Welbeck,8.3,4.6,F,BHA,NEW,43%,78,0
Dominic Solanke,8.3,4.5,F,BOU,@BRF,95%,88,1
Douglas Luiz,8.2,6.1,M,AVL,@LIV,96%,85,1
Kalvin Phillips,8.2,6.0,M,MCI,FUL,2%,90,0
Malo Gusto,8.2,5.4,D,CHE,NOT,67%,85,1
