Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Carlton Morris,19.2,12.2,F,LUT,@EVE/BUR,84,174,2
Lyle Foster,18.1,12.6,F,BUR,@NEW/LUT,21,173,2
Jacob Brown,17.9,13.9,F,LUT,@EVE/BUR,4,145,1
Erling Haaland,17.6,9.0,F,MCI,@WOL,100,84,1
Ryan Giles,17.3,14.5,M,LUT,@EVE/BUR,14,171,1
Bukayo Saka,17.1,10.8,M,ARS,@BOU,100,87,0
Cauley Woodrow,16.8,13.0,F,LUT,@EVE/BUR,0,150,0
Jacob Bruun Larsen,16.3,13.2,F,BUR,@NEW/LUT,0,150,0
Zeki Amdouni,15.9,11.0,F,BUR,@NEW/LUT,12,131,1
Alfie Doughty,15.7,12.3,M,LUT,@EVE/BUR,18,150,2
Bruno Fernandes,15.7,9.9,M,MUN,CRY,100,90,1
Gabriel Jesus,15.6,10.2,F,ARS,@BOU,100,84,1
Jarrod Bowen,15.6,9.3,M,WHU,SHU,100,88,1
Kieran Trippier,15.5,11.1,D,NEW,BUR,100,88,1
Chiedozie Ogbene,15.3,11.0,F,LUT,@EVE/BUR,1,180,1
Callum Wilson,15.3,7.7,F,NEW,BUR,96,76,0
Luca Koleosho,15.2,12.5,F,BUR,@NEW/LUT,12,133,1
Nathan Redmond,15.2,11.4,M,BUR,@NEW/LUT,1,180,0
Mike Tresor,15.2,11.3,F,BUR,@NEW/LUT,2,150,1
Ross Barkley,15.1,12.1,M,LUT,@EVE/BUR,9,147,1
Josh Brownhill,15.1,11.4,M,BUR,@NEW/LUT,36,179,2
Eberechi Eze,14.8,11.9,M,CRY,@MUN,100,86,1
Aaron Ramsey,14.8,11.0,M,BUR,@NEW/LUT,1,144,1
Morgan Gibbs-White,14.6,10.5,M,NOT,BRF,99,89,1
Julian Alvarez,14.6,8.7,F,MCI,@WOL,100,87,1
Mohamed Salah,14.5,8.0,F,LIV,@TOT,100,87,1
Martin Odegaard,14.4,9.2,M,ARS,@BOU,100,87,1
Jay Rodriguez,14.3,7.9,F,BUR,@NEW/LUT,1,161,0
Joao Pedro,14.2,8.4,F,BHA,@AVL,95,85,1
Hannes Delcroix,14.1,17.3,D,BUR,@NEW/LUT,1,180,1
Elijah Adebayo,14.1,9.6,F,LUT,@EVE/BUR,7,133,1
James Trafford,14.0,14.0,G,BUR,@NEW/LUT,13,90,2
Thomas Kaminski,14.0,14.0,G,LUT,@EVE/BUR,6,90,2
