Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Bruno Fernandes,17.6,11.8,M,MUN,@BUR,100,90,1
Mohamed Salah,16.2,9.3,F,LIV,WHU,100,86,1
Kaoru Mitoma,15.9,10.9,M,BHA,BOU,100,88,1
Pascal Gross,15.9,10.5,M,BHA,BOU,100,88,1
Kieran Trippier,15.8,12.1,D,NEW,@SHU,100,89,1
Solly March,15.7,10.5,M,BHA,BOU,100,76,0
Erling Haaland,15.7,4.4,F,MCI,NOT,100,84,1
Eberechi Eze,15.6,10.2,M,CRY,FUL,100,86,1
Pedro Neto,15.4,12.5,F,WOL,@LUT,94,81,1
Joao Pedro,14.9,7.4,F,BHA,BOU,92,85,1
Pervis Estupinan,14.4,11.7,D,BHA,BOU,100,82,1
Callum Wilson,14.3,7.6,F,NEW,@SHU,94,75,1
Bukayo Saka,14.1,8.6,M,ARS,TOT,100,87,1
Julian Alvarez,14.1,6.2,F,MCI,NOT,100,89,1
Marcus Rashford,13.9,8.8,F,MUN,@BUR,100,86,1
Alexander Isak,13.8,7.3,F,NEW,@SHU,100,76,0
Leandro Trossard,13.7,10.5,M,ARS,TOT,82,75,1
Trent Alexander-Arnold,13.6,10.7,D,LIV,WHU,100,85,0
Simon Adingra,13.6,7.3,F,BHA,BOU,21,84,1
Darwin Nunez,13.3,7.5,F,LIV,WHU,100,74,1
Phil Foden,13.3,6.9,M,MCI,NOT,100,84,1
Jack Grealish,13.2,6.3,M,MCI,NOT,100,86,0
Jeremy Doku,13.1,8.4,F,MCI,NOT,75,79,1
Diogo Jota,12.8,8.4,F,LIV,WHU,99,71,0
Gabriel Jesus,12.7,8.6,F,ARS,TOT,100,75,1
Harvey Barnes,12.6,8.2,M,NEW,@SHU,88,84,1
Ansu Fati,12.6,7.6,F,BHA,BOU,75,70,0
Odsonne Edouard,12.4,8.2,F,CRY,FUL,81,82,1
Dominik Szoboszlai,12.4,7.9,M,LIV,WHU,100,90,1
Nicolas Jackson,12.3,6.8,F,CHE,AVL,99,88,1
Evan Ferguson,12.3,6.7,F,BHA,BOU,100,73,0
Andrew Robertson,12.2,9.8,D,LIV,WHU,100,85,1
Jarrod Bowen,12.2,9.6,M,WHU,@LIV,100,88,1
Bryan Mbeumo,12.2,6.1,F,BRF,EVE,100,85,1
Anthony Martial,12.1,9.4,F,MUN,@BUR,16,60,0
Joachim Andersen,12.0,10.5,D,CRY,FUL,92,89,1
Lucas Paqueta,12.0,9.8,M,WHU,@LIV,100,84,1
Jan-Paul van Hecke,11.9,10.3,D,BHA,BOU,12,89,1
Zanka,11.9,9.0,D,BRF,EVE,0,85,0
Christian Eriksen,11.9,8.0,M,MUN,@BUR,86,85,1
Elliot Anderson,11.8,9.8,M,NEW,@SHU,10,74,0
Jacob Murphy,11.7,7.6,M,NEW,@SHU,5,70,0
Fabio Vieira,11.6,9.1,M,ARS,TOT,42,77,1
Rodri,11.6,8.9,M,MCI,NOT,100,86,1
Lewis Hall,11.5,10.8,D,NEW,@SHU,30,78,0
Virgil van Dijk,11.2,10.1,D,LIV,WHU,99,84,1
Matt Doherty,11.2,10.0,D,WOL,@LUT,19,80,0
Gabriel Martinelli,11.2,6.6,M,ARS,TOT,100,79,0
Facundo Buonanotte,11.1,8.7,M,BHA,BOU,8,66,0
Martin Odegaard,11.1,6.2,M,ARS,TOT,100,86,1
Sergio Reguilon,11.0,9.4,D,MUN,@BUR,50,88,1
Said Benrahma,11.0,8.5,M,WHU,@LIV,83,79,0
Hugo Bueno,10.9,10.2,D,WOL,@LUT,2,82,0
Konstantinos Tsimikas,10.9,9.3,D,LIV,WHU,3,70,0
Sasa Kalajdzic,10.9,8.8,F,WOL,@LUT,4,45,0
Miguel Almiron,10.8,7.1,M,NEW,@SHU,94,81,1
Sven Botman,10.7,9.8,D,NEW,@SHU,92,89,1
Carlton Morris,10.7,6.0,F,LUT,WOL,88,88,1
Cody Gakpo,10.7,6.0,F,LIV,WHU,97,73,0
Fabio Silva,10.6,7.5,F,WOL,@LUT,7,68,1
Ethan Pinnock,10.5,8.8,D,BRF,EVE,98,89,1
Jeffrey Schlupp,10.5,8.1,M,CRY,FUL,36,81,1
Mohammed Kudus,10.5,8.1,M,WHU,@LIV,74,72,0
Anthony Gordon,10.5,7.4,M,NEW,@SHU,94,76,0
Dominic Solanke,10.5,6.9,F,BOU,@BHA,94,89,1
Eddie Nketiah,10.4,5.4,F,ARS,TOT,84,79,0
Tariq Lamptey,10.3,8.3,D,BHA,BOU,10,73,0
Cole Palmer,10.3,7.8,M,CHE,AVL,48,90,0
Matheus Cunha,10.3,6.5,F,WOL,@LUT,63,78,1
Josko Gvardiol,10.3,6.3,D,MCI,NOT,84,90,1
Beto,10.2,7.2,F,EVE,@BRF,51,82,0
Saman Ghoddos,10.1,7.5,F,BRF,EVE,0,77,0
Matheus Nunes,10.1,6.6,M,MCI,NOT,67,84,0
Yoane Wissa,10.1,6.0,F,BRF,EVE,94,79,1
Jefferson Lerma,10.0,8.6,M,CRY,FUL,57,89,0
Jordan Ayew,10.0,7.3,F,CRY,FUL,78,84,0
James Maddison,10.0,6.7,M,TOT,@ARS,100,86,1
Alexis Mac Allister,10.0,6.2,M,LIV,WHU,97,84,1
Raheem Sterling,10.0,5.5,F,CHE,AVL,100,80,1
Son Heung-Min,9.9,6.0,F,TOT,@ARS,100,84,1
Bernardo Silva,9.9,4.3,M,MCI,NOT,98,87,1
Jonny,9.8,7.3,D,WOL,@LUT,0,86,0
Fabian Schar,9.8,7.1,D,NEW,@SHU,84,89,1
Noni Madueke,9.8,6.3,F,CHE,AVL,34,69,0
Dwight McNeil,9.7,7.8,M,EVE,@BRF,79,84,1
Rasmus Hojlund,9.7,6.2,F,MUN,@BUR,87,63,1
Luis Diaz,9.7,5.7,F,LIV,WHU,100,72,1
Ryan Giles,9.6,7.9,M,LUT,WOL,20,85,0
Danny Ings,9.6,7.8,F,WHU,@LIV,9,80,0
Casemiro,9.6,7.5,M,MUN,@BUR,98,87,1
John Stones,9.6,5.9,D,MCI,NOT,85,85,0
Reiss Nelson,9.5,7.2,F,ARS,TOT,2,75,0
Pablo Sarabia,9.5,7.0,M,WOL,@LUT,20,66,0
Harvey Elliott,9.5,6.2,M,LIV,WHU,7,71,0
Manuel Akanji,9.5,5.9,D,MCI,NOT,97,84,1
Valentino Livramento,9.4,8.3,D,NEW,@SHU,6,78,0
Tomas Soucek,9.4,8.2,M,WHU,@LIV,79,84,1
Ivan Perisic,9.4,7.6,M,TOT,@ARS,32,83,0
Pablo Fornals,9.4,7.6,M,WHU,@LIV,3,82,0
Craig Dawson,9.3,9.1,D,WOL,@LUT,18,86,1
James Ward-Prowse,9.3,7.4,M,WHU,@LIV,85,89,1
Douglas Luiz,9.3,7.3,M,AVL,@CHE,92,83,1
Danny Welbeck,9.3,3.4,F,BHA,BOU,26,74,1
Sean Longstaff,9.2,7.7,M,NEW,@SHU,6,88,1
Naouirou Ahamada,9.2,7.7,M,CRY,FUL,1,75,0
