Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Bruno Fernandes,19.1,12.9,M,MUN,@SHU,100,90,1
Julian Alvarez,16.1,9.4,F,MCI,BHA,100,85,1
Erling Haaland,16.0,7.8,F,MCI,BHA,100,85,1
Mohamed Salah,15.6,7.9,F,LIV,EVE,100,86,1
Morgan Gibbs-White,15.5,9.5,M,NOT,LUT,99,89,1
Son Heung-Min,15.5,8.6,F,TOT,FUL,100,83,1
Marcus Rashford,15.4,9.8,F,MUN,@SHU,100,85,1
James Maddison,15.2,9.2,M,TOT,FUL,100,86,1
Bukayo Saka,14.2,9.9,M,ARS,@CHE,100,87,1
Ollie Watkins,14.1,8.8,F,AVL,WHU,100,86,1
Diogo Dalot,14.0,11.5,D,MUN,@SHU,84,90,1
Phil Foden,13.9,8.7,M,MCI,BHA,100,83,1
Pedro Neto,13.8,11.0,F,WOL,@BOU,97,83,1
Kieran Trippier,13.8,9.9,D,NEW,CRY,100,88,1
Bryan Mbeumo,13.7,8.0,F,BRF,BUR,100,86,1
Jeremy Doku,13.5,9.4,F,MCI,BHA,83,74,1
Richarlison,12.8,7.1,F,TOT,FUL,96,76,1
Willy Boly,12.7,10.5,D,NOT,LUT,74,85,1
Darwin Nunez,12.7,6.5,F,LIV,EVE,100,77,1
Mohammed Kudus,12.5,10.1,M,WHU,@AVL,64,75,1
Moussa Diaby,12.4,8.8,F,AVL,WHU,97,79,1
Felipe,12.1,9.6,D,NOT,LUT,18,85,0
Lucas Digne,11.9,11.2,D,AVL,WHU,90,79,1
Antony,11.9,8.3,F,MUN,@SHU,77,78,1
Dejan Kulusevski,11.9,7.9,M,TOT,FUL,100,84,1
Christian Eriksen,11.9,7.6,M,MUN,@SHU,60,85,1
Leandro Trossard,11.7,9.3,M,ARS,@CHE,94,74,0
Trent Alexander-Arnold,11.7,8.3,D,LIV,EVE,100,85,1
Yoane Wissa,11.7,7.7,F,BRF,BUR,92,81,1
Neco Williams,11.5,8.9,D,NOT,LUT,7,86,0
Callum Wilson,11.5,5.8,F,NEW,CRY,96,76,1
Konstantinos Tsimikas,11.4,9.4,D,LIV,EVE,3,70,0
Jarrod Bowen,11.4,7.8,M,WHU,@AVL,100,88,1
Tomas Soucek,11.3,8.1,M,WHU,@AVL,87,83,1
Dominic Solanke,11.2,6.9,F,BOU,WOL,96,89,1
Casemiro,11.1,8.9,M,MUN,@SHU,97,85,0
Anthony Elanga,11.1,7.9,F,NOT,LUT,39,74,0
Dominik Szoboszlai,11.1,6.6,M,LIV,EVE,100,90,1
Marcus Tavernier,11.0,8.3,M,BOU,WOL,53,77,1
Anthony Gordon,11.0,7.3,M,NEW,CRY,96,78,1
Andrew Robertson,10.9,7.8,D,LIV,EVE,100,86,1
Chris Wood,10.9,5.9,F,NOT,LUT,3,77,1
Harry Maguire,10.8,9.0,D,MUN,@SHU,7,90,1
Mathias Jensen,10.8,8.3,M,BRF,BUR,97,75,1
Matheus Nunes,10.8,8.0,M,MCI,BHA,67,82,0
Jhon Duran,10.8,7.2,F,AVL,WHU,5,75,0
Alexander Isak,10.8,5.0,F,NEW,CRY,100,77,0
Jack Harrison,10.6,8.9,M,EVE,@LIV,38,76,1
Oscar Bobb,10.6,8.4,M,MCI,BHA,1,75,0
Scott McTominay,10.5,8.5,M,MUN,@SHU,2,85,1
James Ward-Prowse,10.5,8.0,M,WHU,@AVL,85,89,1
Neal Maupay,10.5,7.7,F,BRF,BUR,2,78,1
Joelinton,10.5,7.7,M,NEW,CRY,78,82,0
Giovani Lo Celso,10.5,7.1,M,TOT,FUL,6,75,0
Ethan Pinnock,10.4,8.9,D,BRF,BUR,96,89,1
Alfie Doughty,10.4,8.9,M,LUT,@NOT,64,78,1
Hamed Traore,10.4,7.2,M,BOU,WOL,24,76,0
Hannibal Mejbri,10.3,7.4,M,MUN,@SHU,7,70,0
Alejandro Garnacho,10.3,7.1,M,MUN,@SHU,49,66,0
Gabriel Martinelli,10.3,6.7,M,ARS,@CHE,100,77,1
Jacob Murphy,10.3,6.7,M,NEW,CRY,6,70,0
Rasmus Hojlund,10.3,5.2,F,MUN,@SHU,88,81,1
Jack Grealish,10.3,4.4,M,MCI,BHA,99,86,0
Virgil van Dijk,10.2,8.3,D,LIV,EVE,100,85,1
Alex Iwobi,10.2,8.3,M,FUL,@TOT,64,85,1
Mads Roerslev,10.2,8.2,D,BRF,BUR,4,79,0
Sasa Kalajdzic,10.2,8.2,F,WOL,@BOU,2,60,0
Zanka,10.2,7.9,D,BRF,BUR,0,85,0
Dango Ouattara,10.2,7.1,F,BOU,WOL,29,71,0
Matheus Cunha,10.2,6.7,F,WOL,@BOU,66,76,1
Mason Mount,10.2,6.6,M,MUN,@SHU,96,77,0
Gabriel Jesus,10.2,6.3,F,ARS,@CHE,100,84,1
Luis Diaz,10.2,6.1,F,LIV,EVE,100,73,1
Diogo Jota,10.2,5.8,F,LIV,EVE,95,70,0
Scott McKenna,10.1,9.3,D,NOT,LUT,13,83,0
Lucas Paqueta,10.1,7.3,M,WHU,@AVL,100,85,1
Fabio Silva,10.1,7.2,F,WOL,@BOU,3,68,0
Anthony Martial,10.1,6.9,F,MUN,@SHU,12,60,0
Jonny Evans,10.0,7.9,D,MUN,@SHU,10,80,1
Adama Traore,10.0,7.4,F,FUL,@TOT,3,68,0
Dwight McNeil,9.9,8.1,M,EVE,@LIV,82,85,1
Pablo Sarabia,9.9,7.0,M,WOL,@BOU,10,66,0
Jadon Sancho,9.8,9.0,M,MUN,@SHU,33,75,0
Odsonne Edouard,9.8,7.4,F,CRY,@NEW,81,83,1
