player,team,minutes_90s_diff,xg_diff,npxg_diff,xg_assist_diff,npxg_xg_assist_diff,goals_per90_diff,assists_per90_diff,goals_assists_per90_diff,goals_pens_per90_diff,goals_assists_pens_per90_diff,xg_per90_diff,xg_assist_per90_diff,xg_xg_assist_per90_diff,npxg_per90_diff,npxg_xg_assist_per90_diff,matches_diff,shots_on_target_pct_diff,shots_per90_diff,shots_on_target_per90_diff,goals_per_shot_diff,goals_per_shot_on_target_diff,average_shot_distance_diff,npxg_per_shot_diff,xg_net_diff,npxg_net_diff,passes_pct_diff,passes_pct_short_diff,passes_pct_medium_diff,passes_pct_long_diff,pass_xa_diff,xg_assist_net_diff,sca_per90_diff,gca_per90_diff,challenge_tackles_pct_diff,take_ons_won_pct_diff,take_ons_tackled_pct_diff,minutes_pct_diff,minutes_per_start_diff,minutes_per_sub_diff,points_per_game_diff,plus_minus_per90_diff,plus_minus_wowy_diff,on_xg_for_diff,on_xg_against_diff,xg_plus_minus_diff,xg_plus_minus_per90_diff,xg_plus_minus_wowy_diff,aerials_won_pct_diff,games_starts_diff,minutes_diff
Max Aarons,Bournemouth,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.04,-0.03,0.01,-0.03,,0.0,0.55,0.0,0.0,,23.9,0.02,0.0,0.0,-5.799999999999997,-9.099999999999994,-4.700000000000003,-3.5999999999999943,0.0,0.0,-2.12,0.0,-9.600000000000001,-41.7,4.200000000000003,8.899999999999991,8.0,,-0.5,-0.42999999999999994,-0.4299999999999997,1.3,3.0,-1.7999999999999998,-0.61,-0.6100000000000003,33.3,1,90
Benie Adama Traore,Sheffield Utd,0.8999999999999999,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.14,-0.18,-0.02999999999999997,0.14,-0.02999999999999997,,100.0,0.54,0.54,0.0,0.0,15.3,0.27,-0.3,-0.3,-1.2000000000000028,-8.299999999999997,11.700000000000003,0.0,0.0,0.0,-1.0099999999999998,0.0,0.0,16.7,-16.700000000000003,-2.799999999999997,-2.0,,0.0,0.51,7.43,0.5,1.2000000000000002,-0.8000000000000003,0.30000000000000004,1.49,0.0,1,81
Elijah Adebayo,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Simon Adingra,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-9.499999999999998,,0.0,0.0,0.0,-0.30000000000000027,0.0,0.0,0.0,0.0,1.19,,0,0
Nayef Aguerd,West Ham,0.7,0.1,0.1,0.0,0.1,0.58,0.0,0.58,0.58,0.58,0.07,0.0,0.07,0.07,0.07,,100.0,0.58,0.58,1.0,1.0,6.4,0.13,0.9,0.9,-4.200000000000003,-7.099999999999994,6.0,-19.6,0.0,0.0,-0.42000000000000004,0.0,0.0,,,-13.299999999999997,-12.0,,1.0,0.58,-3.17,0.7999999999999998,2.3,-1.4,-0.71,-3.71,0.0,1,66
Anel Ahmedhodzic,Sheffield Utd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,,0.0,-0.5,0.0,0.0,,-1.5999999999999979,0.020000000000000004,0.0,0.0,6.400000000000006,-0.5999999999999943,-6.400000000000006,25.0,0.0,0.0,0.5,0.5,-7.100000000000001,-33.3,0.0,0.0,0.0,,0.0,0.0,,0.5,1.4,-0.8999999999999999,0.2400000000000002,,-36.4,1,90
Ola Aina,Nott'ham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.50000000000001,0.0,,0.0,0.0,3.079999999999999,0.0,0.0,0.0,0.0,0.9400000000000002,0.0,0,0
Rayan Ait Nouri,Wolves,1.0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,,0.0,0.56,0.0,0.0,,11.3,0.32,-0.3,-0.3,2.6000000000000085,2.200000000000003,10.900000000000006,0.0,0.1,-0.1,1.0400000000000003,0.0,10.0,-9.600000000000001,9.600000000000001,5.0,5.0,,0.0,-1.0600000000000003,-1.0600000000000003,1.9,2.2,-0.3,-0.05000000000000002,-0.5599999999999998,100.0,1,85
Kristoffer Ajer,Brentford,0.0,0.1,0.1,1.0,1.1,0.0,1.06,1.06,0.0,1.06,0.15,1.01,1.16,0.15,1.16,,0.0,1.06,0.0,0.0,,12.3,0.14,-0.1,-0.1,2.0999999999999943,1.5,8.599999999999994,-10.0,0.6,0.0,2.1,1.06,0.0,,,-45.0,0.0,2.0,1.0,1.06,-0.84,1.4000000000000001,0.0,1.3,1.3599999999999999,2.92,0.0,0,2
Manuel Akanji,Manchester City,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,,0.0,0.5,0.0,0.0,,26.9,0.03,0.0,0.0,2.799999999999997,-0.09999999999999432,0.7999999999999972,7.100000000000001,0.0,-0.1,0.0,0.0,10.0,,,0.0,0.0,,0.0,-1.0,,1.0,0.3,0.6999999999999997,-0.4500000000000002,,0.0,1,90
