ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
1,Max Aarons,eng ENG,DF,Bournemouth,23-237,2000,3,3,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches,2023,1,0,0.0,0.35,0.00,0.00,,23.9,0,0.02,0.0,0.0,114,143,79.7,1861,646,59,67,88.1,42,52,80.8,10,14,71.4,0.2,-0.1,2,7,4,2,113,30,4,2,1,4,26,0,0,0,0,0,5,7,2.48,4,1,0,0,2,0,0,0.00,0,0,0,0,0,0,5,3,3,2,0,4,8,50.0,4,5,3,2,0,5,6,0,170,9,54,85,33,0,170,10,4,40.0,3,30.0,79,535,276,5,0,1,0,94,85,94.1,85,2,0,,0,0.33,1,6,-5,-1.77,-7.40,2.3,6.0,-3.7,-1.31,-5.78,0,3,9,0,0,0,0,17,2,4,33.3,3
11,Benie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20-272,2002,3,3,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,6,11,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,2023,1,1,100.0,0.35,0.35,0.00,0.00,15.3,0,0.27,-0.3,-0.3,31,42,73.8,483,99,18,21,85.7,12,15,80.0,1,1,100.0,0.2,-0.3,2,1,4,0,39,2,0,1,0,2,0,0,0,0,0,1,3,4,1.40,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,0,0,67,1,10,28,31,7,67,17,3,17.6,13,76.5,44,328,142,4,3,6,3,40,86,95.2,86,1,0,,0,0.00,2,4,-2,-0.70,+6.22,1.7,6.7,-5.0,-1.76,-1.11,0,8,3,1,0,0,0,16,0,10,0.0,3
14,Tosin Adarabioyo,eng ENG,DF,Fulham,25-339,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,5,5,5,0,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,2,0.7,,0,1,2,0,1.00,0,0,0,0.00,+0.67,0.2,0.7,-0.5,-21.66,-19.47,0,0,0,0,0,0,0,0,0,0,,3
15,Elijah Adebayo,eng ENG,FW,Luton Town,25-234,1998,2,2,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,20,25,80.0,314,78,11,13,84.6,8,10,80.0,1,1,100.0,0.1,-0.1,2,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,2,1.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,36,3,4,20,13,2,36,5,1,20.0,4,80.0,19,143,29,3,1,1,2,23,66,73.3,66,0,0,,0,0.00,0,3,-3,-2.05,+3.58,0.6,3.2,-2.6,-1.74,+1.57,0,5,1,0,0,0,0,2,3,2,60.0,3
17,Simon Adingra,ci CIV,FW,Brighton,21-240,2002,2,0,36,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,2,0,5,2.50,0.00,2.50,2.50,2.50,0.63,0.18,0.81,0.63,0.81,Matches,2023,1,1,100.0,2.50,2.50,1.00,1.00,5.3,0,0.25,+0.7,+0.7,14,18,77.8,170,39,12,14,85.7,2,3,66.7,0,0,,0.0,-0.1,1,0,0,0,15,3,0,0,0,0,1,2,0,0,0,0,1,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,1,2,3,3,100.0,0,1,0,1,0,3,0,0,26,1,1,4,21,5,26,4,1,25.0,3,75.0,15,81,36,0,3,1,0,15,18,13.3,,0,2,18,1,1.50,3,1,+2,+5.00,+4.23,2.2,1.6,+0.6,+1.62,+1.44,0,0,0,0,0,0,0,2,0,0,,3
20,Nayef Aguerd,ma MAR,DF,West Ham,27-152,1996,2,2,156,1.7,1,0,1,1,0,0,2,1,0.1,0.1,0.0,0.1,0,3,0,0.58,0.00,0.58,0.58,0.58,0.07,0.00,0.07,0.07,0.07,Matches,2023,1,1,100.0,0.58,0.58,1.00,1.00,6.4,0,0.13,+0.9,+0.9,38,53,71.7,826,367,13,14,92.9,17,21,81.0,8,17,47.1,0.0,0.0,0,3,0,0,42,11,7,0,0,0,0,0,0,0,0,0,0,1,0.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,0,2,1,0,3,3,100.0,0,2,0,2,5,8,10,1,77,17,51,25,2,1,77,0,0,,0,,31,138,67,0,0,2,1,23,78,57.8,78,1,0,,0,2.00,3,2,+1,+0.58,-1.79,1.9,3.6,-1.7,-0.97,-2.79,1,3,1,0,0,0,0,11,5,2,71.4,3
21,Naouirou Ahamada,fr FRA,"FW,MF",Crystal Palace,21-153,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,20,25,80.0,293,90,10,11,90.9,10,11,90.9,0,0,,0.0,0.0,0,1,0,0,25,0,0,0,0,1,0,0,0,0,0,0,3,1,2.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,26,0,4,8,14,0,26,1,1,100.0,0,0.0,19,114,58,1,0,0,0,20,19,13.7,,0,2,19,1,0.50,1,0,+1,+2.43,+2.82,0.7,0.4,+0.3,+0.67,+0.70,0,2,0,0,0,0,0,4,0,0,,3
22,Anel Ahmedhodzic,ba BIH,DF,Sheffield Utd,24-156,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,3,4,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,2023,5,0,0.0,1.67,0.00,0.00,,16.4,0,0.10,-0.5,-0.5,72,102,70.6,991,332,50,59,84.7,16,23,69.6,5,17,29.4,0.0,0.0,0,3,0,0,97,5,0,0,0,1,5,0,0,0,0,0,0,3,1.00,2,0,0,1,0,0,1,0.33,0,0,0,1,0,0,6,5,4,0,2,4,8,50.0,4,7,4,3,3,9,15,0,142,16,72,48,24,4,142,3,2,66.7,0,0.0,54,261,146,5,1,0,3,68,90,100.0,90,3,0,,0,0.00,2,5,-3,-1.00,,1.7,6.8,-5.1,-1.71,,0,4,1,1,0,0,0,10,7,5,58.3,3
24,Ola Aina,ng NGA,"DF,MF",Nott'ham Forest,26-325,1996,2,2,161,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,2023,1,0,0.0,0.56,0.00,0.00,,29.4,0,0.02,0.0,0.0,31,49,63.3,607,317,14,19,73.7,11,16,68.8,6,12,50.0,0.0,0.0,0,1,0,0,38,11,4,0,0,2,7,0,0,0,0,0,1,2,1.12,0,1,1,0,0,0,0,0.00,0,0,0,0,0,0,6,5,5,1,0,3,3,100.0,0,1,0,1,2,8,6,0,66,7,31,23,13,0,66,5,3,60.0,1,20.0,24,187,112,3,0,0,2,31,81,59.6,81,1,0,,0,0.00,2,5,-3,-1.68,-3.33,1.5,3.2,-1.7,-0.94,-2.03,0,3,2,0,0,0,0,7,1,0,100.0,3
25,Rayan Ait Nouri,dz ALG,"DF,MF",Wolves,22-084,2001,3,2,206,2.3,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,11,6,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.18,0.14,0.18,Matches,2023,1,0,0.0,0.44,0.00,0.00,,11.3,0,0.32,-0.3,-0.3,83,103,80.6,1219,436,53,59,89.8,23,26,88.5,6,12,50.0,0.1,-0.1,3,5,2,0,83,20,3,0,0,0,17,0,0,0,0,0,3,5,2.17,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,7,4,6,1,0,3,5,60.0,2,4,2,2,1,8,4,0,127,10,45,51,35,3,127,10,4,40.0,5,50.0,69,416,211,6,1,2,7,76,69,76.3,81,0,1,45,0,1.00,2,5,-3,-1.31,-1.31,4.2,4.4,-0.2,-0.10,+0.09,0,3,2,0,0,0,0,12,3,1,75.0,3
