player,team,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,games_starts,gameweek,season,position,age
Manuel Akanji,Manchester City,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-33.3,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2023.0,"FW,MF",20.0
Nathan Ake,Manchester City,90,0.9999999999999999,0,0,0,0,0,0,0,0,0.10000000000000003,0.10000000000000003,0.0,0.10000000000000003,1,4,0,0.0,0.0,0.0,0.0,0.0,-0.15999999999999998,0.0,-0.15999999999999998,-0.15999999999999998,-0.15999999999999998,1,0,0.0,-0.07999999999999985,0.0,0.0,0.0,0.40000000000000036,0,-0.13,-0.10000000000000003,-0.10000000000000003,79,81,1.7999999999999972,1484,534,23,24,-0.4000000000000057,50,51,2.799999999999997,3,3,5.6000000000000085,0.0,0.0,0,1,0,0,80,1,1,0,0,0,0,0,0,0,0,0,0,2,-0.16999999999999993,2,0,0,0,0,0,0,-0.6099999999999999,0,0,0,0,0,0,1,0,0,1,0,1,2,-20.0,1,0,0,0,2,3,3,0,89,3,34,53,2,1,89,0,0,0.0,0,0.0,66,359,266,1,0,0,0,64,6,18.900000000000006,6.0,1,0,0.0,0,0.0,2,1,1,-1.3199999999999998,-1.32,3.5,0.6000000000000001,2.9000000000000004,0.5799999999999998,0.5799999999999998,0,0,1,0,0,0,0,5,2,0,8.299999999999997,1,2,,,
Trent Alexander-Arnold,Liverpool,90,0.9999999999999998,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,3,1,0.0,0.0,0.0,0.0,0.0,-0.020000000000000004,0.020000000000000004,0.0,-0.020000000000000004,0.0,0,0,0.0,-0.5899999999999999,-0.3900000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,35,50,0.7999999999999972,729,309,15,16,0.0,11,15,-0.10000000000000853,8,18,4.699999999999999,0.30000000000000004,-0.1,1,2,2,0,37,13,3,1,1,3,8,2,0,2,0,0,0,3,-0.48999999999999977,2,1,0,0,0,0,1,0.15999999999999992,1,0,0,0,0,0,2,2,1,1,0,1,2,6.700000000000003,1,1,0,1,0,2,4,1,59,5,24,23,13,0,59,2,2,11.400000000000006,0,-5.699999999999999,20,154,75,2,0,1,1,30,3,3.0,3.0,1,0,0.0,0,0.33000000000000007,2,1,1,-0.040000000000000036,-0.040000000000000036,0.8999999999999995,1.9999999999999998,-1.0999999999999999,-0.8700000000000001,-0.8700000000000001,0,1,0,0,0,0,0,4,0,0,0.0,1,2,,,
Alisson,Liverpool,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,35,48,-2.8999999999999915,738,482,12,12,0.0,17,17,0.0,6,19,-2.299999999999997,0.0,0.0,0,0,0,0,34,14,1,0,0,0,0,0,0,0,0,0,0,0,-0.16999999999999998,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,49,37,48,1,0,0,49,0,0,0.0,0,0.0,35,198,159,0,0,0,0,23,0,0.0,0.0,1,0,0.0,0,0.33000000000000007,2,1,1,0.0,0.0,0.9000000000000004,1.9999999999999996,-1.1,-0.6499999999999999,0.0,0,0,0,0,0,0,0,0,1,0,100.0,1,2,2023.0,DF,25.0
Miguel Almiron,Newcastle Utd,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.5,6,3,10,0.0,0.0,0.0,0.0,0.0,0.17,-0.06999999999999998,0.08999999999999997,0.17,0.08999999999999997,6,1,-11.099999999999998,1.53,0.15999999999999992,0.0,0.0,-1.9000000000000021,0,0.030000000000000006,-0.6,-0.6,31,36,-0.9000000000000057,351,60,22,25,-0.7999999999999972,8,8,1.9000000000000057,0,1,-33.3,0.0,0.0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.06000000000000005,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,2,2.8999999999999986,1,1,0,1,1,2,0,0,45,0,7,14,24,6,45,0,0,0.0,0,0.0,30,232,154,4,2,0,1,35,2,1.8999999999999915,2.0,1,0,0.0,0,-0.5,1,2,-1,-0.7100000000000001,-0.71,1.9999999999999996,0.8999999999999999,1.2,0.24000000000000005,0.22999999999999998,0,1,0,0,0,0,0,5,0,0,0.0,1,2,2023.0,FW,25.0
Edson Alvarez,West Ham,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,15,2.6000000000000014,129,66,3,5,7.100000000000001,3,6,50.0,1,3,25.0,0.0,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,1,2,1,1,2,3,7,0,27,12,20,5,3,0,27,1,1,100.0,0,0.0,7,48,24,0,0,0,0,7,37,28.799999999999997,83.0,0,0,0.0,0,0.0,3,1,2,-6.1,-6.08,2.5,1.0999999999999999,1.4000000000000001,-4.84,-4.97,0,3,0,0,0,0,0,4,2,1,10.0,1,2,,,
Julian Alvarez,Manchester City,90,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.19999999999999996,0.9,1,4,10,-0.16999999999999998,-0.16999999999999998,-0.32999999999999996,-0.16999999999999998,-0.32999999999999996,0.16,0.0,0.15999999999999998,0.16,0.15999999999999998,8,3,-8.299999999999997,2.0,0.6699999999999999,-0.16999999999999998,-0.3,2.299999999999999,2,-0.009999999999999995,-0.7,-0.7,34,52,-6.0,542,102,20,24,-1.9000000000000057,11,17,-1.0,3,8,-7.100000000000001,0.19999999999999996,-0.19999999999999996,4,1,1,0,40,11,1,0,0,12,0,9,5,2,0,1,2,3,-0.6699999999999999,2,1,0,0,0,0,0,-0.16999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,3,0,3,1,1,0,0,67,0,2,17,49,9,67,0,0,0.0,0,0.0,44,156,91,6,0,2,1,46,0,0.0,0.0,1,0,0.0,0,0.0,2,1,1,-0.33000000000000007,0.0,3.6,0.7000000000000001,2.9000000000000004,0.56,0.0,0,0,0,0,0,0,0,2,0,0,0.0,1,2,2023.0,FW,21.0
Zeki Amdouni,Burnley,80,0.9000000000000001,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,-66.7,0.42999999999999994,-0.86,0.0,0.0,5.200000000000001,0,0.0,-0.1,-0.1,15,16,1.6999999999999886,181,44,10,11,3.200000000000003,4,4,0.0,0,0,0.0,0.0,0.0,0,2,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.20999999999999996,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,2,-33.3,1,1,1,0,0,1,0,0,25,2,3,11,11,3,25,3,1,-7.100000000000001,2,7.100000000000001,13,95,19,1,1,2,1,16,10,11.099999999999994,10.0,0,0,0.0,0,0.0,1,3,-2,0.43000000000000016,-0.32,0.2,2.4,-2.2,-0.81,-2.46,0,3,0,0,0,0,0,5,1,0,16.700000000000003,1,2,,,
Joachim Andersen,Crystal Palace,90,1.0,1,0,1,1,0,0,0,0,0.0,0.0,0.1,0.2,0,9,0,0.33,0.0,0.33,0.33,0.33,-0.009999999999999995,0.04,0.03,-0.009999999999999995,0.03,1,1,0.0,0.0,0.0,0.33,0.33,-4.299999999999997,0,-0.009999999999999995,1.0,1.0,40,53,-3.299999999999997,772,260,14,15,1.0,23,24,-0.10000000000000853,3,11,-12.099999999999994,0.19999999999999998,-0.1,4,6,5,2,50,2,2,0,0,2,0,0,0,0,0,1,1,7,1.17,7,0,0,0,0,0,1,0.33,1,0,0,0,0,0,3,3,3,0,0,3,3,16.599999999999994,0,2,1,1,1,4,7,0,72,10,33,25,14,2,72,1,1,0.0,0,0.0,39,167,99,3,0,2,0,38,0,0.0,0.0,1,0,0.0,0,-0.16999999999999993,1,1,0,0.0,0.0,0.8000000000000003,1.0,-0.2,-0.12,0.0,0,1,0,0,0,0,0,4,7,3,-2.799999999999997,1,2,,,
Elliot Anderson,Newcastle Utd,9,0.10000000000000003,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,0.0,-0.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,7,9.599999999999994,139,21,3,3,0.0,3,3,0.0,1,1,10.0,0.0,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6799999999999997,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,1,-16.700000000000003,1,0,0,0,0,1,0,0,9,0,1,4,4,1,9,0,0,0.0,0,0.0,6,22,11,0,0,0,1,7,-1,-1.4000000000000004,0.0,0,1,-1.0,0,-0.5,0,1,-1,-2.57,-1.9700000000000002,0.30000000000000004,0.30000000000000004,0.0,0.1499999999999999,-0.05999999999999983,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2023.0,DF,27.0
