player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Max Aarons,DF,Bournemouth,23,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,39,44,88.6,618,158,20,20,100.0,14,16,87.5,3,4,75.0,0.1,-0.1,1,1,1,0,36,8,1,1,0,1,7,0,0,0,0,0,2,4,4.86,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,1,0,50,0,11,31,8,0,50,3,2,66.7,1,33.3,27,165,87,1,0,0,0,29,74,82.2,74,0,0,,0,1.00,0,1,-1,-1.22,-6.84,0.3,0.9,-0.5,-0.65,-5.12,0,1,2,0,0,0,0,3,0,3,0.0,1
Benie Adama Traore,FW,Sheffield Utd,20,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,10,12,83.3,169,50,5,5,100.0,4,5,80.0,1,1,100.0,0.1,-0.3,2,1,2,0,12,0,0,1,0,0,0,0,0,0,0,0,1,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,0,2,0.0,2,1,0,1,0,2,0,0,20,1,4,6,11,1,20,5,0,0.0,5,100.0,14,126,55,2,0,1,1,8,86,95.6,86,0,0,,0,0.00,0,1,-1,-1.05,-1.05,0.5,1.9,-1.4,-1.46,-2.00,0,5,1,0,0,0,0,7,0,4,0.0,1
Elijah Adebayo,FW,Luton Town,25,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,10,70.0,113,41,3,4,75.0,4,6,66.7,0,0,,0.0,0.0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,16,1,2,10,5,0,16,3,0,0.0,3,100.0,7,56,27,2,0,0,0,8,63,70.0,63,0,0,,0,0.00,0,1,-1,-1.43,+5.24,0.4,1.5,-1.1,-1.55,+3.31,0,0,0,0,0,0,0,0,2,1,66.7,1
Simon Adingra,FW,Brighton,21,1,0,17,0.2,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,2,5.29,0.00,5.29,5.29,5.29,1.34,0.00,1.34,1.34,1.34,Matches,2023,1,1,100.0,5.29,5.29,1.00,1.00,5.3,0,0.25,+0.7,+0.7,6,6,100.0,65,10,5,5,100.0,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,1,8,2,9,1,0,0.0,1,100.0,5,16,3,0,0,1,0,5,17,18.9,,0,1,17,0,3.00,2,1,+1,+5.29,+2.83,1.7,1.0,+0.7,+3.53,+1.23,0,0,0,0,0,0,0,2,0,0,,1
Nayef Aguerd,DF,West Ham,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,22,29,75.9,510,242,7,7,100.0,9,12,75.0,6,9,66.7,0.0,0.0,0,3,0,0,21,8,4,0,0,0,0,0,0,0,0,0,0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,2,0,0,2,2,100.0,0,0,0,0,2,4,7,1,41,12,29,11,1,0,41,0,0,,0,,12,76,26,0,0,1,0,9,90,100.0,90,1,0,,0,1.00,1,1,0,0.00,,1.1,1.3,-0.3,-0.26,,0,1,1,0,0,0,0,5,5,2,71.4,1
Anel Ahmedhodzic,DF,Sheffield Utd,24,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,2023,2,0,0.0,2.00,0.00,0.00,,17.7,0,0.03,-0.1,-0.1,17,27,63.0,224,92,11,13,84.6,5,7,71.4,0,5,0.0,0.0,0.0,0,2,0,0,26,1,0,0,0,0,1,0,0,0,0,0,0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,0,1,1,2,50.0,1,1,1,0,1,3,8,0,42,4,16,21,6,1,42,1,1,100.0,0,0.0,18,57,29,1,0,0,2,18,90,100.0,90,1,0,,0,0.00,0,1,-1,-1.00,,0.5,1.9,-1.4,-1.37,,0,3,1,0,0,0,0,5,2,0,100.0,1
Ola Aina,MF,Nott'ham Forest,26,1,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2023,1,0,0.0,1.27,0.00,0.00,,29.4,0,0.02,0.0,0.0,9,14,64.3,228,172,3,7,42.9,3,4,75.0,3,3,100.0,0.0,0.0,0,0,0,0,10,4,3,0,0,0,1,0,0,0,0,0,0,1,1.27,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,3,3,3,0,0,2,2,100.0,0,0,0,0,0,3,4,0,23,2,12,8,3,0,23,2,1,50.0,0,0.0,8,59,33,1,0,0,1,9,71,78.9,71,0,0,,0,0.00,0,2,-2,-2.54,-7.27,0.3,0.4,-0.1,-0.10,-2.12,0,1,0,0,0,0,0,1,1,0,100.0,1
Rayan Ait Nouri,DF,Wolves,22,1,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,32,39,82.1,424,238,22,24,91.7,8,10,80.0,2,3,66.7,0.0,0.0,1,2,0,0,30,9,2,0,0,0,7,0,0,0,0,0,1,1,1.18,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,2,0,0,1,2,50.0,1,3,2,1,1,3,3,0,48,8,24,14,12,0,48,3,2,66.7,1,33.3,23,166,121,3,0,1,0,23,76,84.4,76,0,0,,0,0.00,0,1,-1,-1.18,-1.18,1.5,1.7,-0.2,-0.23,-1.59,0,2,0,0,0,0,0,8,0,0,,1
Kristoffer Ajer,DF,Brentford,25,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,19,25,76.0,290,137,12,13,92.3,5,7,71.4,2,4,50.0,0.0,0.0,0,0,0,0,19,6,2,0,0,0,4,0,0,0,0,0,0,1,1.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,6,0,35,7,20,8,7,1,35,0,0,,0,,9,66,38,0,0,1,1,16,83,92.2,83,0,0,,0,1.00,2,2,0,0.00,0.00,1.8,1.2,+0.7,+0.71,-2.90,0,1,0,0,0,0,0,1,3,0,100.0,1
Manuel Akanji,DF,Manchester City,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,89,102,87.3,1375,382,41,42,97.6,41,48,85.4,3,6,50.0,0.0,0.0,0,4,0,0,100,2,2,0,0,1,0,0,0,0,0,0,0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,2,4,50.0,2,2,1,1,0,3,2,0,109,10,57,49,3,0,109,0,0,,0,,78,488,250,0,0,0,0,90,90,100.0,90,1,0,,0,3.00,3,0,+3,+3.00,,1.9,0.3,+1.6,+1.62,,0,0,0,0,0,0,0,2,4,1,80.0,1
