minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek,home_team,away_team
4,Erling Haaland,Manchester City,0.17,0.62,Goal,8,Left Foot,Volley,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live),1,Burnley,Manchester City
6,Kevin De Bruyne,Manchester City,0.02,,Off Target,32,Right Foot,,Phil Foden,Pass (Live),Nathan Ake,Pass (Live),1,Burnley,Manchester City
11,Erling Haaland,Manchester City,0.21,,Off Target,6,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live),1,Burnley,Manchester City
15,Luca Koleosho,Burnley,0.08,,Off Target,15,Right Foot,,Vitinho,Pass (Live),Lyle Foster,Pass (Live),1,Burnley,Manchester City
18,Zeki Amdouni,Burnley,0.03,0.02,Saved,15,Left Foot,,Luca Koleosho,Pass (Live),Vitinho,Pass (Live),1,Burnley,Manchester City
29,Lyle Foster,Burnley,0.03,,Off Target,16,Right Foot,,Lyle Foster,Take-On,,,1,Burnley,Manchester City
36,Erling Haaland,Manchester City,0.14,0.50,Goal,13,Left Foot,,Julian Alvarez,Pass (Live),Kyle Walker,Pass (Live),1,Burnley,Manchester City
37,Lyle Foster,Burnley,0.12,,Blocked,16,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Tackle,1,Burnley,Manchester City
45+1,Phil Foden,Manchester City,0.24,0.33,Saved,10,Left Foot,,Phil Foden,Take-On,Mateo Kovacic,Pass (Live),1,Burnley,Manchester City
52,Erling Haaland,Manchester City,0.05,,Blocked,11,Left Foot,,Julian Alvarez,Pass (Live),Rodri,Pass (Live),1,Burnley,Manchester City
53,Phil Foden,Manchester City,0.04,,Blocked,8,Left Foot,Volley,,,,,1,Burnley,Manchester City
55,Rodri,Manchester City,0.02,0.05,Saved,34,Right Foot,,,,,,1,Burnley,Manchester City
55,Rodri,Manchester City,0.01,0.26,Saved,15,Head,,Julian Alvarez,Pass (Dead),Rodri,Shot,1,Burnley,Manchester City
60,Julian Alvarez,Manchester City,0.06,,Off Target,15,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live),1,Burnley,Manchester City
67,Rodri,Manchester City,0.05,,Blocked,16,Right Foot,,Julian Alvarez,Pass (Live),Rico Lewis,Pass (Live),1,Burnley,Manchester City
75,Nathan Ake,Manchester City,0.31,,Blocked,5,Left Foot,Volley,Erling Haaland,Fouled,Ederson,Pass (Live),1,Burnley,Manchester City
75,Rodri,Manchester City,0.42,0.93,Goal,5,Right Foot,,Nathan Ake,Shot,,,1,Burnley,Manchester City
79,Julian Alvarez,Manchester City,0.20,,Blocked,13,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live),1,Burnley,Manchester City
80,Anass Zaroury,Burnley,0.04,,Blocked,21,Left Foot,,Lyle Foster,Pass (Live),Jacob Bruun Larsen,Pass (Live),1,Burnley,Manchester City
82,Jacob Bruun Larsen,Burnley,0.02,,Off Target,7,Head,,Anass Zaroury,Pass (Dead),,,1,Burnley,Manchester City
86,Julian Alvarez,Manchester City,0.09,0.02,Saved,14,Right Foot,,Phil Foden,Pass (Live),Manuel Akanji,Pass (Live),1,Burnley,Manchester City
88,Phil Foden,Manchester City,0.02,,Off Target,21,Left Foot,,Julian Alvarez,Pass (Dead),Mateo Kovacic,Fouled,1,Burnley,Manchester City
90+5,Aymeric Laporte,Manchester City,0.04,0.02,Saved,11,Head,,Julian Alvarez,Pass (Dead),Kyle Walker,Fouled,1,Burnley,Manchester City
10,Eddie Nketiah,Arsenal,0.06,,Off Target,6,Head,,Bukayo Saka,Pass (Live),Martin Odegaard,Pass (Live),1,Arsenal,Nott'ham Forest
11,Brennan Johnson,Nott'ham Forest,0.28,,Off Target,18,Right Foot,,Willy Boly,Pass (Live),,,1,Arsenal,Nott'ham Forest
24,Kai Havertz,Arsenal,0.03,,Blocked,24,Left Foot,,Martinelli,Pass (Live),William Saliba,Pass (Live),1,Arsenal,Nott'ham Forest
25,Bukayo Saka,Arsenal,0.02,,Blocked,16,Right Foot,,Thomas Partey,Pass (Live),Ben White,Pass (Live),1,Arsenal,Nott'ham Forest
26,Eddie Nketiah,Arsenal,0.11,0.02,Goal,14,Right Foot,Deflected,Martinelli,Take-On,Thomas Partey,Pass (Live),1,Arsenal,Nott'ham Forest
32,Bukayo Saka,Arsenal,0.04,0.60,Goal,23,Left Foot,,William Saliba,Pass (Live),Thomas Partey,Pass (Live),1,Arsenal,Nott'ham Forest
38,Eddie Nketiah,Arsenal,0.04,,Off Target,12,Right Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),1,Arsenal,Nott'ham Forest
44,Declan Rice,Arsenal,0.02,0.14,Saved,32,Right Foot,,Bukayo Saka,Pass (Live),Martin Odegaard,Pass (Live),1,Arsenal,Nott'ham Forest
51,Takehiro Tomiyasu,Arsenal,0.03,0.16,Saved,28,Right Foot,,Martinelli,Pass (Live),Martin Odegaard,Pass (Live),1,Arsenal,Nott'ham Forest
69,Martin Odegaard,Arsenal,0.03,,Blocked,21,Left Foot,,Thomas Partey,Pass (Live),Eddie Nketiah,Pass (Live),1,Arsenal,Nott'ham Forest
70,Ola Aina,Nott'ham Forest,0.02,,Blocked,29,Right Foot,,Ola Aina,Take-On,Orel Mangala,Pass (Live),1,Arsenal,Nott'ham Forest
76,Declan Rice,Arsenal,0.05,0.44,Saved,25,Right Foot,Deflected,Kai Havertz,Pass (Live),Martin Odegaard,Pass (Live),1,Arsenal,Nott'ham Forest
78,Willy Boly,Nott'ham Forest,0.21,0.08,Saved,5,Head,Deflected,Morgan Gibbs-White,Pass (Dead),,,1,Arsenal,Nott'ham Forest
81,Declan Rice,Arsenal,0.17,0.56,Saved,15,Right Foot,Volley,Thomas Partey,Pass (Live),Leandro Trossard,Pass (Live),1,Arsenal,Nott'ham Forest
82,Taiwo Awoniyi,Nott'ham Forest,0.57,0.87,Goal,6,Right Foot,,Anthony Elanga,Pass (Live),Taiwo Awoniyi,Pass (Live),1,Arsenal,Nott'ham Forest
83,Morgan Gibbs-White,Nott'ham Forest,0.07,,Off Target,19,Right Foot,,Anthony Elanga,Pass (Live),Neco Williams,Pass (Live),1,Arsenal,Nott'ham Forest
85,Kai Havertz,Arsenal,0.02,,Blocked,12,Right Foot,,Martin Odegaard,Pass (Live),Thomas Partey,Pass (Live),1,Arsenal,Nott'ham Forest
87,Bukayo Saka,Arsenal,0.13,0.06,Saved,10,Left Foot,Deflected,Kai Havertz,Pass (Live),Martin Odegaard,Pass (Live),1,Arsenal,Nott'ham Forest
90+3,Martin Odegaard,Arsenal,0.04,,Blocked,26,Left Foot,,Leandro Trossard,Pass (Live),Leandro Trossard,Take-On,1,Arsenal,Nott'ham Forest
90+5,Cheikhou Kouyate,Nott'ham Forest,0.02,,Off Target,26,Right Foot,Volley,Anthony Elanga,Fouled,Ryan Yates,Pass (Live),1,Arsenal,Nott'ham Forest
90+8,Martin Odegaard,Arsenal,0.05,,Off Target,21,Left Foot,,Bukayo Saka,Pass (Live),Kai Havertz,Pass (Live),1,Arsenal,Nott'ham Forest
1,Neal Maupay,Everton,0.05,,Off Target,19,Right Foot,,Abdoulaye Doucoure,Pass (Live),James Garner,Interception,1,Everton,Fulham
3,Tom Cairney,Fulham,0.04,,Off Target,21,Left Foot,Volley,Willian,Pass (Dead),Harry Wilson,Pass (Live),1,Everton,Fulham
5,Abdoulaye Doucoure,Everton,0.54,0.84,Saved,15,Right Foot,,Amadou Onana,Pass (Live),Alex Iwobi,Pass (Live),1,Everton,Fulham
18,Alex Iwobi,Everton,0.07,,Blocked,17,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),1,Everton,Fulham
19,Idrissa Gana Gueye,Everton,0.01,,Blocked,22,Right Foot,,James Garner,Pass (Dead),Alex Iwobi,Shot,1,Everton,Fulham
21,Alex Iwobi,Everton,0.07,,Off Target,22,Right Foot,,Alex Iwobi,Take-On,Neal Maupay,Pass (Live),1,Everton,Fulham
34,Neal Maupay,Everton,0.68,0.92,Saved,4,Left Foot,Volley,Alex Iwobi,Pass (Live),Amadou Onana,Pass (Live),1,Everton,Fulham
41,Amadou Onana,Everton,0.05,0.05,Saved,19,Right Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On,1,Everton,Fulham
42,Neal Maupay,Everton,0.53,0.91,Saved,11,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),1,Everton,Fulham
43,Nathan Patterson,Everton,0.04,,Off Target,16,Left Foot,,Idrissa Gana Gueye,Pass (Live),,,1,Everton,Fulham
45,Neal Maupay,Everton,0.08,0.09,Saved,18,Right Foot,Volley,Abdoulaye Doucoure,Pass (Live),James Garner,Pass (Live),1,Everton,Fulham
53,Sasa Lukic,Fulham,0.02,,Off Target,22,Right Foot,Volley,Tom Cairney,Pass (Live),Tom Cairney,Pass (Live),1,Everton,Fulham
57,Raul Jimenez,Fulham,0.07,,Woodwork,13,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),1,Everton,Fulham
57,Bobby Reid,Fulham,0.12,,Off Target,13,Right Foot,,Harrison Reed,Pass (Live),Tom Cairney,Pass (Live),1,Everton,Fulham
60,Nathan Patterson,Everton,0.01,,Blocked,34,Right Foot,,Alex Iwobi,Pass (Live),James Garner,Pass (Dead),1,Everton,Fulham
67,Alex Iwobi,Everton,0.04,0.05,Saved,22,Right Foot,,Neal Maupay,Pass (Live),Michael Keane,Pass (Live),1,Everton,Fulham
67,Nathan Patterson,Everton,0.26,,Woodwork,8,Right Foot,,Alex Iwobi,Shot,,,1,Everton,Fulham
69,Harry Wilson,Fulham,0.07,,Off Target,19,Left Foot,,Harry Wilson,Take-On,Sasa Lukic,Pass (Live),1,Everton,Fulham
73,Bobby Reid,Fulham,0.72,0.98,Goal,3,Left Foot,,Aleksandar Mitrovic,Pass (Live),Harry Wilson,Pass (Live),1,Everton,Fulham
77,Bobby Reid,Fulham,0.29,,Off Target,5,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),1,Everton,Fulham
85,Alex Iwobi,Everton,0.15,0.35,Saved,4,Right Foot,Volley,Ashley Young,Pass (Live),Lewis Dobbin,Pass (Live),1,Everton,Fulham
85,Michael Keane,Everton,0.03,0.04,Saved,10,Head,,Alex Iwobi,Pass (Dead),Alex Iwobi,Shot,1,Everton,Fulham
87,Aleksandar Mitrovic,Fulham,0.06,0.14,Saved,10,Right Foot,,Aleksandar Mitrovic,Take-On,Kenny Tete,Pass (Live),1,Everton,Fulham
88,Aleksandar Mitrovic,Fulham,0.10,,Blocked,12,Left Foot,,,,,,1,Everton,Fulham
90,Idrissa Gana Gueye,Everton,0.04,,Blocked,21,Left Foot,Volley,Ashley Young,Pass (Live),Abdoulaye Doucoure,Pass (Live),1,Everton,Fulham
90,James Tarkowski,Everton,0.04,,Off Target,10,Head,,Alex Iwobi,Pass (Live),Idrissa Gana Gueye,Shot,1,Everton,Fulham
90+5,Abdoulaye Doucoure,Everton,0.03,,Off Target,12,Head,,Amadou Onana,Fouled,Ashley Young,Pass (Dead),1,Everton,Fulham
90+7,Michael Keane,Everton,0.01,0.07,Saved,17,Head,,Jordan Pickford,Pass (Dead),Lewis Dobbin,Fouled,1,Everton,Fulham
9,William Osula,Sheffield Utd,0.02,,Blocked,23,Left Foot,,,,,,1,Sheffield Utd,Crystal Palace
14,Odsonne Edouard,Crystal Palace,0.04,,Blocked,12,Left Foot,,Odsonne Edouard,Take-On,Cheick Doucoure,Pass (Live),1,Sheffield Utd,Crystal Palace
17,Eberechi Eze,Crystal Palace,0.02,,Blocked,30,Left Foot,,Cheick Doucoure,Pass (Live),Jefferson Lerma,Pass (Live),1,Sheffield Utd,Crystal Palace
17,Eberechi Eze,Crystal Palace,0.11,,Blocked,12,Right Foot,,Eberechi Eze,Shot,,,1,Sheffield Utd,Crystal Palace
20,Odsonne Edouard,Crystal Palace,0.06,0.43,Saved,16,Right Foot,,Joachim Andersen,Pass (Live),Jefferson Lerma,Pass (Live),1,Sheffield Utd,Crystal Palace
22,Joachim Andersen,Crystal Palace,0.02,0.19,Saved,36,Right Foot,,Cheick Doucoure,Pass (Live),Tyrick Mitchell,Pass (Dead),1,Sheffield Utd,Crystal Palace
24,Odsonne Edouard,Crystal Palace,0.03,,Off Target,16,Right Foot,Volley,Eberechi Eze,Pass (Dead),Eberechi Eze,Pass (Live),1,Sheffield Utd,Crystal Palace
27,John Egan,Sheffield Utd,0.04,,Off Target,10,Head,,Oliver Norwood,Pass (Dead),Oliver Norwood,Pass (Live),1,Sheffield Utd,Crystal Palace
29,Jeffrey Schlupp,Crystal Palace,0.02,,Off Target,29,Left Foot,,Marc Guehi,Pass (Live),Joachim Andersen,Pass (Live),1,Sheffield Utd,Crystal Palace
30,Cheick Doucoure,Crystal Palace,0.01,0.19,Saved,32,Right Foot,"Deflected, Volley",Jeffrey Schlupp,Shot,,,1,Sheffield Utd,Crystal Palace
31,Eberechi Eze,Crystal Palace,0.06,,Blocked,17,Right Foot,,Odsonne Edouard,Pass (Live),Joachim Andersen,Pass (Live),1,Sheffield Utd,Crystal Palace
31,Jordan Ayew,Crystal Palace,0.06,,Blocked,16,Right Foot,,Cheick Doucoure,Pass (Live),Eberechi Eze,Shot,1,Sheffield Utd,Crystal Palace
