minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek,home_team,away_team
32,Marc Guehi,Crystal Palace,0.03,,Off Target,12,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Shot,1,Sheffield Utd,Crystal Palace
32,Odsonne Edouard,Crystal Palace,0.05,,Off Target,5,Head,,Marc Guehi,Shot,,,1,Sheffield Utd,Crystal Palace
34,Anel Ahmedhodzic,Sheffield Utd,0.04,,Off Target,10,Head,,Oliver Norwood,Pass (Dead),George Baldock,Take-On,1,Sheffield Utd,Crystal Palace
39,Eberechi Eze,Crystal Palace,0.00,,Blocked,34,Right Foot,,Jefferson Lerma,Pass (Live),Eberechi Eze,Pass (Dead),1,Sheffield Utd,Crystal Palace
44,Oliver Norwood,Sheffield Utd,0.02,0.05,Saved,34,Right Foot,,Max Lowe,Pass (Live),Anel Ahmedhodzic,Pass (Live),1,Sheffield Utd,Crystal Palace
45,Eberechi Eze,Crystal Palace,0.03,,Off Target,18,Left Foot,,Jeffrey Schlupp,Pass (Live),Joachim Andersen,Pass (Live),1,Sheffield Utd,Crystal Palace
49,Odsonne Edouard,Crystal Palace,0.64,0.81,Goal,4,Left Foot,Volley,Jordan Ayew,Pass (Live),Jefferson Lerma,Pass (Live),1,Sheffield Utd,Crystal Palace
54,Eberechi Eze,Crystal Palace,0.03,,Blocked,30,Right Foot,Free kick,Eberechi Eze,Fouled,Odsonne Edouard,Pass (Live),1,Sheffield Utd,Crystal Palace
60,Odsonne Edouard,Crystal Palace,0.01,,Off Target,16,Head,,Jeffrey Schlupp,Pass (Live),Eberechi Eze,Pass (Dead),1,Sheffield Utd,Crystal Palace
61,Odsonne Edouard,Crystal Palace,0.18,0.07,Saved,7,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Fouled,1,Sheffield Utd,Crystal Palace
62,Ben Osborn,Sheffield Utd,0.12,,Blocked,13,Right Foot,,Benie Adama Traore,Pass (Live),Oliver Norwood,Pass (Live),1,Sheffield Utd,Crystal Palace
72,Jeffrey Schlupp,Crystal Palace,0.06,0.07,Saved,13,Left Foot,,Eberechi Eze,Pass (Live),Jeffrey Schlupp,Pass (Live),1,Sheffield Utd,Crystal Palace
74,Anel Ahmedhodzic,Sheffield Utd,0.02,,Blocked,25,Right Foot,,,,,,1,Sheffield Utd,Crystal Palace
75,Eberechi Eze,Crystal Palace,0.17,,Blocked,17,Right Foot,,Odsonne Edouard,Pass (Live),Jefferson Lerma,Take-On,1,Sheffield Utd,Crystal Palace
75,William Osula,Sheffield Utd,0.22,,Off Target,16,Right Foot,,Benie Adama Traore,Pass (Live),Wes Foderingham,Pass (Live),1,Sheffield Utd,Crystal Palace
76,Jordan Ayew,Crystal Palace,0.03,0.02,Saved,15,Right Foot,,Joachim Andersen,Pass (Live),Marc Guehi,Pass (Live),1,Sheffield Utd,Crystal Palace
80,Jefferson Lerma,Crystal Palace,0.02,,Off Target,37,Right Foot,,Eberechi Eze,Pass (Live),Odsonne Edouard,Tackle,1,Sheffield Utd,Crystal Palace
84,Eberechi Eze,Crystal Palace,0.07,,Off Target,15,Right Foot,,Jordan Ayew,Pass (Live),,,1,Sheffield Utd,Crystal Palace
86,Joachim Andersen,Crystal Palace,0.13,0.14,Saved,6,Head,,Eberechi Eze,Pass (Dead),Eberechi Eze,Fouled,1,Sheffield Utd,Crystal Palace
88,Oliver Norwood,Sheffield Utd,0.02,,Off Target,24,Right Foot,,Vinicius Souza,Pass (Live),George Baldock,Pass (Dead),1,Sheffield Utd,Crystal Palace
2,Lewis Dunk,Brighton,0.02,,Off Target,14,Head,,Pascal Gross,Pass (Dead),James Milner,Pass (Dead),1,Brighton,Luton Town
3,Lewis Dunk,Brighton,0.10,,Off Target,6,Head,,Mahmoud Dahoud,Pass (Live),Lewis Dunk,Shot,1,Brighton,Luton Town
5,Joao Pedro,Brighton,0.35,,Off Target,10,Right Foot,,Pascal Gross,Pass (Live),,,1,Brighton,Luton Town
8,Danny Welbeck,Brighton,0.01,,Off Target,30,Right Foot,,Joao Pedro,Pass (Live),Pervis Estupinan,Pass (Live),1,Brighton,Luton Town
14,Pascal Gross,Brighton,0.14,,Off Target,9,Head,,Pervis Estupinan,Pass (Live),Kaoru Mitoma,Pass (Live),1,Brighton,Luton Town
18,Solly March,Brighton,0.01,,Blocked,29,Left Foot,,Pascal Gross,Pass (Dead),Solly March,Fouled,1,Brighton,Luton Town
18,Pervis Estupinan,Brighton,0.04,,Blocked,20,Left Foot,,Kaoru Mitoma,Pass (Live),Pervis Estupinan,Pass (Live),1,Brighton,Luton Town
20,Danny Welbeck,Brighton,0.04,0.12,Saved,17,Right Foot,,Solly March,Pass (Dead),Danny Welbeck,Pass (Live),1,Brighton,Luton Town
23,Pelly Ruddock Mpanzu,Luton Town,0.25,,Off Target,5,Head,,Issa Kabore,Pass (Live),Carlton Morris,Pass (Live),1,Brighton,Luton Town
26,Mahmoud Dahoud,Brighton,0.02,,Off Target,29,Right Foot,,Kaoru Mitoma,Pass (Live),Lewis Dunk,Pass (Live),1,Brighton,Luton Town
29,Pelly Ruddock Mpanzu,Luton Town,0.03,,Blocked,16,Left Foot,,Elijah Adebayo,Pass (Live),,,1,Brighton,Luton Town
33,Kaoru Mitoma,Brighton,0.02,,Off Target,20,Right Foot,Volley,Pascal Gross,Pass (Live),James Milner,Pass (Live),1,Brighton,Luton Town
34,Marvelous Nakamba,Luton Town,0.01,,Blocked,28,Left Foot,Volley,Issa Kabore,Pass (Live),Issa Kabore,Interception,1,Brighton,Luton Town
36,Solly March,Brighton,0.33,0.86,Goal,7,Head,,Kaoru Mitoma,Pass (Live),Mahmoud Dahoud,Pass (Live),1,Brighton,Luton Town
37,Carlton Morris,Luton Town,0.04,0.03,Saved,10,Head,,Ryan John Giles,Pass (Dead),Carlton Morris,Pass (Live),1,Brighton,Luton Town
38,Issa Kabore,Luton Town,0.02,,Off Target,28,Left Foot,,Marvelous Nakamba,Pass (Live),Carlton Morris,Shot,1,Brighton,Luton Town
39,Danny Welbeck,Brighton,0.17,,Woodwork,16,Right Foot,,Pervis Estupinan,Pass (Live),Joao Pedro,Pass (Live),1,Brighton,Luton Town
40,Pervis Estupinan,Brighton,0.01,0.04,Saved,31,Left Foot,Deflected,Mahmoud Dahoud,Pass (Live),Jan Paul van Hecke,Pass (Live),1,Brighton,Luton Town
42,Danny Welbeck,Brighton,0.10,,Blocked,12,Right Foot,,Kaoru Mitoma,Pass (Live),Pascal Gross,Pass (Live),1,Brighton,Luton Town
42,Mahmoud Dahoud,Brighton,0.02,,Blocked,29,Right Foot,,Danny Welbeck,Shot,,,1,Brighton,Luton Town
45+1,Carlton Morris,Luton Town,0.08,,Off Target,8,Head,,Ryan John Giles,Pass (Live),Tahith Chong,Pass (Live),1,Brighton,Luton Town
47,Jan Paul van Hecke,Brighton,0.02,0.22,Saved,17,Head,,Pervis Estupinan,Pass (Live),Solly March,Pass (Live),1,Brighton,Luton Town
48,Joao Pedro,Brighton,0.06,,Blocked,15,Right Foot,,Kaoru Mitoma,Pass (Live),James Milner,Pass (Live),1,Brighton,Luton Town
52,Pascal Gross,Brighton,0.01,,Woodwork,23,Right Foot,,Solly March,Pass (Dead),Joao Pedro,Fouled,1,Brighton,Luton Town
63,Solly March,Brighton,0.06,0.02,Saved,13,Left Foot,,Pascal Gross,Pass (Live),Danny Welbeck,Pass (Live),1,Brighton,Luton Town
71,Joao Pedro (pen),Brighton,0.79,0.99,Goal,13,Right Foot,,Joao Pedro,Fouled,Kaoru Mitoma,Pass (Live),1,Brighton,Luton Town
81,Carlton Morris (pen),Luton Town,0.79,0.99,Goal,13,Right Foot,,,Fouled,Carlton Morris,Pass (Live),1,Brighton,Luton Town
84,Billy Gilmour,Brighton,0.01,0.05,Saved,26,Right Foot,,,,,,1,Brighton,Luton Town
85,Pervis Estupinan,Brighton,0.06,0.12,Saved,13,Left Foot,,Pervis Estupinan,Take-On,Evan Ferguson,Pass (Live),1,Brighton,Luton Town
85,Simon Adingra,Brighton,0.25,0.77,Goal,5,Right Foot,Volley,,,,,1,Brighton,Luton Town
86,Evan Ferguson,Brighton,0.05,,Woodwork,18,Right Foot,,Pervis Estupinan,Pass (Live),Kaoru Mitoma,Pass (Live),1,Brighton,Luton Town
87,Joao Pedro,Brighton,0.15,0.19,Saved,9,Left Foot,,Pascal Gross,Pass (Live),Pervis Estupinan,Pass (Live),1,Brighton,Luton Town
89,Pascal Gross,Brighton,0.35,0.60,Saved,7,Right Foot,,Pascal Gross,Take-On,Pervis Estupinan,Pass (Live),1,Brighton,Luton Town
90+2,Jacob Brown,Luton Town,0.11,0.09,Saved,16,Right Foot,Volley,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Live),1,Brighton,Luton Town
90+3,Carlton Morris,Luton Town,0.14,,Off Target,9,Head,,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Dead),1,Brighton,Luton Town
90+5,Evan Ferguson,Brighton,0.83,0.88,Goal,4,Right Foot,,Pervis Estupinan,Pass (Live),Lewis Dunk,Pass (Live),1,Brighton,Luton Town
3,Pablo Fornals,West Ham,0.05,,Off Target,18,Right Foot,Volley,Pablo Fornals,Pass (Live),Nayef Aguerd,Pass (Live),1,Bournemouth,West Ham
5,Jarrod Bowen,West Ham,0.03,,Off Target,30,Left Foot,,,,,,1,Bournemouth,West Ham
12,David Brooks,Bournemouth,0.05,,Off Target,24,Left Foot,,Dominic Solanke,Pass (Live),Neto,Pass (Live),1,Bournemouth,West Ham
17,Jarrod Bowen,West Ham,0.06,,Blocked,16,Left Foot,,Jarrod Bowen,Take-On,Said Benrahma,Pass (Live),1,Bournemouth,West Ham
19,Tomas Soucek,West Ham,0.34,,Off Target,3,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Pass (Live),1,Bournemouth,West Ham
24,Tomas Soucek,West Ham,0.03,,Off Target,7,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Take-On,1,Bournemouth,West Ham
26,Ryan Christie,Bournemouth,0.02,0.04,Saved,29,Left Foot,,David Brooks,Pass (Live),Joe Rothwell,Pass (Live),1,Bournemouth,West Ham
29,Pablo Fornals,West Ham,0.04,,Off Target,27,Left Foot,,Said Benrahma,Pass (Live),Michail Antonio,Pass (Live),1,Bournemouth,West Ham
35,Lucas Paqueta,West Ham,0.09,,Blocked,5,Head,,Jarrod Bowen,Pass (Dead),Tomas Soucek,Pass (Live),1,Bournemouth,West Ham
35,Said Benrahma,West Ham,0.02,,Off Target,30,Right Foot,,Lucas Paqueta,Pass (Live),Pablo Fornals,Pass (Live),1,Bournemouth,West Ham
37,Jarrod Bowen,West Ham,0.02,,Off Target,14,Other,,Vladimir Coufal,Pass (Live),Said Benrahma,Pass (Live),1,Bournemouth,West Ham
37,Said Benrahma,West Ham,0.06,0.19,Saved,12,Left Foot,,Pablo Fornals,Pass (Live),Jarrod Bowen,Shot,1,Bournemouth,West Ham
41,David Brooks,Bournemouth,0.02,0.17,Saved,31,Left Foot,,Dominic Solanke,Pass (Live),Joe Rothwell,Pass (Live),1,Bournemouth,West Ham
50,David Brooks,Bournemouth,0.07,0.07,Saved,21,Left Foot,Volley,Dominic Solanke,Pass (Live),Max Aarons,Pass (Live),1,Bournemouth,West Ham
51,Jarrod Bowen,West Ham,0.04,0.51,Goal,27,Left Foot,,Tomas Soucek,Pass (Live),Pablo Fornals,Tackle,1,Bournemouth,West Ham
55,Dominic Solanke,Bournemouth,0.07,0.16,Saved,10,Right Foot,,Max Aarons,Pass (Live),Illia Zabarnyi,Pass (Live),1,Bournemouth,West Ham
56,Lucas Paqueta,West Ham,0.03,,Off Target,16,Left Foot,Volley,Emerson Palmieri,Pass (Live),Said Benrahma,Pass (Live),1,Bournemouth,West Ham
56,Jarrod Bowen,West Ham,0.04,,Blocked,13,Head,,Emerson Palmieri,Pass (Live),Pablo Fornals,Pass (Live),1,Bournemouth,West Ham
61,Philip Billing,Bournemouth,0.04,,Blocked,24,Left Foot,Free kick,Max Aarons,Fouled,Max Aarons,Pass (Dead),1,Bournemouth,West Ham
65,Joe Rothwell,Bournemouth,0.03,,Woodwork,24,Right Foot,,Joe Rothwell,Take-On,Ryan Christie,Pass (Live),1,Bournemouth,West Ham
70,Jarrod Bowen,West Ham,0.04,,Blocked,11,Left Foot,,Vladimir Coufal,Pass (Dead),,,1,Bournemouth,West Ham
71,David Brooks,Bournemouth,0.03,,Off Target,22,Left Foot,,Philip Billing,Pass (Live),David Brooks,Pass (Live),1,Bournemouth,West Ham
75,Philip Billing,Bournemouth,0.02,,Off Target,18,Head,,Joe Rothwell,Pass (Dead),Joe Rothwell,Fouled,1,Bournemouth,West Ham
77,Kieffer Moore,Bournemouth,0.04,,Blocked,13,Head,,Dominic Solanke,Pass (Live),Illia Zabarnyi,Pass (Live),1,Bournemouth,West Ham
78,Dominic Solanke,Bournemouth,0.05,,Off Target,13,Head,,Milos Kerkez,Pass (Live),Chris Mepham,Pass (Live),1,Bournemouth,West Ham
82,Antoine Semenyo,Bournemouth,0.05,,Off Target,24,Right Foot,,,,,,1,Bournemouth,West Ham
82,Dominic Solanke,Bournemouth,0.87,0.97,Goal,4,Right Foot,,Dominic Solanke,Take-On,Antoine Semenyo,Shot,1,Bournemouth,West Ham
84,Danny Ings,West Ham,0.12,,Blocked,14,Right Foot,,Lucas Paqueta,Pass (Live),,,1,Bournemouth,West Ham
85,Lucas Paqueta,West Ham,0.06,,Woodwork,16,Left Foot,,,,,,1,Bournemouth,West Ham
89,Antoine Semenyo,Bournemouth,0.02,,Blocked,31,Left Foot,,Chris Mepham,Interception,,,1,Bournemouth,West Ham
6,Bruno Guimaraes,Newcastle Utd,0.07,0.25,Saved,26,Right Foot,,Kieran Trippier,Pass (Live),Kieran Trippier,Take-On,1,Newcastle Utd,Aston Villa
6,Sandro Tonali,Newcastle Utd,0.22,0.90,Goal,7,Right Foot,Volley,Anthony Gordon,Pass (Live),Joelinton,Pass (Live),1,Newcastle Utd,Aston Villa
8,Sandro Tonali,Newcastle Utd,0.42,0.68,Saved,12,Left Foot,,Anthony Gordon,Pass (Live),Alexander Isak,Pass (Live),1,Newcastle Utd,Aston Villa
