gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,season,home_score,away_score,matchup_id
1,Sat,2023-08-12,12:30,ARS,0.8,2–1,1.2,NOT,"59,984",Emirates Stadium,Michael Oliver,Match Report,,2023,2.0,1.0,1
1,Sat,2023-08-12,15:00,BHA,4.0,4–1,1.5,LUT,"31,872",The American Express Community Stadium,David Coote,Match Report,,2023,4.0,1.0,2
1,Sat,2023-08-12,15:00,BOU,1.3,1–1,1.1,WHU,"11,245",Vitality Stadium,Peter Bankes,Match Report,,2023,1.0,1.0,3
1,Sun,2023-08-13,14:00,BRF,2.2,2–2,1.3,TOT,"17,066",Gtech Community Stadium,Robert Jones,Match Report,,2023,2.0,2.0,4
1,Fri,2023-08-11,20:00,BUR,0.3,0–3,1.9,MCI,"21,572",Turf Moor,Craig Pawson,Match Report,,2023,0.0,3.0,5
1,Sun,2023-08-13,16:30,CHE,1.4,1–1,1.3,LIV,"40,096",Stamford Bridge,Anthony Taylor,Match Report,,2023,1.0,1.0,6
1,Sat,2023-08-12,15:00,EVE,2.7,0–1,1.5,FUL,"39,940",Goodison Park,Stuart Attwell,Match Report,,2023,0.0,1.0,7
1,Mon,2023-08-14,20:00,MUN,2.2,1–0,2.2,WOL,"73,358",Old Trafford,Simon Hooper,Match Report,,2023,1.0,0.0,8
1,Sat,2023-08-12,17:30,NEW,3.3,5–1,1.8,AVL,"52,207",St James' Park,Andy Madley,Match Report,,2023,5.0,1.0,9
1,Sat,2023-08-12,15:00,SHU,0.5,0–1,1.9,CRY,"31,194",Bramall Lane,John Brooks,Match Report,,2023,0.0,1.0,10
10,Sat,2023-10-28,15:00,ARS,2.8,5–0,0.0,SHU,"60,153",Emirates Stadium,Tim Robinson,Match Report,,2023,5.0,0.0,11
10,Sun,2023-10-29,14:00,AVL,2.3,3–1,0.5,LUT,"41,785",Villa Park,John Brooks,Match Report,,2023,3.0,1.0,12
10,Sun,2023-10-29,14:00,BHA,1.4,1–1,0.7,FUL,"31,550",The American Express Community Stadium,Michael Salisbury,Match Report,,2023,1.0,1.0,13
10,Sat,2023-10-28,15:00,BOU,1.1,2–1,0.8,BUR,"11,152",Vitality Stadium,Samuel Barrott,Match Report,,2023,2.0,1.0,14
10,Sat,2023-10-28,12:30,CHE,1.9,0–2,2.2,BRF,"39,575",Stamford Bridge,Simon Hooper,Match Report,,2023,0.0,2.0,15
10,Fri,2023-10-27,20:00,CRY,0.6,1–2,1.1,TOT,"25,074",Selhurst Park,Andy Madley,Match Report,,2023,1.0,2.0,16
10,Sun,2023-10-29,14:00,LIV,3.2,3–0,0.4,NOT,"50,143",Anfield,Chris Kavanagh,Match Report,,2023,3.0,0.0,17
10,Sun,2023-10-29,15:30,MUN,0.9,0–3,4.0,MCI,"73,502",Old Trafford,Paul Tierney,Match Report,,2023,0.0,3.0,18
10,Sun,2023-10-29,13:00,WHU,0.7,0–1,0.8,EVE,"62,469",London Stadium,Stuart Attwell,Match Report,,2023,0.0,1.0,19
10,Sat,2023-10-28,17:30,WOL,0.9,2–2,2.2,NEW,"31,584",Molineux Stadium,Anthony Taylor,Match Report,,2023,2.0,2.0,20
11,Sat,2023-11-04,15:00,BRF,1.5,3–2,1.8,WHU,"17,103",Gtech Community Stadium,Thomas Bramall,Match Report,,2023,3.0,2.0,21
