player,shirtnumber,nation,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,started,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team,opponent,gameweek,season,position_1,position_2,position_3
Zeki Amdouni,25,ch SUI,22,60,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,0,11,1,4,2,1.0,142,48,6,7,85.7,1,1,100.0,2,2,100.0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,100.0,0,0,0,1,1,0,1,3,9,11,3,23,50.0,2,50.0,63,17,0,1,3,1,15,3,0,0,2,0,0,0,0,4,1,2,33.3,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,FW,,
Anass Zaroury,19,ma MAR,22,29,0,0,0,0,1,0,0,1,13,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,6,0,0,0,0.0,203,52,4,4,100.0,3,3,100.0,3,5,60.0,0.1,1,0,0,0,7,5,0,0,0,4,0,4,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,7,0,13,,0,,13,4,0,0,0,0,7,1,0,1,1,0,0,0,0,1,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,FW,,
Lyle Foster,17,za RSA,22,89,0,0,0,0,2,0,0,0,37,2,0,2,0.1,0.1,0.0,3,0,14,20,70.0,2,14,2,3,1,1.0,247,43,5,7,71.4,7,8,87.5,1,2,50.0,0.0,1,1,1,0,16,4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,0,0,2,2,2,0,3,5,23,10,4,37,33.3,2,66.7,103,51,1,1,3,2,18,3,0,1,0,0,0,0,0,5,2,3,40.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,LM,,
Nathan Redmond,15,eng ENG,29,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,0.0,31,0,0,0,,0,0,,1,2,50.0,0.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,2,,0,,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,LM,,
Josh Cullen,24,ie IRL,27,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,37,43,86.0,2,16,0,0,0,1.0,659,112,17,18,94.4,18,19,94.7,1,3,33.3,0.0,0,1,0,0,41,2,1,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,1,0.0,1,0,1,1,0,0,3,21,19,6,0,46,,0,,48,18,0,0,0,0,30,1,0,0,2,0,0,0,0,5,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CM,,
Sander Berge,16,no NOR,25,89,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,23,28,82.1,1,12,0,0,0,1.0,413,57,12,13,92.3,8,10,80.0,3,4,75.0,0.0,0,1,0,0,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,1,0,0,0,0,4,12,18,3,1,33,,0,,35,17,0,0,1,0,24,1,0,2,0,0,0,0,0,3,2,0,100.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CM,,
Josh Brownhill,8,eng ENG,27,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,0.0,43,0,0,0,,2,2,100.0,0,0,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,0,0,0,2,,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CM,,
Luca Koleosho,30,it ITA,18,60,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,2,0,8,14,57.1,0,18,1,2,0,1.0,71,8,6,6,100.0,1,6,16.7,0,0,,0.0,2,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,11,11,2,23,0.0,2,100.0,90,26,2,0,3,1,16,1,0,1,0,0,0,0,0,5,0,1,0.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,RM,,
Jacob Bruun Larsen,34,dk DEN,24,30,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,2,4,3,0,0,0.0,55,21,2,3,66.7,2,2,100.0,0,0,,0.0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,2,7,2,9,,0,,53,37,1,1,1,0,6,3,0,2,0,0,0,0,0,0,2,0,100.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,RM,,
Vitinho,22,br BRA,24,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.0,0.1,2,0,20,25,80.0,0,14,1,1,0,1.0,245,40,16,16,100.0,4,5,80.0,0,0,,0.0,1,0,0,0,21,4,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,,0,1,1,1,1,0,1,11,15,5,1,31,0.0,1,100.0,78,29,0,0,0,0,17,2,0,1,1,0,0,0,0,2,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,LB,,
Jordan Beyer,5,de GER,23,73,0,0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,0.0,0,0,28,35,80.0,0,21,0,1,0,1.0,545,186,10,11,90.9,17,18,94.4,1,6,16.7,0.0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,100.0,0,0,2,8,4,0,13,35,14,0,0,49,0.0,1,100.0,103,39,0,0,0,0,31,0,0,1,0,0,0,0,0,2,1,0,100.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CB,,
Benson Manuel,10,be BEL,26,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,7,1,4,0,0.0,43,10,2,2,100.0,1,1,100.0,0,0,,0.0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,7,0,9,0.0,4,100.0,74,24,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,2,0.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,FW,,
Dara O'Shea,2,ie IRL,24,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,42,56,75.0,3,27,0,0,0,1.0,857,307,12,17,70.6,24,25,96.0,6,12,50.0,0.0,0,2,0,0,54,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,2,0,1,1,0,15,43,18,1,0,62,,0,,130,34,0,0,1,0,42,0,0,0,1,0,0,0,0,6,2,2,50.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CB,,
Ameen Al-Dakhil,28,be BEL,21,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,0,0,32,38,84.2,3,24,1,0,0,1.0,690,258,11,13,84.6,15,18,83.3,6,7,85.7,0.0,0,3,0,0,36,2,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0.0,1,1,1,3,4,0,6,24,22,5,1,51,,0,,159,94,2,0,0,1,30,0,0,1,1,0,0,0,0,4,2,3,40.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,CB,,
Connor Roberts,14,wls WAL,27,90,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,0,0,39,46,84.8,4,17,0,0,0,1.0,728,215,14,15,93.3,20,22,90.9,5,8,62.5,0.0,0,3,0,0,38,8,0,0,0,0,8,0,0,0,0,0,0,1,0,2,0,1,1,100.0,0,0,0,2,1,0,1,13,30,8,0,51,,0,,73,43,1,0,1,0,33,0,0,1,0,0,0,0,0,3,1,0,100.0,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,RB,,
James Trafford,1,eng ENG,20,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,39,52,75.0,1,32,0,0,0,1.0,835,553,16,16,100.0,11,11,100.0,11,23,47.8,0.0,0,2,0,0,44,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,40,52,3,0,0,55,,0,,149,73,0,0,0,0,32,0,0,0,0,0,0,0,0,5,0,0,,True,Burnley Player Stats,Manchester City Player Stats,1.0,2023-2024,GK,,
Erling Haaland,9,no NOR,23,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,1.0,98,24,6,6,100.0,2,2,100.0,0,1,0.0,0.1,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,1,3,4,11,5,18,,0,,59,34,2,0,1,2,16,3,0,1,2,0,0,0,0,3,1,2,33.3,False,Manchester City Player Stats,Burnley Player Stats,1.0,2023-2024,FW,,
