player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Jaidon Anthony,FW,Bournemouth,23,2,2,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,15,28,53.6,215,37,8,11,72.7,6,9,66.7,0,5,0.0,0.0,0.0,0,1,0,0,27,1,0,0,0,0,0,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,0,2,1,7,14.3,6,2,0,2,1,4,3,0,46,2,10,18,18,2,46,5,1,20.0,3,60.0,26,92,32,0,0,3,1,24,61,67.2,61,0,0,,0,0.50,1,4,-3,-2.23,-3.76,0.4,3.7,-3.3,-2.44,-5.13,0,3,1,2,0,0,0,8,1,3,25.0,2
Michail Antonio,FW,West Ham,33,2,2,152,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,2,6,0.59,0.00,0.59,0.59,0.59,0.13,0.00,0.13,0.13,0.13,2023,2,1,50.0,1.18,0.59,0.50,1.00,15.9,0,0.11,+0.8,+0.8,12,25,48.0,214,81,5,8,62.5,5,7,71.4,1,4,25.0,0.0,0.0,0,1,0,0,24,1,1,1,1,1,0,0,0,0,0,0,3,4,2.37,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,1,2,50.0,1,1,1,0,0,1,1,0,47,2,10,24,14,3,47,5,3,60.0,1,20.0,32,245,109,2,1,8,4,36,76,84.4,76,0,0,,0,2.00,3,1,+2,+1.18,+1.18,1.8,2.7,-1.0,-0.57,-0.64,0,2,4,0,0,0,0,6,5,6,45.5,2
Antony,"MF,FW",Manchester Utd,23,2,2,141,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,10,7,16,0.00,0.00,0.00,0.00,0.00,0.25,0.24,0.50,0.25,0.50,2023,6,0,0.0,3.83,0.00,0.00,,16.2,0,0.07,-0.4,-0.4,38,51,74.5,453,129,29,37,78.4,5,6,83.3,2,3,66.7,0.1,-0.4,4,2,4,0,50,1,1,0,0,3,0,0,0,0,0,0,3,6,3.83,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,2,2,3,1,4,6,66.7,2,3,0,3,2,8,0,0,75,1,6,25,44,9,75,5,2,40.0,3,60.0,48,390,231,5,4,3,2,52,71,78.3,71,0,0,,0,1.50,1,1,0,0.00,+2.31,3.4,2.7,+0.7,+0.48,+1.51,0,2,3,0,0,0,0,12,0,1,0.0,2
Cameron Archer,MF,Aston Villa,22,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,0,1,0,7,6,3.3,,0,1,6,1,3.00,0,0,0,0.00,0.00,0.0,0.0,0.0,0.00,-0.37,0,1,0,0,0,0,0,1,0,0,,2
Alphonse Areola,GK,West Ham,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,26,56,46.4,1057,873,3,4,75.0,8,8,100.0,15,43,34.9,0.0,0.0,0,0,0,0,31,24,7,0,2,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,63,56,62,1,0,0,63,0,0,,0,,22,264,107,1,0,0,0,10,90,100.0,90,2,0,,0,2.00,4,2,+2,+1.00,,2.9,3.8,-0.9,-0.47,,0,0,0,0,0,0,0,1,1,0,100.0,2
Serge Aurier,"MF,DF",Nott'ham Forest,30,2,2,180,2.0,0,2,2,0,0,0,1,0,0.0,0.0,0.4,0.4,4,11,11,0.00,1.00,1.00,0.00,1.00,0.01,0.20,0.21,0.01,0.21,2023,1,0,0.0,0.50,0.00,0.00,,11.1,0,0.01,0.0,0.0,65,88,73.9,1009,491,32,36,88.9,30,36,83.3,2,9,22.2,0.2,+1.6,2,10,3,2,82,6,1,0,0,7,5,0,0,0,0,0,2,4,2.00,4,0,0,0,0,0,2,1.00,2,0,0,0,0,0,3,3,3,0,0,2,3,66.7,1,2,0,2,1,4,6,0,108,9,20,55,34,6,108,3,0,0.0,3,100.0,57,287,199,5,1,2,1,79,90,100.0,90,2,0,,0,1.50,3,3,0,0.00,,2.6,1.3,+1.2,+0.62,,0,0,4,0,0,0,0,8,7,3,70.0,2
Taiwo Awoniyi,FW,Nott'ham Forest,26,2,1,103,1.1,2,0,2,2,0,0,0,0,0.9,0.9,0.1,0.9,0,3,6,1.75,0.00,1.75,1.75,1.75,0.76,0.05,0.81,0.76,0.81,2023,2,2,100.0,1.75,1.75,1.00,1.00,6.4,0,0.43,+1.1,+1.1,13,17,76.5,162,49,8,9,88.9,5,6,83.3,0,0,,0.0,-0.1,2,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2,4,3.53,4,0,0,0,0,0,1,0.88,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,31,1,1,17,14,4,31,3,2,66.7,1,33.3,18,121,18,1,0,6,3,25,52,57.2,83,0,1,20,0,1.50,2,1,+1,+0.87,+2.04,2.2,1.0,+1.2,+1.05,+1.00,0,0,1,2,0,0,0,2,4,8,33.3,2
Jordan Ayew,FW,Crystal Palace,31,2,2,180,2.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,1.0,8,3,18,0.00,0.50,0.50,0.00,0.50,0.12,0.37,0.49,0.12,0.49,2023,5,1,20.0,2.50,0.50,0.00,0.00,12.8,0,0.05,-0.2,-0.2,51,69,73.9,645,67,35,40,87.5,12,19,63.2,1,3,33.3,0.5,+0.3,3,2,1,1,69,0,0,0,0,8,0,0,0,0,0,0,4,7,3.50,3,0,0,1,2,1,1,0.50,1,0,0,0,0,0,3,2,1,2,0,1,2,50.0,1,4,0,4,1,4,1,0,98,2,11,33,55,13,98,10,2,20.0,3,30.0,60,395,208,6,3,3,8,70,90,100.0,90,2,0,,0,1.50,1,1,0,0.00,,2.9,2.5,+0.4,+0.18,,0,5,6,1,0,0,0,6,3,3,50.0,2
Leon Bailey,FW,Aston Villa,26,2,2,107,1.2,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.9,7,2,8,0.84,0.84,1.68,0.84,1.68,0.27,0.48,0.75,0.27,0.75,2023,2,1,50.0,1.68,0.84,0.50,1.00,10.8,0,0.16,+0.7,+0.7,30,48,62.5,493,109,18,25,72.0,8,12,66.7,3,5,60.0,0.7,+0.4,1,1,2,0,47,1,0,1,0,4,0,1,0,0,0,0,3,5,4.21,4,0,0,1,0,0,2,1.68,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,59,1,8,27,24,6,59,3,2,66.7,0,0.0,39,399,169,6,1,1,4,47,54,59.4,54,0,0,,0,1.50,4,2,+2,+1.68,+4.15,2.9,1.9,+1.0,+0.84,+1.21,0,1,1,0,0,0,0,3,1,0,100.0,2
George Baldock,"MF,DF",Sheffield Utd,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,27,43,62.8,386,179,18,23,78.3,7,9,77.8,1,7,14.3,0.0,0.0,0,1,1,0,32,10,0,0,0,5,10,0,0,0,0,1,3,2,2.00,0,1,1,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,0,1,0,1,0.0,1,2,0,2,0,2,2,0,52,4,15,15,23,1,52,1,1,100.0,0,0.0,24,98,51,1,1,0,2,24,90,50.0,90,1,0,,0,0.00,0,1,-1,-1.00,0.00,0.5,1.9,-1.4,-1.37,-0.49,0,2,2,0,0,0,0,8,0,2,0.0,2
Shandon Baptiste,MF,Brentford,25,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,3,66.7,65,42,0,0,,1,1,100.0,1,2,50.0,0.0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,5,2,4,1,0,0,5,0,0,,0,,3,14,10,0,0,0,0,2,19,10.6,,0,1,19,0,1.00,0,0,0,0.00,-1.68,0.4,0.2,+0.2,+0.92,-1.28,0,0,0,0,0,0,0,1,0,0,,2
Harvey Barnes,FW,Newcastle Utd,25,2,0,58,0.6,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.4,4,2,4,1.55,1.55,3.10,1.55,3.10,0.87,1.34,2.21,0.87,2.21,2023,2,2,100.0,3.10,3.10,0.50,0.50,19.2,0,0.28,+0.4,+0.4,21,26,80.8,250,66,15,16,93.8,5,8,62.5,0,0,,0.6,+0.1,2,0,2,0,25,1,0,0,0,1,1,0,0,0,0,0,1,3,4.66,3,0,0,0,0,0,1,1.55,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,0,3,11,17,3,30,1,0,0.0,1,100.0,26,158,112,0,3,1,1,28,29,32.2,,0,2,29,0,1.50,2,0,+2,+3.10,+2.37,1.6,0.9,+0.8,+1.19,+1.11,0,1,3,0,0,0,0,3,0,0,,2
Chris Basham,MF,Sheffield Utd,35,2,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,30,41,73.2,373,71,18,23,78.3,9,9,100.0,0,2,0.0,0.0,0.0,0,3,0,0,40,1,0,0,0,1,1,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,2,1,0,2,3,66.7,1,5,3,2,2,5,2,0,57,6,20,23,14,3,57,2,1,50.0,1,50.0,24,85,39,2,0,1,2,25,56,62.2,79,0,1,33,0,0.00,0,2,-2,-1.61,-1.61,0.8,2.3,-1.5,-1.18,-0.15,0,0,1,0,0,0,0,7,4,4,50.0,2
Calvin Bassey,DF,Fulham,23,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,18,20,90.0,353,86,5,5,100.0,11,13,84.6,2,2,100.0,0.0,0.0,0,2,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,22,3,8,14,0,0,22,0,0,,0,,15,75,32,0,0,0,0,15,24,13.3,,0,1,24,1,0.00,0,1,-1,-3.75,-3.17,0.1,1.9,-1.8,-6.71,-5.19,0,0,0,0,0,0,0,2,0,0,,2
Amari'i Bell,DF,Luton Town,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,17,19,89.5,379,144,9,10,90.0,5,5,100.0,3,4,75.0,0.0,0.0,0,1,0,0,17,2,2,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,1,1,100.0,0,3,1,2,2,5,4,0,36,9,23,11,2,0,36,2,0,0.0,2,100.0,16,48,7,0,0,0,0,16,90,100.0,90,1,0,,0,0.00,1,4,-3,-3.00,,1.5,4.0,-2.5,-2.54,,0,0,0,0,0,0,0,3,0,1,0.0,2
Anis Ben Slimane,"MF,DF",Sheffield Utd,22,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,6,0,0,2,5,2,6,1,0,0.0,1,100.0,4,17,3,2,0,0,0,3,11,6.1,,0,1,11,0,0.00,0,0,0,0.00,+1.07,0.0,0.2,-0.2,-1.50,-0.39,0,1,1,0,0,0,0,1,0,2,0.0,2
Said Benrahma,FW,West Ham,28,2,2,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,4,16,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,2023,5,1,20.0,2.85,0.57,0.00,0.00,23.3,0,0.03,-0.1,-0.1,33,46,71.7,418,115,18,24,75.0,10,15,66.7,1,2,50.0,0.3,-0.1,2,3,2,1,46,0,0,1,0,4,0,0,0,0,0,0,2,4,2.28,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,0,2,0,1,6,16.7,5,2,0,2,0,2,0,0,66,1,13,27,27,4,66,8,3,37.5,3,37.5,45,308,149,4,2,5,1,50,79,87.8,79,1,0,,0,2.00,3,2,+1,+0.57,-3.52,1.9,3.6,-1.7,-0.95,-3.94,0,2,1,1,0,0,0,7,0,2,0.0,2
Sander Berge,MF,Burnley,25,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,23,28,82.1,413,57,12,13,92.3,8,10,80.0,3,4,75.0,0.0,0.0,0,1,0,0,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,33,4,12,18,3,1,33,0,0,,0,,12,35,17,0,0,1,0,24,89,98.9,89,0,0,,0,0.00,0,3,-3,-3.03,-3.03,0.3,1.9,-1.6,-1.60,+1.62,0,2,0,0,0,0,0,3,2,0,100.0,2
Luke Berry,MF,Luton Town,31,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,3,3.3,,0,1,3,0,0.00,0,1,-1,-30.00,-27.93,0.2,1.2,-0.9,-28.13,-26.47,0,0,0,0,0,0,0,0,0,0,,2
Jordan Beyer,DF,Burnley,23,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,28,35,80.0,545,186,10,11,90.9,17,18,94.4,1,6,16.7,0.0,0.0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,3,1,0,1,1,100.0,0,2,0,2,4,8,4,0,49,13,35,14,0,0,49,1,0,0.0,1,100.0,21,103,39,0,0,0,0,31,73,81.1,73,0,0,,0,0.00,0,2,-2,-2.47,+2.83,0.3,1.0,-0.7,-0.92,+3.69,0,1,0,0,0,0,0,2,1,0,100.0,2
Philip Billing,MF,Bournemouth,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,10,6,0.00,0.00,0.00,0.00,0.00,0.24,0.02,0.25,0.24,0.25,2023,4,0,0.0,2.00,0.00,0.00,,19.9,2,0.12,-0.5,-0.5,60,76,78.9,921,304,33,40,82.5,18,18,100.0,6,10,60.0,0.1,0.0,1,3,4,1,75,1,1,0,1,2,0,0,0,0,0,0,3,3,1.50,3,0,0,0,0,0,1,0.50,1,0,0,0,0,0,4,2,0,4,0,2,6,33.3,4,7,2,5,3,7,5,0,103,9,21,49,36,7,103,3,2,66.7,1,33.3,47,194,101,3,2,4,3,50,90,100.0,90,2,0,,0,0.50,2,4,-2,-1.00,,2.6,4.1,-1.5,-0.76,,0,1,1,0,0,0,0,11,4,2,66.7,2
Yves Bissouma,MF,Tottenham,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,13,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,2023,5,0,0.0,2.50,0.00,0.00,,34.1,0,0.02,-0.1,-0.1,152,167,91.0,2234,807,84,88,95.5,53,58,91.4,5,7,71.4,0.1,0.0,1,17,0,0,160,7,7,1,1,0,0,0,0,0,0,0,2,4,2.00,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,8,5,4,4,0,2,4,50.0,2,3,1,2,5,13,5,0,198,10,44,114,45,3,198,9,6,66.7,2,22.2,150,801,439,8,2,2,1,148,90,100.0,90,2,0,,0,2.00,4,2,+2,+1.00,,3.0,4.3,-1.3,-0.63,,0,4,4,0,0,0,0,13,1,1,50.0,2
Willy Boly,DF,Nott'ham Forest,32,2,2,158,1.8,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,0,3,1,0.00,0.00,0.00,0.00,0.00,0.34,0.16,0.50,0.34,0.50,2023,3,2,66.7,1.71,1.14,0.00,0.00,5.7,0,0.20,-0.6,-0.6,54,69,78.3,921,444,27,30,90.0,24,32,75.0,2,5,40.0,0.0,-0.3,1,3,2,0,56,13,2,0,0,1,11,0,0,0,0,0,1,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,4,0,0,2,4,50.0,2,2,1,1,3,7,6,0,89,11,47,33,9,4,89,0,0,,0,,35,131,67,0,0,0,0,46,79,87.8,79,1,0,,0,1.50,2,3,-1,-0.57,-4.66,2.3,1.1,+1.2,+0.68,+0.51,0,4,0,0,0,0,0,7,5,4,55.6,2
Sven Botman,DF,Newcastle Utd,23,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,0,3,1,0.00,0.50,0.50,0.00,0.50,0.04,0.22,0.26,0.04,0.26,2023,1,0,0.0,0.50,0.00,0.00,,9.8,0,0.07,-0.1,-0.1,116,128,90.6,2145,836,43,47,91.5,61,64,95.3,11,14,78.6,0.3,+0.6,1,2,0,0,121,7,5,0,0,0,1,0,0,0,0,0,1,2,1.00,2,0,0,0,0,0,1,0.50,1,0,0,0,0,0,3,3,2,1,0,1,2,50.0,1,1,1,0,1,4,6,0,140,31,92,46,3,3,140,0,0,,0,,98,352,110,1,0,0,0,99,90,100.0,90,2,0,,0,1.50,5,2,+3,+1.50,,3.6,2.8,+0.9,+0.44,,0,2,1,1,0,0,0,13,4,1,80.0,2
Jarrod Bowen,FW,West Ham,26,2,2,180,2.0,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,5,2,4,0.50,0.00,0.50,0.50,0.50,0.30,0.23,0.53,0.30,0.53,2023,8,3,37.5,4.00,1.50,0.13,0.33,17.8,0,0.08,+0.4,+0.4,27,39,69.2,365,140,15,20,75.0,7,10,70.0,2,4,50.0,0.4,-0.5,3,0,0,0,35,4,0,0,1,5,0,4,4,0,0,0,0,9,4.50,3,3,1,1,0,1,1,0.50,0,0,0,0,0,1,3,3,2,0,1,1,1,100.0,0,2,0,2,0,3,1,0,66,1,12,22,33,10,66,7,4,57.1,2,28.6,32,169,102,2,2,10,4,39,90,100.0,90,2,0,,0,2.00,4,2,+2,+1.00,,2.9,3.8,-0.9,-0.47,,0,3,1,2,0,0,0,10,6,7,46.2,2
Andre Brooks,"MF,FW",Sheffield Utd,20,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,12,14,85.7,173,77,9,10,90.0,2,3,66.7,1,1,100.0,0.0,0.0,0,1,0,0,12,2,0,0,0,1,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,21,0,3,14,5,1,21,0,0,,0,,8,40,20,0,0,2,0,11,11,11.7,,0,2,11,0,0.00,0,1,-1,-4.29,-3.72,0.3,0.1,+0.2,+0.74,+2.12,0,0,0,0,0,0,0,1,1,1,50.0,2
David Brooks,FW,Bournemouth,26,2,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,6,8,0.00,0.00,0.00,0.00,0.00,0.17,0.31,0.48,0.17,0.48,2023,4,2,50.0,4.04,2.02,0.00,0.00,24.5,0,0.04,-0.2,-0.2,33,48,68.8,523,225,17,18,94.4,13,17,76.5,3,12,25.0,0.2,-0.3,3,4,2,0,39,9,1,1,0,8,2,6,5,0,0,0,1,6,6.07,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60,0,8,23,29,1,60,2,0,0.0,2,100.0,34,236,101,4,0,4,1,42,45,49.4,74,0,1,15,0,0.50,0,1,-1,-1.01,-0.02,1.2,1.0,+0.2,+0.22,+1.93,0,1,1,0,0,0,0,1,1,3,25.0,2
Jacob Brown,FW,Luton Town,25,1,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,2023,1,1,100.0,3.33,3.33,0.00,0.00,16.3,0,0.11,-0.1,-0.1,3,7,42.9,31,12,3,4,75.0,0,0,,0,0,,0.0,0.0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,12,1,3,1,8,4,12,0,0,,0,,5,25,16,0,0,0,0,6,27,30.0,,0,1,27,0,0.00,1,3,-2,-6.67,-5.24,1.0,2.5,-1.5,-4.85,-3.31,0,1,0,1,0,0,0,1,1,2,33.3,2
Josh Brownhill,MF,Burnley,27,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,2,100.0,43,0,0,0,,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,2,1,1.1,,0,1,1,0,0.00,0,0,0,0.00,+3.03,0.0,0.0,0.0,-3.22,-1.62,0,0,0,0,0,0,0,0,0,0,,2
Jacob Bruun Larsen,MF,Burnley,24,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,2023,1,0,0.0,3.00,0.00,0.00,,6.9,0,0.02,0.0,0.0,4,6,66.7,55,21,2,3,66.7,2,2,100.0,0,0,,0.0,0.0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,9,0,0,2,7,2,9,0,0,,0,,4,53,37,1,1,1,0,6,30,33.3,,0,1,30,0,0.00,0,1,-1,-3.00,0.00,0.1,1.0,-0.9,-2.76,-1.72,0,2,0,0,0,0,0,0,2,0,100.0,2
