player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Manuel Akanji,DF,Manchester City,28,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,2023,1,0,0.0,0.50,0.00,0.00,,26.9,0,0.03,0.0,0.0,146,162,90.1,2164,517,79,81,97.5,56,65,86.2,4,7,57.1,0.0,-0.1,1,7,0,0,160,2,2,0,0,1,0,0,0,0,0,0,0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,1,1,3,0,3,5,60.0,2,4,2,2,2,6,5,0,177,14,80,83,14,0,177,0,0,,0,,108,631,309,0,0,0,0,141,90,100.0,90,2,0,,0,3.00,4,0,+4,+2.00,,2.9,0.6,+2.3,+1.17,,0,0,0,0,0,0,0,10,4,1,80.0,2
Nathan Ake,DF,Manchester City,28,1,1,78,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,0,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,2023,1,0,0.0,1.15,0.00,0.00,,4.8,0,0.31,-0.3,-0.3,65,69,94.2,1085,222,29,30,96.7,29,31,93.5,5,6,83.3,0.0,0.0,0,3,0,0,68,1,0,0,0,0,1,0,0,0,0,0,0,2,2.31,1,0,0,1,0,0,1,1.15,0,0,0,1,0,0,3,3,3,0,0,3,3,100.0,0,0,0,0,2,5,1,0,79,2,36,39,5,2,79,0,0,,0,,53,233,93,0,0,0,0,61,78,43.3,78,0,0,,1,3.00,3,0,+3,+3.46,+2.58,1.8,0.3,+1.5,+1.78,+1.09,0,0,1,0,0,0,0,5,3,1,75.0,2
Trent Alexander-Arnold,DF,Liverpool,24,2,2,164,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,10,4,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,2023,3,2,66.7,1.65,1.10,0.00,0.00,18.8,0,0.04,-0.1,-0.1,79,117,67.5,1462,690,31,33,93.9,34,46,73.9,10,32,31.3,0.1,-0.1,3,10,2,1,92,24,7,1,4,11,13,4,0,3,0,1,1,8,4.39,5,1,1,1,0,0,1,0.55,1,0,0,0,0,0,3,2,3,0,0,1,3,33.3,2,1,0,1,1,4,7,1,136,8,45,52,41,3,136,5,3,60.0,1,20.0,55,228,135,3,2,3,0,75,82,91.1,82,1,0,,0,2.00,4,2,+2,+1.10,+1.10,4.2,1.8,+2.4,+1.34,+5.57,0,0,2,0,0,0,0,15,0,0,,2
Alisson,GK,Liverpool,30,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,61,76,80.3,1401,886,8,8,100.0,45,45,100.0,8,22,36.4,0.0,0.0,0,0,0,0,63,13,4,0,0,0,0,0,0,0,0,0,0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,82,56,81,1,0,0,82,0,0,,0,,56,227,142,0,0,1,0,48,90,100.0,90,2,0,,0,2.00,4,2,+2,+1.00,,4.3,2.6,+1.7,+0.84,,0,1,0,0,0,0,0,1,0,0,,2
Miguel Almiron,FW,Newcastle Utd,29,2,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,11,5,17,0.00,0.00,0.00,0.00,0.00,0.06,0.21,0.27,0.06,0.27,2023,3,1,33.3,1.59,0.53,0.00,0.00,20.8,0,0.04,-0.1,-0.1,54,61,88.5,770,130,36,40,90.0,16,17,94.1,2,2,100.0,0.1,-0.4,4,3,2,0,60,0,0,0,0,0,0,0,0,0,0,1,1,6,3.18,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2,2,1,0,1,2,5,40.0,3,3,0,3,1,3,0,0,78,0,10,31,37,7,78,3,0,0.0,2,66.7,66,438,231,1,3,3,4,66,85,94.4,85,0,0,,0,1.50,4,2,+2,+1.06,-7.94,3.1,2.2,+0.8,+0.44,+0.13,0,0,1,1,0,0,0,5,0,1,0.0,2
Edson Alvarez,MF,West Ham,25,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,4,50.0,11,5,1,2,50.0,0,0,,0,1,0.0,0.0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,8,2,7,1,0,0,8,0,0,,0,,3,13,0,0,0,0,0,1,10,5.6,,0,1,10,0,3.00,1,0,+1,+9.00,+8.47,0.9,0.1,+0.8,+6.94,+7.85,0,0,0,0,0,0,0,1,1,1,50.0,2
Julian Alvarez,MF,Manchester City,23,2,2,180,2.0,1,1,2,1,0,0,1,0,0.5,0.5,0.4,0.9,5,6,11,0.50,0.50,1.00,0.50,1.00,0.23,0.20,0.43,0.23,0.43,2023,4,2,50.0,2.00,1.00,0.25,0.50,14.6,0,0.11,+0.5,+0.5,60,75,80.0,773,196,40,45,88.9,12,18,66.7,3,6,50.0,0.4,+0.6,8,0,3,0,67,8,4,3,0,8,2,2,0,2,0,0,0,10,5.00,6,3,1,0,0,0,1,0.50,1,0,0,0,0,0,2,2,1,0,1,0,2,0.0,2,2,0,2,0,2,0,0,93,0,7,41,45,7,93,3,2,66.7,1,33.3,50,234,112,3,2,5,1,72,90,100.0,90,2,0,,0,3.00,4,0,+4,+2.00,,2.9,0.6,+2.3,+1.17,,0,4,2,0,0,0,0,5,1,3,25.0,2
Zeki Amdouni,FW,Burnley,22,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,2023,1,1,100.0,1.50,1.50,0.00,0.00,14.9,0,0.03,0.0,0.0,10,11,90.9,142,48,6,7,85.7,1,1,100.0,2,2,100.0,0.0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1.50,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,23,1,3,9,11,3,23,4,2,50.0,2,50.0,11,63,17,0,1,3,1,15,60,66.7,60,0,0,,0,0.00,0,2,-2,-3.00,0.00,0.3,1.0,-0.7,-1.05,+1.72,0,0,2,0,0,0,0,4,1,2,33.3,2
Joachim Andersen,DF,Crystal Palace,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,5,20,1,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,2023,2,2,100.0,1.00,1.00,0.00,0.00,20.9,0,0.08,-0.2,-0.2,141,159,88.7,3369,1138,35,39,89.7,80,83,96.4,26,34,76.5,0.1,-0.1,2,19,1,0,152,6,6,1,4,4,0,0,0,0,0,1,1,7,3.50,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,1,3,0,1,2,3,66.7,1,2,2,0,1,5,9,0,179,16,74,91,16,2,179,3,3,100.0,0,0.0,112,762,546,2,0,0,0,124,90,100.0,90,2,0,,0,1.50,1,1,0,0.00,,2.9,2.5,+0.4,+0.18,,0,3,4,0,0,0,0,11,6,2,75.0,2
Elliot Anderson,MF,Newcastle Utd,20,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,10,14,71.4,192,13,5,5,100.0,2,2,100.0,2,4,50.0,0.0,0.0,1,2,1,0,14,0,0,0,1,1,0,0,0,0,0,0,1,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0,19,1,4,11,5,2,19,2,1,50.0,0,0.0,10,105,69,1,0,1,0,11,13,14.4,,0,2,13,0,1.50,0,0,0,0.00,-1.75,0.1,0.5,-0.4,-1.27,-1.99,0,0,0,0,0,0,0,1,0,0,,2
