minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
11,Phil Foden,Manchester City,0.05,0.05,Saved,17,Left Foot,,,,,,13
16,Darwin Nunez,Liverpool,0.06,0.19,Saved,8,Head,,Mohamed Salah,Pass (Live),Joel Matip,Pass (Live),13
20,Dominik Szoboszlai,Liverpool,0.03,,Blocked,16,Left Foot,,Diogo Jota,Pass (Live),Kostas Tsimikas,Pass (Live),13
27,Phil Foden,Manchester City,0.01,0.23,Saved,24,Left Foot,Deflected,Bernardo Silva,Pass (Live),Julian Alvarez,Pass (Dead),13
27,Erling Haaland,Manchester City,0.26,0.62,Goal,16,Left Foot,,Nathan Ake,Pass (Live),Nathan Ake,Take-On,13
32,Jeremy Doku,Manchester City,0.04,,Blocked,21,Right Foot,,Jeremy Doku,Take-On,Bernardo Silva,Pass (Live),13
35,Darwin Nunez,Liverpool,0.26,,Off Target,6,Left Foot,,Dominik Szoboszlai,Pass (Live),,,13
42,Alexis Mac Allister,Liverpool,0.02,,Off Target,32,Right Foot,,,,,,13
44,Phil Foden,Manchester City,0.04,0.26,Saved,26,Left Foot,,Julian Alvarez,Pass (Live),Bernardo Silva,Pass (Live),13
52,Julian Alvarez,Manchester City,0.17,,Off Target,17,Left Foot,,Jeremy Doku,Pass (Live),Jeremy Doku,Take-On,13
55,Erling Haaland,Manchester City,0.06,,Off Target,15,Left Foot,Volley,Phil Foden,Pass (Live),Bernardo Silva,Pass (Live),13
58,Phil Foden,Manchester City,0.06,,Blocked,15,Left Foot,,Kyle Walker,Pass (Live),Rodri,Pass (Live),13
60,Darwin Nunez,Liverpool,0.01,,Blocked,27,Right Foot,,Ryan Gravenberch,Pass (Live),Trent Alexander-Arnold,Pass (Live),13
61,Virgil van Dijk,Liverpool,0.05,0.07,Saved,10,Head,,Kostas Tsimikas,Pass (Dead),Trent Alexander-Arnold,Pass (Live),13
65,Rodri,Manchester City,0.04,,Blocked,29,Right Foot,,Jeremy Doku,Take-On,Rodri,Pass (Live),13
72,Darwin Nunez,Liverpool,0.09,,Saved off Target,11,Right Foot,,Mohamed Salah,Pass (Live),Luis Diaz,Pass (Live),13
