player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek,position_current,team_current,age_current,games_starts_current,season_current,gameweek_current,position_previous,team_previous,age_previous,games_starts_previous,season_previous,gameweek_previous,minutes_difference,minutes_90s_difference,goals_difference,assists_difference,goals_assists_difference,goals_pens_difference,pens_made_difference,pens_att_difference,cards_yellow_difference,cards_red_difference,xg_difference,npxg_difference,xg_assist_difference,npxg_xg_assist_difference,progressive_carries_difference,progressive_passes_difference,progressive_passes_received_difference,goals_per90_difference,assists_per90_difference,goals_assists_per90_difference,goals_pens_per90_difference,goals_assists_pens_per90_difference,xg_per90_difference,xg_assist_per90_difference,xg_xg_assist_per90_difference,npxg_per90_difference,npxg_xg_assist_per90_difference,shots_difference,shots_on_target_difference,shots_on_target_pct_difference,shots_per90_difference,shots_on_target_per90_difference,goals_per_shot_difference,goals_per_shot_on_target_difference,average_shot_distance_difference,shots_free_kicks_difference,npxg_per_shot_difference,xg_net_difference,npxg_net_difference,passes_completed_difference,passes_difference,passes_pct_difference,passes_total_distance_difference,passes_progressive_distance_difference,passes_completed_short_difference,passes_short_difference,passes_pct_short_difference,passes_completed_medium_difference,passes_medium_difference,passes_pct_medium_difference,passes_completed_long_difference,passes_long_difference,passes_pct_long_difference,pass_xa_difference,xg_assist_net_difference,assisted_shots_difference,passes_into_final_third_difference,passes_into_penalty_area_difference,crosses_into_penalty_area_difference,passes_live_difference,passes_dead_difference,passes_free_kicks_difference,through_balls_difference,passes_switches_difference,crosses_difference,throw_ins_difference,corner_kicks_difference,corner_kicks_in_difference,corner_kicks_out_difference,corner_kicks_straight_difference,passes_offsides_difference,passes_blocked_difference,sca_difference,sca_per90_difference,sca_passes_live_difference,sca_passes_dead_difference,sca_take_ons_difference,sca_shots_difference,sca_fouled_difference,sca_defense_difference,gca_difference,gca_per90_difference,gca_passes_live_difference,gca_passes_dead_difference,gca_take_ons_difference,gca_shots_difference,gca_fouled_difference,gca_defense_difference,tackles_difference,tackles_won_difference,tackles_def_3rd_difference,tackles_mid_3rd_difference,tackles_att_3rd_difference,challenge_tackles_difference,challenges_difference,challenge_tackles_pct_difference,challenges_lost_difference,blocks_difference,blocked_shots_difference,blocked_passes_difference,interceptions_difference,tackles_interceptions_difference,clearances_difference,errors_difference,touches_difference,touches_def_pen_area_difference,touches_def_3rd_difference,touches_mid_3rd_difference,touches_att_3rd_difference,touches_att_pen_area_difference,touches_live_ball_difference,take_ons_difference,take_ons_won_difference,take_ons_won_pct_difference,take_ons_tackled_difference,take_ons_tackled_pct_difference,carries_difference,carries_distance_difference,carries_progressive_distance_difference,carries_into_final_third_difference,carries_into_penalty_area_difference,miscontrols_difference,dispossessed_difference,passes_received_difference,minutes_per_game_difference,minutes_pct_difference,minutes_per_start_difference,games_complete_difference,games_subs_difference,minutes_per_sub_difference,unused_subs_difference,points_per_game_difference,on_goals_for_difference,on_goals_against_difference,plus_minus_difference,plus_minus_per90_difference,plus_minus_wowy_difference,on_xg_for_difference,on_xg_against_difference,xg_plus_minus_difference,xg_plus_minus_per90_difference,xg_plus_minus_wowy_difference,cards_yellow_red_difference,fouls_difference,fouled_difference,offsides_difference,pens_won_difference,pens_conceded_difference,own_goals_difference,ball_recoveries_difference,aerials_won_difference,aerials_lost_difference,aerials_won_pct_difference
Max Aarons,DF,Bournemouth,23.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,39.0,44.0,88.6,618.0,158.0,20.0,20.0,100.0,14.0,16.0,87.5,3.0,4.0,75.0,0.1,-0.1,1.0,1.0,1.0,0.0,36.0,8.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.86,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,11.0,31.0,8.0,0.0,50.0,3.0,2.0,66.7,1.0,33.3,27.0,165.0,87.0,1.0,0.0,0.0,0.0,29.0,74.0,82.2,74.0,0.0,0.0,,0.0,1.0,0.0,1.0,-1.0,-1.22,-6.84,0.3,0.9,-0.5,-0.65,-5.12,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benie Adama Traore,FW,Sheffield Utd,20.0,1.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,10.0,12.0,83.3,169.0,50.0,5.0,5.0,100.0,4.0,5.0,80.0,1.0,1.0,100.0,0.1,-0.3,2.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,20.0,1.0,4.0,6.0,11.0,1.0,20.0,5.0,0.0,0.0,5.0,100.0,14.0,126.0,55.0,2.0,0.0,1.0,1.0,8.0,86.0,95.6,86.0,0.0,0.0,,0.0,0.0,0.0,1.0,-1.0,-1.05,-1.05,0.5,1.9,-1.4,-1.46,-2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Adebayo,FW,Luton Town,25.0,1.0,1.0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,7.0,10.0,70.0,113.0,41.0,3.0,4.0,75.0,4.0,6.0,66.7,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,1.0,2.0,10.0,5.0,0.0,16.0,3.0,0.0,0.0,3.0,100.0,7.0,56.0,27.0,2.0,0.0,0.0,0.0,8.0,63.0,70.0,63.0,0.0,0.0,,0.0,0.0,0.0,1.0,-1.0,-1.43,5.24,0.4,1.5,-1.1,-1.55,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,66.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Adingra,FW,Brighton,21.0,1.0,0.0,17.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,2.0,5.29,0.0,5.29,5.29,5.29,1.34,0.0,1.34,1.34,1.34,Matches,2023.0,1.0,1.0,100.0,5.29,5.29,1.0,1.0,5.3,0.0,0.25,0.7,0.7,6.0,6.0,100.0,65.0,10.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,8.0,2.0,9.0,1.0,0.0,0.0,1.0,100.0,5.0,16.0,3.0,0.0,0.0,1.0,0.0,5.0,17.0,18.9,,0.0,1.0,17.0,0.0,3.0,2.0,1.0,1.0,5.29,2.83,1.7,1.0,0.7,3.53,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayef Aguerd,DF,West Ham,27.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,22.0,29.0,75.9,510.0,242.0,7.0,7.0,100.0,9.0,12.0,75.0,6.0,9.0,66.7,0.0,0.0,0.0,3.0,0.0,0.0,21.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,1.0,41.0,12.0,29.0,11.0,1.0,0.0,41.0,0.0,0.0,,0.0,,12.0,76.0,26.0,0.0,0.0,1.0,0.0,9.0,90.0,100.0,90.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,,1.1,1.3,-0.3,-0.26,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,71.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodzic,DF,Sheffield Utd,24.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2023.0,2.0,0.0,0.0,2.0,0.0,0.0,,17.7,0.0,0.03,-0.1,-0.1,17.0,27.0,63.0,224.0,92.0,11.0,13.0,84.6,5.0,7.0,71.4,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,0.0,42.0,4.0,16.0,21.0,6.0,1.0,42.0,1.0,1.0,100.0,0.0,0.0,18.0,57.0,29.0,1.0,0.0,0.0,2.0,18.0,90.0,100.0,90.0,1.0,0.0,,0.0,0.0,0.0,1.0,-1.0,-1.0,,0.5,1.9,-1.4,-1.37,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Aina,MF,Nott'ham Forest,26.0,1.0,1.0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2023.0,1.0,0.0,0.0,1.27,0.0,0.0,,29.4,0.0,0.02,0.0,0.0,9.0,14.0,64.3,228.0,172.0,3.0,7.0,42.9,3.0,4.0,75.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,23.0,2.0,12.0,8.0,3.0,0.0,23.0,2.0,1.0,50.0,0.0,0.0,8.0,59.0,33.0,1.0,0.0,0.0,1.0,9.0,71.0,78.9,71.0,0.0,0.0,,0.0,0.0,0.0,2.0,-2.0,-2.54,-7.27,0.3,0.4,-0.1,-0.1,-2.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayan Ait Nouri,DF,Wolves,22.0,1.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,32.0,39.0,82.1,424.0,238.0,22.0,24.0,91.7,8.0,10.0,80.0,2.0,3.0,66.7,0.0,0.0,1.0,2.0,0.0,0.0,30.0,9.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,48.0,8.0,24.0,14.0,12.0,0.0,48.0,3.0,2.0,66.7,1.0,33.3,23.0,166.0,121.0,3.0,0.0,1.0,0.0,23.0,76.0,84.4,76.0,0.0,0.0,,0.0,0.0,0.0,1.0,-1.0,-1.18,-1.18,1.5,1.7,-0.2,-0.23,-1.59,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,DF,Brentford,25.0,1.0,1.0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,19.0,25.0,76.0,290.0,137.0,12.0,13.0,92.3,5.0,7.0,71.4,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,35.0,7.0,20.0,8.0,7.0,1.0,35.0,0.0,0.0,,0.0,,9.0,66.0,38.0,0.0,0.0,1.0,1.0,16.0,83.0,92.2,83.0,0.0,0.0,,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.8,1.2,0.7,0.71,-2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,100.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,DF,Manchester City,28.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,89.0,102.0,87.3,1375.0,382.0,41.0,42.0,97.6,41.0,48.0,85.4,3.0,6.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,109.0,10.0,57.0,49.0,3.0,0.0,109.0,0.0,0.0,,0.0,,78.0,488.0,250.0,0.0,0.0,0.0,0.0,90.0,90.0,100.0,90.0,1.0,0.0,,0.0,3.0,3.0,0.0,3.0,3.0,,1.9,0.3,1.6,1.62,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
