Player,ROS Rank,+/-,Team,Pos
Erling Haaland,1,0,MCI,F
Bruno Fernandes,2,0,MUN,M
Mohamed Salah,3,0,LIV,F
Bukayo Saka,4,0,ARS,M
James Maddison,5,0,TOT,M
Eberechi Eze,6,1,CRY,M
Kieran Trippier,7,7,NEW,D
Trent Alexander-Arnold,8,0,LIV,D
Phil Foden,9,0,MCI,M
Kaoru Mitoma,10,0,BHA,M
Son Heung-Min,11,4,TOT,F
Solly March,12,-1,BHA,M
Julian Alvarez,13,-1,MCI,F
Gabriel Jesus,14,-1,ARS,F
Martin Odegaard,15,-9,ARS,M
Jarrod Bowen,16,3,WHU,M
James Ward-Prowse,17,-1,WHU,M
Gabriel Martinelli,18,0,ARS,M
Morgan Gibbs-White,19,-2,NOT,M
Pedro Neto,20,5,WOL,F
Ollie Watkins,21,0,AVL,F
Marcus Rashford,22,-2,MUN,F
Darwin Nunez,23,5,LIV,F
Jack Grealish,24,-1,MCI,M
Bryan Mbeumo,25,-1,BRF,F
Pascal Gross,26,-4,BHA,M
Dominik Szoboszlai,27,-1,LIV,M
Dejan Kulusevski,28,5,TOT,M
Alexander Isak,29,0,NEW,F
Luis Diaz,30,-3,LIV,F
Moussa Diaby,31,-1,AVL,F
Dwight McNeil,32,-1,EVE,M
Pervis Estupinan,33,-1,BHA,D
Raheem Sterling,34,2,CHE,F
Ben Chilwell,35,-1,CHE,D
Rodri,36,-1,MCI,M
Lucas Paqueta,37,4,WHU,M
Pedro Porro,38,1,TOT,D
Mohammed Kudus,39,-2,WHU,M
Ethan Pinnock,40,-2,BRF,D
Diogo Jota,41,-1,LIV,F
Reece James,42,3,CHE,D
Iyenoma Destiny Udogie,43,0,TOT,D
Virgil van Dijk,44,10,LIV,D
Michael Olise,45,-1,CRY,M
Abdoulaye Doucoure,46,2,EVE,M
Fabian Schar,47,0,NEW,D
Andrew Robertson,48,8,LIV,D
Kevin De Bruyne,49,-3,MCI,M
Diogo Dalot,50,1,MUN,D
Joao Pedro,51,-1,BHA,F
Nicolas Jackson,52,-10,CHE,F
Yoane Wissa,53,-1,BRF,F
Mathias Jensen,54,7,BRF,M
Callum Wilson,55,7,NEW,F
Evan Ferguson,56,2,BHA,F
Jeremy Doku,57,-2,MCI,F
Rasmus Hojlund,58,-9,MUN,F
Cody Gakpo,59,-6,LIV,F
Taiwo Awoniyi,60,0,NOT,F
Dominic Solanke,61,-2,BOU,F
James Tarkowski,62,5,EVE,D
Anthony Gordon,63,6,NEW,M
Mason Mount,64,2,MUN,M
Casemiro,65,-2,MUN,M
Declan Rice,66,-2,ARS,M
Andreas Pereira,67,1,FUL,M
Yves Bissouma,68,-3,TOT,M
Miguel Almiron,69,2,NEW,M
Manor Solomon,70,6,TOT,F
Joachim Andersen,71,4,CRY,D
Ivan Toney,72,-2,BRF,F
Dominic Calvert-Lewin,73,7,EVE,F
Harvey Barnes,74,-17,NEW,M
Douglas Luiz,75,-3,AVL,M
Alexis Mac Allister,76,6,LIV,M
Alex Moreno,77,2,AVL,D
Willian,78,0,FUL,F
Matty Cash,79,5,AVL,D
Richarlison,80,-3,TOT,F
Gustavo Hamer,81,0,SHU,M
Marcus Tavernier,82,1,BOU,M
Arnaut Danjuma Groeneveld,83,-9,EVE,F
Cristian Romero,84,1,TOT,D
Carlton Morris,85,2,LUT,F
Bernd Leno,86,10,FUL,G
Luke Shaw,87,7,MUN,D
Said Benrahma,88,5,WHU,M
Brennan Johnson,89,2,TOT,F
Bernardo Silva,90,2,MCI,M
Leandro Trossard,91,-18,ARS,M
Jacob Ramsey,92,23,AVL,M
Dan Burn,93,13,NEW,D
Enzo Fernandez,94,-6,CHE,M
Thiago Silva,95,2,CHE,D
Alfie Doughty,96,,LUT,M
Odsonne Edouard,97,-11,CRY,F
Christopher Nkunku,98,0,CHE,F
Jack Harrison,99,1,EVE,M
Ben Mee,100,-10,BRF,D
Alex Iwobi,101,-12,FUL,M
Cole Palmer,102,-1,CHE,M
Sven Botman,103,6,NEW,D
Tomas Soucek,104,6,WHU,M
Joelinton,105,-6,NEW,M
Beto,106,-1,EVE,F
