Unnamed: 0,gameweek,date,home_team,home_xg,score,away_xg,away_team,match_report,notes,season,home_score,away_score
0,1,2020-09-12,Fulham,0.1,0–3,1.9,Arsenal,Match Report,,2020,0.0,3.0
1,1,2020-09-12,Crystal Palace,1.1,1–0,0.9,Southampton,Match Report,,2020,1.0,0.0
2,1,2020-09-12,Liverpool,2.7,4–3,0.3,Leeds United,Match Report,,2020,4.0,3.0
3,1,2020-09-12,West Ham,1.0,0–2,1.6,Newcastle Utd,Match Report,,2020,0.0,2.0
4,1,2020-09-13,West Brom,0.4,0–3,2.8,Leicester City,Match Report,,2020,0.0,3.0
5,1,2020-09-13,Tottenham,1.1,0–1,1.2,Everton,Match Report,,2020,0.0,1.0
6,1,2020-09-14,Sheffield Utd,1.0,0–2,1.4,Wolves,Match Report,,2020,0.0,2.0
7,1,2020-09-14,Brighton,1.1,1–3,1.2,Chelsea,Match Report,,2020,1.0,3.0
9,2,2020-09-19,Everton,3.9,5–2,0.3,West Brom,Match Report,,2020,5.0,2.0
10,2,2020-09-19,Leeds United,1.4,4–3,1.7,Fulham,Match Report,,2020,4.0,3.0
11,2,2020-09-19,Manchester Utd,1.2,1–3,1.6,Crystal Palace,Match Report,,2020,1.0,3.0
12,2,2020-09-19,Arsenal,1.1,2–1,2.0,West Ham,Match Report,,2020,2.0,1.0
13,2,2020-09-20,Southampton,2.0,2–5,2.1,Tottenham,Match Report,,2020,2.0,5.0
14,2,2020-09-20,Newcastle Utd,0.5,0–3,1.8,Brighton,Match Report,,2020,0.0,3.0
15,2,2020-09-20,Chelsea,0.9,0–2,2.1,Liverpool,Match Report,,2020,0.0,2.0
16,2,2020-09-20,Leicester City,1.2,4–2,1.4,Burnley,Match Report,,2020,4.0,2.0
17,2,2020-09-21,Aston Villa,1.0,1–0,0.9,Sheffield Utd,Match Report,,2020,1.0,0.0
18,2,2020-09-21,Wolves,0.6,1–3,1.9,Manchester City,Match Report,,2020,1.0,3.0
20,3,2020-09-26,Brighton,2.5,2–3,1.5,Manchester Utd,Match Report,,2020,2.0,3.0
21,3,2020-09-26,Crystal Palace,0.4,1–2,1.9,Everton,Match Report,,2020,1.0,2.0
22,3,2020-09-26,West Brom,0.6,3–3,2.0,Chelsea,Match Report,,2020,3.0,3.0
23,3,2020-09-26,Burnley,0.5,0–1,0.6,Southampton,Match Report,,2020,0.0,1.0
24,3,2020-09-27,Sheffield Utd,1.4,0–1,1.2,Leeds United,Match Report,,2020,0.0,1.0
25,3,2020-09-27,Tottenham,2.9,1–1,1.0,Newcastle Utd,Match Report,,2020,1.0,1.0
26,3,2020-09-27,Manchester City,0.9,2–5,2.9,Leicester City,Match Report,,2020,2.0,5.0
27,3,2020-09-27,West Ham,2.4,4–0,0.5,Wolves,Match Report,,2020,4.0,0.0
28,3,2020-09-28,Fulham,0.7,0–3,1.4,Aston Villa,Match Report,,2020,0.0,3.0
29,3,2020-09-28,Liverpool,2.7,3–1,1.3,Arsenal,Match Report,,2020,3.0,1.0
31,4,2020-10-03,Chelsea,2.7,4–0,0.2,Crystal Palace,Match Report,,2020,4.0,0.0
32,4,2020-10-03,Everton,1.6,4–2,1.3,Brighton,Match Report,,2020,4.0,2.0
33,4,2020-10-03,Leeds United,2.4,1–1,1.2,Manchester City,Match Report,,2020,1.0,1.0
34,4,2020-10-03,Newcastle Utd,1.8,3–1,0.4,Burnley,Match Report,,2020,3.0,1.0
35,4,2020-10-04,Southampton,1.2,2–0,0.2,West Brom,Match Report,,2020,2.0,0.0
36,4,2020-10-04,Leicester City,0.6,0–3,2.0,West Ham,Match Report,,2020,0.0,3.0
37,4,2020-10-04,Arsenal,0.6,2–1,0.2,Sheffield Utd,Match Report,,2020,2.0,1.0
38,4,2020-10-04,Wolves,1.2,1–0,0.9,Fulham,Match Report,,2020,1.0,0.0
39,4,2020-10-04,Manchester Utd,0.9,1–6,3.4,Tottenham,Match Report,,2020,1.0,6.0
40,4,2020-10-04,Aston Villa,2.7,7–2,1.8,Liverpool,Match Report,,2020,7.0,2.0
42,5,2020-10-17,Everton,1.2,2–2,2.6,Liverpool,Match Report,,2020,2.0,2.0
43,5,2020-10-17,Chelsea,1.8,3–3,1.9,Southampton,Match Report,,2020,3.0,3.0
44,5,2020-10-17,Manchester City,1.3,1–0,0.9,Arsenal,Match Report,,2020,1.0,0.0
45,5,2020-10-17,Newcastle Utd,0.9,1–4,2.3,Manchester Utd,Match Report,,2020,1.0,4.0
46,5,2020-10-18,Sheffield Utd,1.7,1–1,1.5,Fulham,Match Report,,2020,1.0,1.0
47,5,2020-10-18,Crystal Palace,0.8,1–1,1.7,Brighton,Match Report,,2020,1.0,1.0
