season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2004,1,Everton,0.0,0.0,Arsenal,1.0,4.0,0,Mike Riley,0,0,0,0,4815,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2004
2004,33,Arsenal,0.0,0.0,Everton,7.0,0.0,0,Alan Wiley,0,0,0,0,5175,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2004
2005,6,Arsenal,0.0,0.0,Everton,2.0,0.0,0,Alan Wiley,0,0,0,0,5241,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2005
2005,23,Everton,0.0,0.0,Arsenal,1.0,0.0,0,Alan Wiley,0,0,0,0,5400,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2005
2006,10,Arsenal,0.0,0.0,Everton,1.0,1.0,0,Mike Riley,0,0,0,0,5662,draw,draw,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2006
2006,30,Everton,0.0,0.0,Arsenal,1.0,0.0,0,Mark Clattenburg,0,0,0,0,5864,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2006
2007,20,Everton,0.0,0.0,Arsenal,1.0,4.0,0,Martin Atkinson,0,0,0,0,6136,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2007
2007,37,Arsenal,0.0,0.0,Everton,1.0,0.0,0,Alan Wiley,0,0,0,0,6314,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2007
2008,8,Arsenal,0.0,0.0,Everton,3.0,1.0,0,Peter Walton,0,0,0,0,6397,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2008
2008,23,Everton,0.0,0.0,Arsenal,1.0,1.0,0,Andre Marriner,0,0,0,0,6552,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2008
2009,1,Everton,0.0,0.0,Arsenal,1.0,6.0,0,Mark Halsey,0,0,0,0,6708,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2009
2009,21,Arsenal,0.0,0.0,Everton,2.0,2.0,0,Peter Walton,0,0,0,0,6904,draw,draw,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2009
2010,13,Everton,0.0,0.0,Arsenal,1.0,2.0,0,Howard Webb,0,0,0,0,7214,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2010
2010,25,Arsenal,0.0,0.0,Everton,2.0,1.0,0,Lee Mason,0,0,0,0,7322,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2010
2011,15,Arsenal,0.0,0.0,Everton,1.0,0.0,0,Howard Webb,0,0,0,0,7611,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2011
2011,29,Everton,0.0,0.0,Arsenal,0.0,1.0,0,Lee Mason,0,0,0,0,7752,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2011
2012,14,Everton,0.0,0.0,Arsenal,1.0,1.0,0,Michael Oliver,0,0,0,0,7980,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2012
2012,29,Arsenal,0.0,0.0,Everton,0.0,0.0,0,Neil Swarbrick,0,0,0,0,8169,draw,draw,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2012
2013,15,Arsenal,0.0,0.0,Everton,1.0,1.0,0,Howard Webb,0,0,0,0,8374,draw,draw,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2013
2013,33,Everton,0.0,0.0,Arsenal,3.0,0.0,0,Martin Atkinson,0,0,0,0,8549,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2013
2014,2,Everton,0.0,0.0,Arsenal,2.0,2.0,0,Kevin Friend,0,0,0,0,8621,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2014
2014,27,Arsenal,0.0,0.0,Everton,2.0,0.0,0,Andre Marriner,0,0,0,0,8873,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2014
2015,10,Arsenal,0.0,0.0,Everton,2.0,1.0,0,Lee Mason,0,0,0,0,9081,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2015
2015,31,Everton,0.0,0.0,Arsenal,0.0,2.0,0,Mark Clattenburg,0,0,0,0,9279,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2015
