season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2006,5,Sheffield Utd,0.0,0.0,Reading,1.0,2.0,0,Andre Marriner,0,0,0,0,5606,Reading,Sheffield Utd,Sheffield Utd,Reading,Reading_Sheffield_Utd,Reading_Sheffield Utd_2006
2006,24,Reading,0.0,0.0,Sheffield Utd,3.0,1.0,0,Mark Halsey,0,0,0,0,5798,Reading,Sheffield Utd,Reading,Sheffield Utd,Reading_Sheffield_Utd,Reading_Sheffield Utd_2006
