season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,6,Wimbledon,0.0,0.0,Manchester City,0.0,1.0,0,Mike Reed,0,0,0,0,58,Manchester City,Wimbledon,Wimbledon,Manchester City,Manchester_City_Wimbledon,Manchester City_Wimbledon_1992
1992,29,Manchester City,0.0,0.0,Wimbledon,1.0,1.0,0,Howard King,0,0,0,0,427,draw,draw,Manchester City,Wimbledon,Manchester_City_Wimbledon,Manchester City_Wimbledon_1992
1993,8,Wimbledon,0.0,0.0,Manchester City,1.0,0.0,0,Keren Barratt,0,0,0,0,549,Wimbledon,Manchester City,Wimbledon,Manchester City,Manchester_City_Wimbledon,Manchester City_Wimbledon_1993
1993,33,Manchester City,0.0,0.0,Wimbledon,0.0,1.0,0,David Frampton,0,0,0,0,796,Wimbledon,Manchester City,Manchester City,Wimbledon,Manchester_City_Wimbledon,Manchester City_Wimbledon_1993
1994,16,Manchester City,0.0,0.0,Wimbledon,2.0,0.0,0,Alan Wilkie,0,0,0,0,1089,Manchester City,Wimbledon,Manchester City,Wimbledon,Manchester_City_Wimbledon,Manchester City_Wimbledon_1994
1994,29,Wimbledon,0.0,0.0,Manchester City,2.0,0.0,0,Rodger Gifford,0,0,0,0,1288,Wimbledon,Manchester City,Wimbledon,Manchester City,Manchester_City_Wimbledon,Manchester City_Wimbledon_1994
1995,14,Manchester City,0.0,0.0,Wimbledon,1.0,0.0,0,Paul Durkin,0,0,0,0,1524,Manchester City,Wimbledon,Manchester City,Wimbledon,Manchester_City_Wimbledon,Manchester City_Wimbledon_1995
1995,35,Wimbledon,0.0,0.0,Manchester City,3.0,0.0,0,Graham Poll,0,0,0,0,1722,Wimbledon,Manchester City,Wimbledon,Manchester City,Manchester_City_Wimbledon,Manchester City_Wimbledon_1995
