season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2011,12,Tottenham,0.0,0.0,Aston Villa,2.0,0.0,0,Mark Halsey,0,0,0,0,7584,Tottenham,Aston Villa,Tottenham,Aston Villa,Aston_Villa_Tottenham,Aston Villa_Tottenham_2011
2011,37,Aston Villa,0.0,0.0,Tottenham,1.0,1.0,0,Lee Probert,0,0,0,0,7831,draw,draw,Aston Villa,Tottenham,Aston_Villa_Tottenham,Aston Villa_Tottenham_2011
