season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2005,1,Sunderland,0.0,0.0,Charlton Ath,1.0,3.0,0,Howard Webb,0,0,0,0,5192,Charlton Ath,Sunderland,Sunderland,Charlton Ath,Charlton_Ath_Sunderland,Charlton Ath_Sunderland_2005
2005,16,Charlton Ath,0.0,0.0,Sunderland,2.0,0.0,0,Alan Wiley,0,0,0,0,5337,Charlton Ath,Sunderland,Charlton Ath,Sunderland,Charlton_Ath_Sunderland,Charlton Ath_Sunderland_2005
