ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23-237,2000,3,3,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches,2023,1,0,0.0,0.35,0.00,0.00,,23.9,0,0.02,0.0,0.0,114,143,79.7,1861,646,59,67,88.1,42,52,80.8,10,14,71.4,0.2,-0.1,2,7,4,2,113,30,4,2,1,4,26,0,0,0,0,0,5,7,2.48,4,1,0,0,2,0,0,0.00,0,0,0,0,0,0,5,3,3,2,0,4,8,50.0,4,5,3,2,0,5,6,0,170,9,54,85,33,0,170,10,4,40.0,3,30.0,79,535,276,5,0,1,0,94,85,94.1,85,2,0,,0,0.33,1,6,-5,-1.77,-7.40,2.3,6.0,-3.7,-1.31,-5.78,0,3,9,0,0,0,0,17,2,4,33.3,3
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,22-311,2000,2,2,95,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,13,22,59.1,154,56,10,12,83.3,2,5,40.0,0,1,0.0,0.0,0.0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,3,1,0.95,1,0,0,0,0,0,1,0.95,1,0,0,0,0,0,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,30,2,5,16,9,0,30,2,0,0.0,2,100.0,18,41,14,0,0,0,0,21,48,52.8,48,0,0,,0,3.00,4,1,+3,+2.84,-0.33,1.4,1.6,-0.2,-0.18,+0.60,1,1,0,0,0,0,0,3,0,2,0.0,3
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-003,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,6,7,85.7,95,10,3,4,75.0,3,3,100.0,0,0,,0.0,0.0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,5,4,0,9,1,0,0.0,1,100.0,4,18,2,0,0,0,0,4,8,4.4,,0,1,8,0,1.00,1,0,+1,+11.25,+11.25,0.6,0.1,+0.5,+6.04,+5.82,0,1,0,0,0,0,0,0,3,0,100.0,3
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-335,1987,3,3,270,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,11,0,0.33,0.00,0.33,0.33,0.33,0.05,0.00,0.06,0.05,0.06,Matches,2023,2,1,50.0,0.67,0.33,0.50,1.00,17.5,0,0.08,+0.8,+0.8,146,171,85.4,2891,981,44,52,84.6,90,93,96.8,11,22,50.0,0.0,0.0,1,11,0,0,156,13,3,0,3,0,0,0,0,0,0,2,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,4,3,3,0,1,6,16.7,5,5,3,2,5,11,11,0,211,30,100,109,4,2,211,0,0,,0,,134,635,346,0,0,2,0,117,90,100.0,90,3,0,,0,2.00,6,3,+3,+1.00,,4.5,2.4,+2.1,+0.70,,0,1,0,0,0,0,0,27,8,8,50.0,3
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-156,2000,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,98,108,90.7,1483,338,53,58,91.4,37,41,90.2,5,6,83.3,0.1,0.0,1,9,0,0,103,5,5,0,0,0,0,0,0,0,0,0,3,3,1.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,2,1,0,2,2,100.0,0,2,0,2,0,3,0,0,121,2,15,75,32,1,121,3,0,0.0,2,66.7,96,475,205,5,0,1,0,90,75,83.3,75,2,0,,0,0.33,3,5,-2,-0.80,+1.20,1.9,4.4,-2.5,-1.00,+0.67,0,6,2,0,0,2,0,9,0,1,0.0,3
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-209,1993,3,3,270,3.0,1,1,2,1,0,0,0,0,0.4,0.4,0.2,0.6,1,9,0,0.33,0.33,0.67,0.33,0.67,0.14,0.07,0.21,0.14,0.21,Matches,2023,3,1,33.3,1.00,0.33,0.33,1.00,22.2,0,0.14,+0.6,+0.6,118,129,91.5,2170,560,49,53,92.5,56,60,93.3,12,12,100.0,0.1,+0.8,3,12,2,0,117,11,10,0,1,1,0,0,0,0,0,1,3,6,2.00,2,0,1,0,0,3,3,1.00,1,0,1,0,0,1,8,3,5,3,0,3,12,25.0,9,6,2,4,12,20,6,0,166,7,68,83,18,2,166,8,6,75.0,2,25.0,113,510,202,2,1,1,2,99,90,100.0,90,3,0,,0,1.67,5,2,+3,+1.00,,2.6,4.1,-1.6,-0.52,,0,3,3,0,0,0,0,19,1,0,100.0,3
7,Abner,br BRA,DF,Betis,es La Liga,23-094,2000,3,3,237,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,5,10,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,2023,2,0,0.0,0.76,0.00,0.00,,15.6,0,0.03,-0.1,-0.1,105,142,73.9,1498,692,67,79,84.8,26,36,72.2,7,19,36.8,0.0,0.0,1,4,2,0,119,23,0,0,0,9,23,0,0,0,0,0,2,4,1.52,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,4,4,1,0,5,7,71.4,2,8,2,6,4,9,7,0,175,17,66,70,42,4,175,3,2,66.7,1,33.3,87,334,159,1,0,2,3,91,79,87.8,79,2,0,,0,1.33,4,4,0,0.00,+2.73,2.1,3.7,-1.6,-0.62,+0.43,0,3,0,1,0,0,0,16,1,3,25.0,3
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-192,2000,3,3,261,2.9,2,0,2,1,1,1,0,0,1.7,0.9,0.2,1.1,10,7,26,0.69,0.00,0.69,0.34,0.34,0.60,0.05,0.65,0.33,0.38,Matches,2023,7,2,28.6,2.41,0.69,0.14,0.50,14.7,0,0.13,+0.3,+0.1,51,68,75.0,777,213,24,28,85.7,20,23,87.0,3,4,75.0,0.1,-0.2,4,5,2,0,65,3,0,0,0,2,3,0,0,0,0,0,3,7,2.41,5,0,1,0,1,0,1,0.34,0,0,0,0,1,0,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0,99,0,5,40,55,14,98,9,3,33.3,6,66.7,79,535,231,7,3,10,1,80,87,96.7,87,1,0,,0,1.33,2,4,-2,-0.69,-10.69,2.5,6.3,-3.8,-1.29,-0.20,0,7,6,2,1,0,0,5,5,1,83.3,3
9,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-172,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,2023,2,1,50.0,0.67,0.33,0.00,0.00,12.6,0,0.01,0.0,0.0,54,78,69.2,1503,780,14,18,77.8,22,24,91.7,18,34,52.9,0.0,0.0,0,7,0,0,73,4,4,0,6,0,0,0,0,0,0,1,0,1,0.33,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,3,3,0,3,3,14,0,104,23,57,43,4,2,104,0,0,,0,,51,267,165,2,0,1,0,48,90,99.6,90,2,0,,0,1.00,4,5,-1,-0.33,-0.33,2.6,3.4,-0.8,-0.26,+3.67,0,6,3,0,0,1,1,15,11,1,91.7,3
10,Marcos Acuna,ar ARG,DF,Sevilla,es La Liga,31-305,1991,2,2,135,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,6,2,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches,2023,3,0,0.0,2.00,0.00,0.00,,28.4,0,0.02,-0.1,-0.1,75,103,72.8,1716,686,24,30,80.0,31,39,79.5,18,29,62.1,0.1,-0.1,1,10,2,1,79,24,1,0,2,8,21,2,0,2,0,0,3,5,3.33,3,1,1,0,0,0,0,0.00,0,0,0,0,0,0,4,3,2,2,0,3,4,75.0,1,2,0,2,3,7,2,0,122,2,38,58,28,1,122,3,1,33.3,0,0.0,56,249,138,1,1,3,3,61,68,50.0,68,1,0,,0,0.00,3,4,-1,-0.67,+0.67,1.3,2.0,-0.7,-0.46,+0.15,0,1,2,0,0,0,0,15,1,3,25.0,3
11,Benie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20-272,2002,3,3,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,6,11,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,2023,1,1,100.0,0.35,0.35,0.00,0.00,15.3,0,0.27,-0.3,-0.3,31,42,73.8,483,99,18,21,85.7,12,15,80.0,1,1,100.0,0.2,-0.3,2,1,4,0,39,2,0,1,0,2,0,0,0,0,0,1,3,4,1.40,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,0,0,67,1,10,28,31,7,67,17,3,17.6,13,76.5,44,328,142,4,3,6,3,40,86,95.2,86,1,0,,0,0.00,2,4,-2,-0.70,+6.22,1.7,6.7,-5.0,-1.76,-1.11,0,8,3,1,0,0,0,16,0,10,0.0,3
12,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23-212,2000,3,3,256,2.8,3,0,3,3,0,0,0,0,1.7,1.7,0.4,2.1,8,2,18,1.05,0.00,1.05,1.05,1.05,0.61,0.13,0.74,0.61,0.74,Matches,2023,9,4,44.4,3.16,1.41,0.33,0.75,13.7,0,0.19,+1.3,+1.3,31,45,68.9,395,119,18,26,69.2,7,7,100.0,2,5,40.0,0.1,-0.4,2,3,1,1,44,1,0,0,0,5,0,0,0,0,0,0,5,6,2.10,3,0,2,1,0,0,1,0.35,0,0,1,0,0,0,2,0,0,0,2,0,1,0.0,1,1,0,1,0,2,2,0,79,2,3,37,40,12,79,6,2,33.3,3,50.0,56,424,166,5,5,10,6,60,85,94.8,85,2,0,,0,1.33,7,5,+2,+0.70,+7.13,4.9,2.5,+2.3,+0.82,-1.74,0,5,2,4,0,0,0,5,6,6,50.0,3
13,Sargis Adamyan,am ARM,FW,Köln,de Bundesliga,30-098,1993,2,0,102,1.1,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.2,4,4,14,0.00,0.88,0.88,0.00,0.88,0.57,0.47,1.04,0.57,1.04,Matches,2023,4,3,75.0,3.53,2.65,0.00,0.00,11.5,0,0.16,-0.6,-0.6,19,24,79.2,249,94,10,12,83.3,8,9,88.9,0,1,0.0,0.3,+0.5,3,2,1,0,21,3,1,0,0,0,0,0,0,0,0,0,1,5,4.37,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,37,0,3,15,19,6,37,1,1,100.0,0,0.0,21,128,69,1,0,2,1,21,51,56.7,,0,2,51,0,0.00,1,3,-2,-1.76,-1.76,1.5,1.4,0.0,+0.04,+1.64,0,1,0,2,0,0,0,5,2,7,22.2,3
14,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-339,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,5,5,5,0,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,2,0.7,,0,1,2,0,1.00,0,0,0,0.00,+0.67,0.2,0.7,-0.5,-21.66,-19.47,0,0,0,0,0,0,0,0,0,0,,3
15,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25-234,1998,2,2,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,20,25,80.0,314,78,11,13,84.6,8,10,80.0,1,1,100.0,0.1,-0.1,2,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,2,1.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,36,3,4,20,13,2,36,5,1,20.0,4,80.0,19,143,29,3,1,1,2,23,66,73.3,66,0,0,,0,0.00,0,3,-3,-2.05,+3.58,0.6,3.2,-2.6,-1.74,+1.57,0,5,1,0,0,0,0,2,3,2,60.0,3
16,Karim Adeyemi,de GER,MF,Dortmund,de Bundesliga,21-223,2002,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,12,20,60.0,177,69,5,9,55.6,6,8,75.0,0,0,,0.0,0.0,0,2,0,0,19,1,0,0,0,0,1,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,31,0,4,19,10,3,31,4,2,50.0,2,50.0,22,167,80,2,2,4,3,20,25,27.8,,0,2,25,0,2.00,1,0,+1,+1.80,+1.80,0.5,0.6,-0.1,-0.22,-0.85,0,2,1,0,0,0,0,6,4,0,100.0,3
17,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21-240,2002,2,0,36,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,2,0,5,2.50,0.00,2.50,2.50,2.50,0.63,0.18,0.81,0.63,0.81,Matches,2023,1,1,100.0,2.50,2.50,1.00,1.00,5.3,0,0.25,+0.7,+0.7,14,18,77.8,170,39,12,14,85.7,2,3,66.7,0,0,,0.0,-0.1,1,0,0,0,15,3,0,0,0,0,1,2,0,0,0,0,1,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,1,2,3,3,100.0,0,1,0,1,0,3,0,0,26,1,1,4,21,5,26,4,1,25.0,3,75.0,15,81,36,0,3,1,0,15,18,13.3,,0,2,18,1,1.50,3,1,+2,+5.00,+4.23,2.2,1.6,+0.6,+1.62,+1.44,0,0,0,0,0,0,0,2,0,0,,3
18,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26-235,1997,2,2,174,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,5,1,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,2023,1,1,100.0,0.52,0.52,0.00,0.00,12.9,0,0.07,-0.1,-0.1,89,95,93.7,1415,333,41,45,91.1,39,40,97.5,6,7,85.7,0.3,-0.1,1,4,0,0,90,5,3,0,0,1,1,1,0,0,0,0,0,4,2.07,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,0,0,106,3,33,55,19,2,106,2,1,50.0,0,0.0,43,185,99,3,1,2,0,82,87,96.7,87,1,0,,0,0.50,1,3,-2,-1.03,-1.03,1.5,1.7,-0.2,-0.09,-0.26,0,3,2,0,0,0,0,11,2,0,100.0,3
